query,title,docid,link,rel,
Blush brush,Vera Bradley Luggage Women's Blush & Brush Makeup Case Plum Luggage Accessory,221444,https://www.amazon.com/dp/B0133DWQGG,1,
Blush brush,Tarte Limited Edition Tarteist Toolbox Brush Set and Magnetic Palette by Tarte Cosmetics,17004,https://www.amazon.com/dp/B01M15UGNJ,1,
Blush brush,Joyxiam 8PCS Makeup Brush Set With Bag Magical Girl/Sakura Cosmetics Makeup Tool Set Rose gold 1,15135,https://www.amazon.com/dp/B09P1BG757,3,
Blush brush,8PCS Makeup Brush Set With Bag Magical Girl/Sakura Cosmetics Makeup Tool Set (Gold-2),22969,https://www.amazon.com/dp/B09P1BQ6FQ,3,
Blush brush,Beauticontrol 6-Pieces Cosmetic Brush Set + Brush Case NEW!,6957,https://www.amazon.com/dp/B077MBSMNH,3,
Blush brush,Polytree Professional 11 Pieces Makeup Brush Set Premium Synthetic Kabuki Foundation Blending Blush Eyeliner Face Liquid Powder Cream Cosmetics Kit,10743,https://www.amazon.com/dp/B0105UD7A4,4,4 - maybe for wood material
Blush brush,Black 7 PCS Makeup Cosmetic Brush Set with Case,704,https://www.amazon.com/dp/B006I0BZNM,1,
Blush brush,Icing Expert Retractable Kabuki Brush Girls Black None,3103,https://www.amazon.com/dp/B00OI684KA,3,
Blush brush,Icing Expert Big Travel Kabuki Brush Girls Black None,3203,https://www.amazon.com/dp/B00OI60OEO,3,
Blush brush,Nars Foreplay Orgasm Cheek Palette,6212,https://www.amazon.com/dp/B008F5FCWS,1,
Blush brush,10Pcs Colorful Makeup Brushes Set Eyeshadow Foundation Blush Brush with Storage Bag for Eyeshadow Face Powder Foundation Blush Makeup Brush,14385,https://www.amazon.com/dp/B08HH2TJ5Y,3,
Blush brush,Matto Goat Hair Powder Mineral Blush Brush Travel Size Natural Wool Brush 1 Piece,15746,https://www.amazon.com/dp/B07FXH61MD,2,
Blush brush,BOOTS No7 Blush Tint Stick Clove by Boots,20086,https://www.amazon.com/dp/B00BN7L3P0,1,nl
Blush brush,Beauties Factory 18pcs Makeup Brushes Pink Leather Brush Stand (Gaga),3743,https://www.amazon.com/dp/B00JRDEDJ0,1,
Blush brush,"Revlon Powder Blush, 004 Wine Not, 1 Count",23143,https://www.amazon.com/dp/B01J38AQOY,1,nl
Blush brush,"Boots No7 Natural Blush Tint Powder, Coral Flush, .11 oz",20128,https://www.amazon.com/dp/B00BN7L81Y,1,
Blush brush,MICRO BEAUTY MINI POCKET 10 PC BRUSH SET ~ Travel Friendly Portable Compact 3” Brushes Tweezers Case ~ Vegan & Cruelty-free!,14075,https://www.amazon.com/dp/B07229KRDG,2,
