query,title,docid,link,rel
Body spray,TOODOO 8 Sets Mermaid Face Gems Glitter Sticker Rhinestone Bindis Crystal Face Tattoo Forehead Decorations for Women Favors (Delicate Pattern),8,https://www.amazon.com/dp/B07CV988JX,1
Body spray,"Enjoy VOLUMIZING ELIXIR, Style (with Sleek Steel Pin Tail Comb) (8.8 oz)",12,https://www.amazon.com/dp/B07DRZLZQQ,1
Body spray,"Bulk Herbs: Clay, White Kaolin",17,https://www.amazon.com/dp/B005DT7YP2,1
Body spray,"Wholesale CASE of 10 - GOJO Supro Max Cherry Hand Cleaner-Supro Max Hand Cleaner, 2000l, Cherry",21,https://www.amazon.com/dp/B00BX9KND6,1
Body spray,"Clear Essence Specialist Skin Care Body Oil, 8 Ounce - Soothing Body Moisturizer and Toner",28,https://www.amazon.com/dp/B0058WE96Q,1
Body spray,"Vanilla by Body Fantasies, 3 Pack 8 oz Fragrance Body Spray for Women",46,https://www.amazon.com/dp/B072N95X6P,5
Body spray,Sex on the Beach Scented Lotion 180ml (2-90ml bottle set),49,https://www.amazon.com/dp/B01FDGIIT0,1
Body spray,"MoYo Natural Labs 8 oz Spray Bottles Fine Mist Empty Travel Containers, BPA Free PET Plastic for Essential Oils and Liquids/Cosmetics (Pack of 2, Blue)",50,https://www.amazon.com/dp/B08MVFKSQ8,1
Body spray,"Kidskin- Foaming Body Wash with Tea Tree Oil- Helps Combat Body and Foot Odor and Stubborn Body Acne and Skin Issues - Cruelty Free, Gluten Free, Paraben Free, Sulfate Free, Unscented, and Vegan- Made in USA",53,https://www.amazon.com/dp/B08WHBSK6R,1
Body spray,Degree Deod Inv Sld Clean Size 2.7z Degree Ultra Dry Clean Invisible Stick Deodorant - Pack of 2,57,https://www.amazon.com/dp/B004VH2OSO,1
Body spray,YouClean 300 Antibacterial Travel Hand Soap Sheets - Pocket/Purse/Wallet/Backpack -Great for Outdoor Camping or Daily Use (Tea Party) (Tea Party),58,https://www.amazon.com/dp/B0C5V83YMB,1
Body spray,"Caress Body Wash, Pure Embrace 12 oz",63,https://www.amazon.com/dp/B017J17QQ8,1
Body spray,6 Cherimoya Nail Polish Remover Pads,86,https://www.amazon.com/dp/B005YJ3KBI,1
Body spray,"EMIT - Massage and Body Lotion Contains Jojoba, Aloe, Vitamin E - Vegan Gluten Free Cream Lotion - Sensitive Skin - Recover, Rejuvenate, Hydrate, Refreshen Dry Crack Skin (Olive, 80ml (2.7 fl oz)",91,https://www.amazon.com/dp/B08SPXF6XD,1
Body spray,"(6 Pack) 8 Oz Plastic Jars with Lids, Clear Plastic Square Jars with Smooth Black Plastic Lids - 70mm - 240mL Volume by Grand Parfums - Empty 8 Oz Jars with Lids",95,https://www.amazon.com/dp/B0957TPWQJ,1
