query,title,docid,link,rel
Bronzer powder,"JAF Large Kabuki Bronzer Brush for Loose & Pressed Powder Mineral Foundation, Portable Face Makeup Bronzing Blush Highlighter Brush in Traveling (18SW-B） Big Fluffy Setting & Finishing Powder Brush",17466,https://www.amazon.com/dp/B093PD7493,2
Bronzer powder,Too Faced Bronzed Peach Melting Powder Bronzer Toasted Peach .44 oz,19211,https://www.amazon.com/dp/B07B4YGC67,4
Bronzer powder,"Benefit World O' Blush 4-Piece Set (Dandelion baby pink blush, Rockateur rose gold blush, Galifornia golden pink blush, Hoola Matte Bronzer)",4204,https://www.amazon.com/dp/B07NPS21L3,4
Bronzer powder,Sephora Collection Bronzer I ❤ Cushion Bronzer 0.176 Oz 02 Medium Tam,8743,https://www.amazon.com/dp/B01GD9Z5VA,4
Bronzer powder,Vital- Bare Science 8OZ,7913,https://www.amazon.com/dp/B00AAGTCS0,1
Bronzer powder,L.A.Colors Contour Stick CCS622 Bronzer,10234,https://www.amazon.com/dp/B07NF9Y13H,3
Bronzer powder,Estee Lauder x Victoria Beckham Modern Mercury Highlighter 2017 Version Limited Edition,18319,https://www.amazon.com/dp/B075D8LQRC,3
Bronzer powder,NARS Virtual Domination Cheek Palette 8305 Limited Edition HOLIDAY,19481,https://www.amazon.com/dp/B00OWTCQNO,4
Bronzer powder,Physicians Formula Talc-Free Mineral Face Powder Broad Spectrum Sunscreen Bronzer and Light Bronzer,3870,https://www.amazon.com/dp/B074VC67WG,4
Bronzer powder,Bronze Goddess Powder Bronzer by Estee Lauder 02 Medium 21g,3864,https://www.amazon.com/dp/B08WKQ2KZ3,4
Bronzer powder,"Physician's Formula Summer Eclipse Radiant Bronzing Powder, Moonlight/Light [3104] 0.30 oz (Pack of 2)",419,https://www.amazon.com/dp/B07TXGF1TP,4
Bronzer powder,Icing Expert Retractable Kabuki Brush Girls Black None,3103,https://www.amazon.com/dp/B00OI684KA,2
Bronzer powder,NYX California Beamin Face & Body Bronze,15606,https://www.amazon.com/dp/B081FDDSHZ,4
