query,title,docid,link,rel
Cardigan sweater with pockets,"Cute Big Bowknot Red Headband For Little Girls Dress Up Birthday Party,Halloween,Christmas(Red)",779,https://www.amazon.com/dp/B07V9FVH7Z,1
Cardigan sweater with pockets,Collar Pins Bee cardigan clips Bee Tie tacks Bees sweater guards Collar Chains,1126,https://www.amazon.com/dp/B01N02WZIX,2
Cardigan sweater with pockets,Birds Collar Pins Tree Swallow Collar Chains Swallow Tailed Kite Bird Sweater Guards MyElegantThings Angelin Verbuni,2264,https://www.amazon.com/dp/B00MLCRJN6,1
Cardigan sweater with pockets,Qyz@double-sided Hooded Fluffy Lambs Wool Warm with Thin Overcoat,5668,https://www.amazon.com/dp/B00FZLGEMM,2
Cardigan sweater with pockets,Generic 4pcs Sweater Clips for Women Sweater Shawl Clips Pins Safety Cardigan Clip Chain Silver Vintage Sweater Collar Clip Retro Dresses Shawl Pearl Clip,6401,https://www.amazon.com/dp/B09PYNH6FS,1
Cardigan sweater with pockets,"Cute Big Bowknot Headband For Little Girls Dress Up Birthday Party,Halloween,Christmas(Red)",18047,https://www.amazon.com/dp/B08TWLXZYN,1
Cardigan sweater with pockets,Sexyshine Women's Casual Fall Knit Long Sleeve Tassels Irregular Loose Cardigan Pullover Striped Sweater Poncho,23852,https://www.amazon.com/dp/B07G854X4J,4
Cardigan sweater with pockets,ALPHA CAMP Men's Long-Sleeve Hooded Full-Zip Fleece Jackets with Pockets Soft Polar Fleece Jacket,24027,https://www.amazon.com/dp/B09LLZZFLB,3
Cardigan sweater with pockets,Women's Summer Casual Plus Size Short Sleeve V Neck Bohemian Beach Hippie Soul Letter Print Loose Party Long Maxi Dress,24957,https://www.amazon.com/dp/B07V5VWLR6,1
Cardigan sweater with pockets,FQZWONG Y2k Tops Womens Tops Dressy Casual Plus Size Trendy Party Club Night Workout Athletic Going Out Cute Tunic Tops,25446,https://www.amazon.com/dp/B09W481QYR,1
Cardigan sweater with pockets,OutTop Quilted Fleece Lined Jacket Coats for Women Trendy Breasted Plus Size Winter Warm Lapel Button Down Parka Outwear,25641,https://www.amazon.com/dp/B09K7XXW13,3
Cardigan sweater with pockets,fesfesfes Womens Casual Long Sleeve Sweatshirt Crew Neck Cute Pullover Relaxed Fit Tops without Pockets,25747,https://www.amazon.com/dp/B0BNPH9M9S,1
Cardigan sweater with pockets,DOROSE Women's Long Sleeve Ruched Dresses Casual Bodycon T Shirt Dress,26028,https://www.amazon.com/dp/B08KT4CHS1,1
Cardigan sweater with pockets,Christian Shirts for Women - Way Maker Miracle Worker Light in The Darkness - Vintage Letter Print Prayer T-Shirt,26547,https://www.amazon.com/dp/B086WKFPD5,1
Cardigan sweater with pockets,SySea Womens Summer Short Sleeve T Shirts Slit V Neck Tunic Tops Casual Loose Cotton Tee,27152,https://www.amazon.com/dp/B08Q7NV5J7,1
Cardigan sweater with pockets,HIRIRI Women's Fuzzy Oversized Loose Long Pullover Sweater Dress with Pockets Round Neck Winter Tunic,27277,https://www.amazon.com/dp/B08GC1LV19,3
Cardigan sweater with pockets,Women's Blazer Notched Lapel Casual Striped Cardigan Jacket Long Sleeve Spring Outwear,27816,https://www.amazon.com/dp/B073HY1F3D,4
Cardigan sweater with pockets,True Angel Women's Round Neck Long Sleeve Allover Pointelle Pullover Sweater,28021,https://www.amazon.com/dp/B07DLM5M6T,3
Cardigan sweater with pockets,"Yingkis Women's Knitted Rainbow Cardigans Color Block Long Drape Knit Sweaters with Pockets,L",28833,https://www.amazon.com/dp/B07GZDJRMK,5
Cardigan sweater with pockets,Tootu Women Pregnant Maternity Nursing Stripe Breastfeeding T-Shirt Blouse,29301,https://www.amazon.com/dp/B07CRP1G22,1
Cardigan sweater with pockets,National Women's Long Sleeve Fair Isle Pattern Cardigan Sweater - Layer with your Favorite Knit Top,29479,https://www.amazon.com/dp/B0BCGJWBQD,5
Cardigan sweater with pockets,Huiyuzhi Womens Casual Loose Cardigans Sweater Plus Size Open Front Knitted Sweater (S-2XL) Gray Purple,29671,https://www.amazon.com/dp/B07DPJWM76,5
Cardigan sweater with pockets,OutTop Women Sherpa Fleece Lined Leggings Winter High Rise Thermal Stretch Long Johns Underwear Bottoms Tights Pants,29994,https://www.amazon.com/dp/B09989YBSM,1
Cardigan sweater with pockets,Zhitunemi Off The Shoulder Tops for Women Pirate Costume Women Tops and Blouses Short Sleeve,30115,https://www.amazon.com/dp/B091XPM9W4,1
Cardigan sweater with pockets,Show Me Your Pitties T-shirt for Women Pet Lovers Sunglasses Dog Graphic Blouse Casual Long Sleeve Tops Elastic Comfy Tee,31551,https://www.amazon.com/dp/B09NSCMBZ8,1
Cardigan sweater with pockets,Calvin Klein womens Classic,31963,https://www.amazon.com/dp/B095PWFY77,1
