query,title,docid,link,rel
Cardigan sweaters for women,Mikilon Cosplay Anime Dinosaur Women Sweatshirt Hoodie Costume Long Sleeve Coat T Shirt Top Oversized Yellow,152000,https://www.amazon.com/dp/B07X3LNVGL,3
Cardigan sweaters for women,Cute Cat Pullover T-Shirt for Womens Novelty 3D Graphic Cat Print Casual Short Sleeve Plus Size Tee Tops Summer Blouse Green,477231,https://www.amazon.com/dp/B08VW5DBRQ,2
Cardigan sweaters for women,Women V Neck Cold Shoulder Top Stripe Long Sleeve Tshirt Christmas Shirt with Dandelion Dragonfly Graphic Letter Print,104057,https://www.amazon.com/dp/B09K3Y6CFB,2
Cardigan sweaters for women,"LEXUPA Lightweight Cardigan for Women,Long Sleeve Open Front Cardigan Solid Color Top Single Breasted Top Light Jacket",477455,https://www.amazon.com/dp/B0B9NQ3TB7,4
Cardigan sweaters for women,Mikilon Cosplay Anime Dinosaur Women Sweatshirt Hoodie Costume Long Sleeve Coat T Shirt Top Oversized Orange,386867,https://www.amazon.com/dp/B07X2L41RH,3
Cardigan sweaters for women,"LEXUPA Long Sleeve O-Neck Pullover Top for Women,2022 Halloween Skeleton Print Sweatshirt,Casual Fashion Blouses Tops",459492,https://www.amazon.com/dp/B0B9B7D8W7,3
Cardigan sweaters for women,"Napoo Women Shawl Wrap Cardigan, Novelty Peacock Print Butterfly Wing Chiffon Long Cape Scarf Poncho",384035,https://www.amazon.com/dp/B074W1FBM8,4
Cardigan sweaters for women,Vintage Dresses for Women 1950s Christmas Long Sleeve Dress Snowflake Printed Belted Swing Cocktail Dress,286622,https://www.amazon.com/dp/B09G718L4P,2
Cardigan sweaters for women,"JEGULV Winter Coats for Men Casual Zip Up Hoodie Lined Thick Fleece Jackets Plus Size Mid Long Cardigans Outwear Black, X-Large",225075,https://www.amazon.com/dp/B09LH4K2NX,1
Cardigan sweaters for women,Zexxxy Hollow Long Sleeve Open Front Fall Outwear Coat Midi V-Neck Button Loose Knit Sweater Coat with Pockets Black,266503,https://www.amazon.com/dp/B0B6TKS4Q5,4
Cardigan sweaters for women,"Zexxxy Hollowed-Out Long Lantern Sleeves Sweaters for Women Cardigan Open Front Midi Loose V-Neck Button Knit Sweater Coat with Pockets Black, X-Large",406141,https://www.amazon.com/dp/B0B6TK3DF8,4
Cardigan sweaters for women,Zexxxy Casual Knit Cardigan Sweaters for Women with Pockets Hollowed Long Sleeve V-Neck Button Open Front Fall Outwear Coat Maroon,397381,https://www.amazon.com/dp/B0B6TJC52K,4
Cardigan sweaters for women,Zexxxy Women’s Open Front Draped Travel Cardigan Long Sleeve Loose Knit Cable with Pockets Maroon XL,450401,https://www.amazon.com/dp/B0B6TJKCMF,4
Cardigan sweaters for women,Zexxxy Women's Hollow Long Sleeves Knit Sweater Coat with Pockets V-Neck Open Front Buttons Cable Cardigan Black,270299,https://www.amazon.com/dp/B0B6TH3X35,4
Cardigan sweaters for women,Cenglings Yoga Pants for Women with Pockets Cropped Leggings for Women Tummy Control Workout Running Leggings for Women,440797,https://www.amazon.com/dp/B09J3DQR8T,1
Cardigan sweaters for women,OutTop Women's Winter Coat Trendy Patchwork Hooded Jacket Plus Size Slim Zipper Up Outwear Windbreaker with Pocket,104229,https://www.amazon.com/dp/B09J58NRSY,3
Cardigan sweaters for women,Men's Faux Leather Zip-Up Motorcycle Bomber Jacket Winter Thicken Parka Jackets Warm Hooded Military Coats,475184,https://www.amazon.com/dp/B07YQFWH9P,1
Cardigan sweaters for women,Clearacne Hengshikeji Plus Size Long Coats for Women Vintage Steampunk Overcoats Gothic Buttons Ladies Retro Jackets Outwear,487249,https://www.amazon.com/dp/B08LN8F43T,3
Cardigan sweaters for women,Aniywn Women's Summer Spaghetti Straps Dress Lace Patchwork Flare Swing Sundress Sleeveless Backless Mini Dress,170339,https://www.amazon.com/dp/B07QPYDT1J,2
Cardigan sweaters for women,Cute Cat Graphic T Shirts for Women Summer Dragonfly Print Loose Casual Tee Shirts Soft Comfy V Neck Tunic Tops Blouse D-Black,167377,https://www.amazon.com/dp/B097NBBSG8,2
Cardigan sweaters for women,Womens Soft Bras Summer Breathable Comfy Plain Color Front Cross Side Lace Sports Yoga Bra Full Cup Bra Vest Tops Beige,264858,https://www.amazon.com/dp/B094V1KY93,1
Cardigan sweaters for women,Replio Oversized Sweatshirt for Women Crewneck Pullover Print Graphic Y2k Long Sleeve Top Fleece Jersey Casual Teen Girls,145224,https://www.amazon.com/dp/B0BSMXWBCF,3
Cardigan sweaters for women,Shakumy Women's Teen Girls Long Sleeve Casual Slim Patchwork Cropped Crop Top Sweatshirts Sweaters Pullover Blouse Shirts,481519,https://www.amazon.com/dp/B08CXCJVMK,3
Cardigan sweaters for women,IFOTIME Butterfly Mushroom Print Sweatshirt for Women Pullover Aesthetic Graphic Crewneck Casual Oversize Long Sleeved Shirts,459603,https://www.amazon.com/dp/B09H6MV6QK,3
Cardigan sweaters for women,"KFSO Women's Winter Oversized Zipper Hooded Draped Pockets Coat Pullover Jumper (L, Dark Gray)",15164,https://www.amazon.com/dp/B07GV7QKYZ,3
Cardigan sweaters for women,Aokin Women Long Sleeves Cascading Open Front Asymmetric Hem Jumper Cardigan Knit Shawl,302962,https://www.amazon.com/dp/B00EJJ78F8,3
