query,title,docid,link,rel
Casual blazer for men in slim fit style,"Fall Sweaters for Women,Turtleneck Tartan Asymmetric Hem Tops Pullover Plaid Patchwork Sweatshirt Blouse",340976,https://www.amazon.com/dp/B08JVF1MXH,1
Casual blazer for men in slim fit style,"SHUZHXLZANGY Mens Suit Blazer Jacket Two Button Stretch Sports Coats,Big and Tall for Men 6XL,Dark Brown Herringbone 5XL",367050,https://www.amazon.com/dp/B0BHSZFTM2,4
Casual blazer for men in slim fit style,Men's Quarter Zip Polo Sweater Casual Solid Color Long Sleeve Wool Pullover Sweatshirts for Men Fashion Knitwear,79056,https://www.amazon.com/dp/B09P1BVH92,1
Casual blazer for men in slim fit style,"kaifongfu Shirt Men, Fashion Top Floral Print Button Long Sleeve Basic T Shirt Blouse (XXXL, Navy)",263003,https://www.amazon.com/dp/B0774M1MYD,1
Casual blazer for men in slim fit style,FLITAY Womens Plus Size Autumn Long Sleeve Blazer Suit Casual Petite Blazer Cardigan Tangerine L,477333,https://www.amazon.com/dp/B0BCWQZWCJ,4
Casual blazer for men in slim fit style,WHATLEES Mens Slim Fit Turtleneck Pullover Sweaters Print Designed Thermal Shirts,91013,https://www.amazon.com/dp/B07K9JXPNV,1
Casual blazer for men in slim fit style,FlekmanArt Mens Yoga Capri Pants Baggy Elastic Waist Drawstring Linen 3/4 Harem Gym Shorts,472297,https://www.amazon.com/dp/B098BFH7XP,1
Casual blazer for men in slim fit style,PIOXIIO Women's Blazer Jackets Long Sleeve Button Down Slim Fit Blazer Office Work Casual Blazer Jackets with Pockets,446708,https://www.amazon.com/dp/B0BBL6FPTF,5
Casual blazer for men in slim fit style,Ladies Fashion Casual Solid Color Three Quarter Sleeve Sleeve Cardigan Short Small Coat Womens plus Size Jackets,487127,https://www.amazon.com/dp/B0BQBZHX7P,1
Casual blazer for men in slim fit style,KIMILILY Sports Jacket for Men Slim Fit One Button Blazer Jackets Casual Suit Coats,184705,https://www.amazon.com/dp/B01M67UYCC,5
Casual blazer for men in slim fit style,FLITAY Womens Casual Solid Color Loose Blazer Open Front Oversized Blazer Coat Rose Red S,368377,https://www.amazon.com/dp/B0BFH8FJWB,4
Casual blazer for men in slim fit style,kaifongfu Men Long Sleeve Top Spring Autumn Cotton T Shirt Men Solid Color Tshirt,381443,https://www.amazon.com/dp/B076MGN9W4,1
Casual blazer for men in slim fit style,Cotton V Neck T Shirt Short Sleeve Button Up Slim Fit Sold Summer Fashion T-Shirt Tops Tee Shirt,446073,https://www.amazon.com/dp/B07RWKPZJ4,1
Casual blazer for men in slim fit style,Men's Casual Hoodies Sweatshirt Hipster Gym Long Sleeve Drawstring Plaid Jacquard Pullover Hooded Jacket,232974,https://www.amazon.com/dp/B0BJZNQCQV,1
Casual blazer for men in slim fit style,"TOOGOO(R) Men Slim Narrow Tie Men Fashion Casual Skinny Slim Narrow Tie Formal Wedding Party Necktie, 8 (Purple+Black Plaid Stripes)",492625,https://www.amazon.com/dp/B01LZ868TT,1
Casual blazer for men in slim fit style,Leif Nelson Men's Pullover Knitted Pullover Hoodie Pulli Basic Crew Neck Sweatshirt Longsleeve Sweater Slim Fit LN1755,406805,https://www.amazon.com/dp/B07BYS21BK,1
Casual blazer for men in slim fit style,Cameinic Men's Casual Slim Fit Turtleneck Pullover Sweaters Khaki,306363,https://www.amazon.com/dp/B01LZFWO7Q,1
Casual blazer for men in slim fit style,Letdown_Men tops Men Tshirts Graphic Funny Short Sleeve O-Neck African Print Casual Slim Fit Summer Fashion Top Blouse Beige,471815,https://www.amazon.com/dp/B07RD3JZX9,1
Casual blazer for men in slim fit style,Leif Nelson Men's Pullover Knitted Pullover Hoodie Pulli Basic Crew Neck Sweatshirt Longsleeve Sweater Slim Fit LN1755,28763,https://www.amazon.com/dp/B07HJCN51Z,1
Casual blazer for men in slim fit style,LEIF NELSON Men's Sweater Knitted Pullover Hoodie Basic Crew Neck Sweatshirt Longsleeve Long Sleeve Sweater LN1435,31753,https://www.amazon.com/dp/B075TB6R5X,1
Casual blazer for men in slim fit style,Drawstring Pant Fashion Men's Sport Pure Color Bandage Casual Loose Sweatpants,238678,https://www.amazon.com/dp/B07JP9Q86M,1
Casual blazer for men in slim fit style,Cameinic Men's Casual Slim Fit Turtleneck Pullover Sweaters Khaki,140536,https://www.amazon.com/dp/B01M12GJH6,1
Casual blazer for men in slim fit style,Cameinic Men's Casual Slim Fit Turtleneck Pullover Sweaters Gray,343044,https://www.amazon.com/dp/B01LYGTG6I,1
Casual blazer for men in slim fit style,"Cameinic Mens Cameinic Men's Casual Slim Fit Turtleneck Pullover Sweaters Black, X-Small",238739,https://www.amazon.com/dp/B01LZFWMI4,1
Casual blazer for men in slim fit style,Cameinic Men's Casual Slim Fit Turtleneck Pullover Sweaters Navy,112005,https://www.amazon.com/dp/B01MXMHH1B,1
Casual blazer for men in slim fit style,Men's Zip Knitted Cardigan Fleece Knitted Sweater Cardigan Coat Big and Tall,57161,https://www.amazon.com/dp/B07JB6P251,1
Casual blazer for men in slim fit style,2-Piece Suit Men's Fashion T-Shirt Tee Hippie Shirts Short Sleeve Beach Shirt Shorts Suit,74759,https://www.amazon.com/dp/B07PXD6D7V,1
Casual blazer for men in slim fit style,Ride Snowboards 2014/15 Men's Logo Henley Pullover (Navy - L) Size Large,480769,https://www.amazon.com/dp/B00MH6E3LC,1
Casual blazer for men in slim fit style,Yimoon Velvet Cardigan Jacket Open Front Lapel Collar Outerwear Sequin Duster Coat Velour Long Blazers for Women(Rosered-M),40711,https://www.amazon.com/dp/B0BCJHGLLB,4
Casual blazer for men in slim fit style,RIZI Overalls for Men Summer Button Down Short Sleeve Shirts One Piece Coverall Casual Cotton Plain Jumpsuit Tracksuits with Pockets Rompers,156366,https://www.amazon.com/dp/B09447XQPF,1
Casual blazer for men in slim fit style,"kaifongfu Men Blouse, Outwear Sweater Winter Slim Hoodie Warm Hooded Sweatshirt Coat Jacket",203191,https://www.amazon.com/dp/B076HMN7LQ,1
Casual blazer for men in slim fit style,"kaifongfu Men Blouse, Outwear Sweater Winter Slim Hoodie Warm Hooded Sweatshirt Coat Jacket",128862,https://www.amazon.com/dp/B076HQ27PC,1
Casual blazer for men in slim fit style,Fj�llr�ven Fj�llslim Shirt Long Sleeve,339911,https://www.amazon.com/dp/B07DXBSXQQ,1
Casual blazer for men in slim fit style,PHANTACI Solar Powered Womens Watch-Ultrathin Wrist Watches Simple and Casual or Classic Leather Watches Slim Watch for Men (Red Needle Black Leather Watch),361104,https://www.amazon.com/dp/B082G76YS1,1
Casual blazer for men in slim fit style,RONGKAI Mens Henley Shirt Long Sleeve Linen Cotton Roll-up Casual Beach Shirts,472889,https://www.amazon.com/dp/B09NVMPWXL,1
Casual blazer for men in slim fit style,"Men's Denim Suit Jacket Cotton Loose Daily Suits Sports Coat Classic Slim-Fit with Pockets Long-Sleeved Blazer (Dark Blue,Medium)",454519,https://www.amazon.com/dp/B09P3RDDZH,4
Casual blazer for men in slim fit style,hhaappyy Cloak Coat for Men Winter Warm Gothic Wool Faux Fur Collar Long Cape Cloak Vintage Game of Thrones Fleece Jacket,105693,https://www.amazon.com/dp/B0B8SSQZ59,1
Casual blazer for men in slim fit style,Two Piece Outfits for Women Long Sleeve Deep V-Neck Ruffle Hem Top and Bodycon Pencil Pants Set,444892,https://www.amazon.com/dp/B0BC3C62PQ,1
Casual blazer for men in slim fit style,Clearance! OOEOO Man T-Shirt Skull 3D Printing Tees Shirt Short Sleeve Blouse Tops,266319,https://www.amazon.com/dp/B07DW8ZJKQ,1
Casual blazer for men in slim fit style,Clearance! OOEOO Man T-Shirt Skull 3D Printing Tees Shirt Short Sleeve Blouse Tops,36056,https://www.amazon.com/dp/B07DW3HW79,1
Casual blazer for men in slim fit style,"Pans Sport Men's Tear Away Pants Basketball Casual Training Pant Warm Up Loose Casual Open Leg Sweatpant with Pockets (Gray, L)",484717,https://www.amazon.com/dp/B0B1D6YPMB,1
Casual blazer for men in slim fit style,YMING Women's Solid Color Business Blazer Button Down Work Blazer Office Cropped Jacket Wine Red XL,489862,https://www.amazon.com/dp/B0BCWSG3J7,4
Casual blazer for men in slim fit style,ANJUNIE mens Running Shorts,215982,https://www.amazon.com/dp/B07MDQN1BL,1
Casual blazer for men in slim fit style,Letdown_Men tops Men Tshirts Graphic Funny Short Sleeve O-Neck African Print Casual Slim Fit Summer Fashion Top Blouse Red,444962,https://www.amazon.com/dp/B07RKFMZ46,1
Casual blazer for men in slim fit style,Letdown_Men tops Men Tshirts Graphic Funny Short Sleeve O-Neck African Print Casual Slim Fit Summer Fashion Top Blouse Dark Blue,465838,https://www.amazon.com/dp/B07RLH7V2Q,1
Casual blazer for men in slim fit style,Letdown_Men tops Men Tshirts Graphic Funny Short Sleeve O-Neck African Print Casual Slim Fit Summer Fashion Top Blouse Khaki,471203,https://www.amazon.com/dp/B07RKG6Z4H,1
Casual blazer for men in slim fit style,"Yazubi Men's Trousers Chino Pants Kyle Slim - Tapered Casual, Black (2000), W38/L32",435057,https://www.amazon.com/dp/B01EN2DR96,1
Casual blazer for men in slim fit style,"Yazubi Men's Trousers Chino Pants Kyle Slim - Tapered Casual, Beige (1002), W34/L30",466870,https://www.amazon.com/dp/B00U8M82PU,1
Casual blazer for men in slim fit style,"Boy T-Shirt, OOEOO Men Cool Skull Printing Tees Shirt Short Sleeve Essential Blouse",40035,https://www.amazon.com/dp/B07DWT7LD5,#N/A
Casual blazer for men in slim fit style,Unifizz Womens Casual Work Office Blazer Jacket with Pocket Red S,101919,https://www.amazon.com/dp/B07S3ZR7QP,#N/A
