query,title,docid,link,rel
Clear lip gloss,"J2 Honey Lip Gloss, clear with SPF 15, Aloe Vera and Vitamin E",470,https://www.amazon.com/dp/B07P1L4319,4
Clear lip gloss,"Smackers Lip Sparkler Moisturizing Shimmer Gloss, 0.27 Fl Oz",14560,https://www.amazon.com/dp/B002D42D0G,3
Clear lip gloss,Rimmel London KISS OFF Lip Gloss The Morning After,10033,https://www.amazon.com/dp/B000NWNC9Q,4
Clear lip gloss,"Lip Gloss Base 10 Ounce (350 ML) PARAMISS Moisturize Lip Gloss Base for Making Your Own Lip Glaze, Diy Lip Plumper Making Organic Diy lip Glow Diy clear lip gloss (B)",7609,https://www.amazon.com/dp/B0982TYDMK,3
Clear lip gloss,Broadway Vita-Lip Mango Butter Lip Gloss,2899,https://www.amazon.com/dp/B081S85MK3,4
Clear lip gloss,2 PACK!! Ruby Kisses Jelly Lippies Lip Gloss (RCLG01 Clear & RMLG02 Mermaid),14994,https://www.amazon.com/dp/B07T7Z61PY,4
Clear lip gloss,Victoria's Secret Sweet Truffle Flavors of Lip Gloss 0.46 fl oz (Sweet Truffle),1785,https://www.amazon.com/dp/B091MR7RTW,3
Clear lip gloss,"BURTS BEES Autumn Haze Lip Gloss, 1 EA",21235,https://www.amazon.com/dp/B00C7L1M2K,3
Clear lip gloss,NARS Orgasm Lipstick Mini (Peachy Pink),7209,https://www.amazon.com/dp/B072N1YJYP,3
Clear lip gloss,"BURTS BEES Starry Night Lip Gloss, 1 EA",14725,https://www.amazon.com/dp/B00C7L1QYY,3
Clear lip gloss,Candylipz Red Single Lobe,5837,https://www.amazon.com/dp/B01JJ62KWQ,2
Clear lip gloss,"Luna By Luna Lip Gloss""Venus""",12133,https://www.amazon.com/dp/B08GBYSYK2,3
Clear lip gloss,Cordless Wand Massager,14021,https://www.amazon.com/dp/B009PG0LX6,3
Clear lip gloss,"Lip Gloss Tubes with Wand Empty, 10 Pack 5ml Transparent Lip Gloss Containers, Clear Crystal Lip Gloss Tubes with Rubber Stoppers for DIY Lip Gloss",15053,https://www.amazon.com/dp/B089RMX2D1,2
Clear lip gloss,Victoria's Secret Flavors of Holiday Lip Gloss (Biscotti Crush),17159,https://www.amazon.com/dp/B083C4448K,3
Clear lip gloss,"Disney Princess 10-Pack Roll-on Lip Gloss, Flavored",15775,https://www.amazon.com/dp/B01NBJA2VW,3
Clear lip gloss,DIY Kit Creations: Clear Lip Gloss Tube Labels - Pack of 36 Stickers,8131,https://www.amazon.com/dp/B07N81L86G,3
Clear lip gloss,2 PACK!! Ruby Kisses Jelly Lippies Lip Gloss (RMLG02 Mermaid),11539,https://www.amazon.com/dp/B07T926B6V,3
Clear lip gloss,"BURTS BEES Rosy Dawn Lip Gloss, 1 EA",768,https://www.amazon.com/dp/B00C7L1P6S,3
Clear lip gloss,LipSense (Pearl),8613,https://www.amazon.com/dp/B077NMLYWS,1
Clear lip gloss,Rich & Dazzling High-Shine Sparkling Lip Gloss (Pretty Penny),14603,https://www.amazon.com/dp/B07N4DDF7K,3
Clear lip gloss,Khroma Beauty Honey Stick Lip Gloss - Cherry Blossom Honey,17601,https://www.amazon.com/dp/B00COQXLZO,3
Clear lip gloss,Starlooks Guilty Pleasure Lip Gloss,7732,https://www.amazon.com/dp/B00OSQKH1O,3
Clear lip gloss,Bite Beauty Yaysayer Plumping Lip Gloss Cider Donut - shimmering golden cocoa,263,https://www.amazon.com/dp/B08K5JMSY2,3
Clear lip gloss,MARC JACOBS Enamored Hi Shine Lip Lacquer Gloss 382 SUGAR High,3872,https://www.amazon.com/dp/B07XYFH5DZ,3
Clear lip gloss,Bath and Body Works Watermelon Lip Gloss .47 Ounce,4869,https://www.amazon.com/dp/B08VL3JGTD,3
Clear lip gloss,Victoria's Secret Wild Nectar Flavors of Lip Gloss 0.46 fl oz (Wild Nectar),15329,https://www.amazon.com/dp/B091MYXNC3,3
Clear lip gloss,Khroma Beauty Au Natural Lip Set - Set In The Flesh,1674,https://www.amazon.com/dp/B00C29026E,3
Clear lip gloss,"Samsung Galaxy Screen Protector,Tempered Glass Screen Protector for Samsung Galaxy",407,https://www.amazon.com/dp/B00JK38XUC,2
Clear lip gloss,Burts Bees 100% Natural Lip Gloss 6ml-263 Nearly Dusk,1625,https://www.amazon.com/dp/B00C7L1O1O,3
Clear lip gloss,Too Faced Love Debbi Awareness Lip Gloss - Breast Cancer - Limited Edition,1523,https://www.amazon.com/dp/B00MEQP1S4,3
Clear lip gloss,HIGHONLOVE Lip Gloss for Couples | Hydrating and Plumping Lip Gloss for Enhanced Sensation | Hemp Seed Oil Gloss | Soft Moisturizing Lip Gloss | Sensual Lip Gloss for Women (7 ml),15038,https://www.amazon.com/dp/B0BBK1B5BT,5
Clear lip gloss,Smashbox Be Legendary Lip Gloss - Sugar Cane 0.20oz (6ml),12016,https://www.amazon.com/dp/B00IZET1XK,3
Clear lip gloss,KISS Broadway Clear Lip Gloss 0.47oz/14ml 12Pcs (Mint Oil),19485,https://www.amazon.com/dp/B07QPVNH7J,4
Clear lip gloss,Cherimoya MAX Makeup Lip Polish bulk-12PCS SET (NUDE PEACH/STRAW),881,https://www.amazon.com/dp/B098W794X6,3
Clear lip gloss,"Sephora Ultra Shine Lip Gel Lipgloss, Fuchsia Fiesta",19782,https://www.amazon.com/dp/B0178I1BMC,3
Clear lip gloss,MAKE UP FOR EVER Lab Shine Lip Gloss Star Collection - S18 0.09 oz,20368,https://www.amazon.com/dp/B004H1197Q,3
Clear lip gloss,PUPA MILANO LIP PERFECTION LIPGLOSS (09),21987,https://www.amazon.com/dp/B0051JCY6S,3
Clear lip gloss,28 Pieces Honey Pots Shaped Lip Gloss Tube Empty Lip Gloss Containers Lip Balm Bottle Refillable Cute Lipstick Tubes with Wand for Women Girl DIY Cosmetics (Clear),7971,https://www.amazon.com/dp/B08LB18QT6,2
Clear lip gloss,Too Faced Lip Injection Extreme Lip Plumper STRAWBERRY KISS,2107,https://www.amazon.com/dp/B0842XJLVZ,4
Clear lip gloss,KISS Broadway Clear Lip Gloss 0.47oz/14ml 12Pcs (Coconut Oil),20822,https://www.amazon.com/dp/B07QQZTLCQ,4
Clear lip gloss,"NYX Mega Shine Lip Gloss 4-Piece Set, Assorted Colors (Shown in Photo)",8637,https://www.amazon.com/dp/B07P8WJWCP,3
Clear lip gloss,6Pack MAX Makeup Cherimoya Lip Polish (NUDE),14096,https://www.amazon.com/dp/B08P7XHZ8S,3
Clear lip gloss,Khroma Beauty Honey Stick Lip Gloss - Cherry Blossom Honey,20925,https://www.amazon.com/dp/B00CP2A0ZQ,3
Clear lip gloss,ModelCo Lip Lights Ultra Shine Creamy Gloss | Duo Pack | With-In-Built LED Lights & Mirror,13244,https://www.amazon.com/dp/B07PN7HBCM,3
Clear lip gloss,LA COLORS POUT Lipgloss MATTE (CLG641-Canoodle),18202,https://www.amazon.com/dp/B01E0HQFO8,3
Clear lip gloss,Hello Kitty Cosmetic Set,15186,https://www.amazon.com/dp/B004GSX0ZY,2
Clear lip gloss,Streamline Imagined Marshmallow S'more Lip Gloss,14956,https://www.amazon.com/dp/B07TDDBMQH,4
Clear lip gloss,"Frankies Bikinis Lip Butter Gloss, Sleeping Vegan Lip Mask Overnight, Moisturizing Lip Plumper, Vitamin E Lip Balm Moisturizer, Hydrating Lip Oil with Cocoa Butter, Made in USA, Guava 0.7 Ounces",9720,https://www.amazon.com/dp/B0B8DZ7H5F,3
Clear lip gloss,Ulta Beauty Jelly Gloss Lip Gel ~ Travel Size 0.25 fl oz ~ (medium pink w/shimmer) Beach Babe,12086,https://www.amazon.com/dp/B08JTCFPS3,3
