query,title,docid,link,rel
Crop top,Napoo Women Solid Adjustable Shoulder Straps Round Neck Sleeveless Crop Top,461921,https://www.amazon.com/dp/B0793NZJ9V,5
Crop top,Napoo Women Solid Adjustable Shoulder Straps Round Neck Sleeveless Crop Top,118266,https://www.amazon.com/dp/B0793MBZ7H,5
Crop top,Napoo Women Boho Halter Bustier Bra Vest Crop Tank Top Bralette,70106,https://www.amazon.com/dp/B0793PZR68,4
Crop top,Annflat Women's African Print Knee Length Flare Skirts with Pockets X-Large Red,189704,https://www.amazon.com/dp/B01LJG9Q5S,1
Crop top,zhuiming Womens Cute Cat Ear Hoodie Long Sleeve Crop Tops Off The Shoulder Sweatshirt Gothic Lace Up Pullover Hoodies Y2k Emo Clothes Alt Clothing Plus Size Anime Sweatshirts for Teen Girls Black,304233,https://www.amazon.com/dp/B09RZRDDBN,5
Crop top,Women Tank Tops Sleeveless Button Crop Tank Tops Summer Casual V-Neck Shirt Tunic Blouse Tops,265629,https://www.amazon.com/dp/B091CXBC7N,4
Crop top,Leadingstar Women Crew Neck Long Sleeve Crop Top Midi Skirt Outfit Two Piece Bodycon Short Dress Black M,38274,https://www.amazon.com/dp/B01KFEFHUS,5
Crop top,Women Y2K Eyes Printed Crop Tank Vintage Sleeveless Graphic Print�Crop Top Summer Slim Fit Camisole Vest Top,258137,https://www.amazon.com/dp/B096XVBCDG,5
Crop top,Nike Huarache Drift,450684,https://www.amazon.com/dp/B00HV9E84M,1
Crop top,Izuku Midoriya Bakugou Katsuki Crop Top and Shorts Cosplay Costume Sets,284684,https://www.amazon.com/dp/B086PWWJG6,5
Crop top,BCDshop Crop Tops for Women Summer Ladies Cute Lace Chiffon Cami Top Camisole,207111,https://www.amazon.com/dp/B07C2QCZKF,5
Crop top,OutTop Women Fuzzy Sweater Hoodies Funny Cat Fleece Lined Hooded Pullover Sweatshirt Fall Winter Loose comfy Tunic Tops,378532,https://www.amazon.com/dp/B08P1T6Z9H,3
Crop top,"Fudule girls Casual,hoodie",445568,https://www.amazon.com/dp/B07QJZ3CYC,1
Crop top,JEEYJOO Women's Y2K Crop Tops Sleeveless Tees Lace Trimed Ruched Tank Hollow Out Top Black Type E Large,309002,https://www.amazon.com/dp/B08TRNGQNG,5
Crop top,JEEYJOO Women's Y2K Crop Tops Sleeveless Tees Lace Trimed Ruched Tank Hollow Out Top Black Type E X-Small,252291,https://www.amazon.com/dp/B08TRSH8DT,5
Crop top,Cosplay.fm Women's Super Speed New Costume Cosplay Suit,70346,https://www.amazon.com/dp/B07PNG3KR3,1
Crop top,Women Y2K Square Neck Ribbed Knitted Henley Shirt Button V Neck Slim Fit Long Sleeve Crop Tops Streetwear Clubwear,129359,https://www.amazon.com/dp/B0BQF59P46,5
Crop top,"E-Girl Clothing Kawaii Graphic Print Summer Crop Top for Teen Girls,Y2k Aesthetic Clothes O Neck Vintage Tee Top",290552,https://www.amazon.com/dp/B08VNQM2Q7,5
Crop top,Women Short Sleeve Crop Top Basic T-Shirt Cute Graphic Shirts Slim Fit Round Neck Y2K Top 90S E-Girl Clothes Streetwear,42286,https://www.amazon.com/dp/B08S3BJDGV,5
Crop top,Womens Bustier Push Up Corset Crop Tops Strapless Corsette Clubwear Slim Strappy Camisole Tee Off Shoulder Corset Top,490753,https://www.amazon.com/dp/B08XNJ4C4M,5
Crop top,Roma Costume 5 Piece Sexy Swat Agent Costume,419561,https://www.amazon.com/dp/B00EKE58ZE,1
Crop top,"Women Tanktops, Summer O-Neck Tops Shirts Letter Print Sleeveless Workout Tank T-Shirts Graphic Blouse",339464,https://www.amazon.com/dp/B08ZSG238Y,3
Crop top,Knitted Sweater Cardigan for Women Cute Daisy Flower Print Top Casual Button Down V-Neck Long Sleeve Lightweight Coat Outwear,450995,https://www.amazon.com/dp/B0BFQNDQ9Y,3
Crop top,AODONG Shirts for Women Plus Size Women's Sweatshirts Hoodies Tie-Dye Printed Tops Long Sleeve Gradient Pullover Hooded,384651,https://www.amazon.com/dp/B08TWMBWPR,3
Crop top,Mens Vintage Suede Shearling Coats Winter Faux Fur Sherpa Lined Long Jacket Classic Sheepskin Windproof Warm Outwear,485895,https://www.amazon.com/dp/B07YRW5R6G,1
Crop top,IEason Yoga Pants Women Printed Sports Yoga Workout Gym Fitness Exercise Athletic Pants,126109,https://www.amazon.com/dp/B076WYT2S1,1
Crop top,Fanteecy Women's Teen Girls Cute Cat Ear Hooded Sweatshirt Hoodies Crop Top Casual Pullover,103873,https://www.amazon.com/dp/B07G9Z1FBX,5
Crop top,Geckatte Girls Cute Crop Tops Tie Dye Hoodies Long Sleeve Casual Sweatshirts 3-12 Yrs,466219,https://www.amazon.com/dp/B08LD98B13,5
Crop top,Soffe Women's Plus Size Squad Crop,48376,https://www.amazon.com/dp/B099KC87M8,4
Crop top,Geckatte Girls Cute Crop Tops Tie Dye Hoodies Long Sleeve Casual Sweatshirts 3-12 Yrs,121798,https://www.amazon.com/dp/B08LD9MJ1F,5
Crop top,Eminence Stone Crop Collection Tube,4465,https://www.amazon.com/dp/B002OFR8XG,4
Crop top,"Pottseth Tunics For Women Summer,Cute Letter Print T-Shirts Casual Short Sleeve Blouses Tunic Shirts",399128,https://www.amazon.com/dp/B0897T7PYZ,1
Crop top,"Women Y2K Sleeveless Crop Tank Top V Neck Lace Slim Fit Cami Crop Tops Vintage Fairy Grunge Summer Tee(D-lace Gray,M)",470184,https://www.amazon.com/dp/B09P16T2R3,5
Crop top,Soffe Women's Squad Crop,288828,https://www.amazon.com/dp/B07NSQH1K9,4
Crop top,"Women Long Sleeve Top Y2K Fashion Graphic Tee Face Portrait Shirt Aesthetic Vintage Clothes Streetwear (A1 Black, Small)",36886,https://www.amazon.com/dp/B098DDQSTK,3
Crop top,"Gbrand Women's Floral Printed Sleeveless V Neck Camisole Lace Patchwork Spaghetti rap Bodyn Crop Top (Blue, Medium)",328850,https://www.amazon.com/dp/B08ZN5MCSF,5
Crop top,"Gbrand Women's Tie Dye Printed Sleeveless Camisole Lace Up Bandage Hanging Neck Crop Top (Green, Small)",107244,https://www.amazon.com/dp/B08ZMQQP4M,5
Crop top,winying Girls Shiny Metallic Racer Back Dance Sports Bra Crop Top Tanks Costume,421253,https://www.amazon.com/dp/B07PY32H2H,5
Crop top,inlzdz Women's Daddy's Girls Musical Party Halloween Cheer Leader Costume Fancy Dress Uniforms,193033,https://www.amazon.com/dp/B07WD3L64P,1
Crop top,I'm Not for Everyone Womens Sweatshirt with Heart Color Block Hand Lettered Design Women's Long Sleeve Tops Plus Size.S-5XL,180264,https://www.amazon.com/dp/B08PXXGFK3,3
Crop top,OutTop Women Fuzzy Sweater Hoodies Funny Cat Fleece Lined Hooded Pullover Sweatshirt Fall Winter Loose comfy Tunic Tops,442600,https://www.amazon.com/dp/B09FYTJHTY,3
Crop top,"Gbrand Women's Sleeveless V-Neck Camisole Halter Bandage Crop Top Y2k Party Club Rave Outfits (Purple, Large)",463596,https://www.amazon.com/dp/B08ZLJBJDX,5
Crop top,Womens Teens Y2k Sleeveless Crop Top Portrait Print Tie Dye Vest Harajuku Punk Gothic Tops 90s E-Girl Streetwear,268578,https://www.amazon.com/dp/B094JGP37N,5
Crop top,Photno Women Elastic cage Bra Strappy Hollow Out Bra Bustier Crop top Bralette,175275,https://www.amazon.com/dp/B071H9J5P3,5
Crop top,Women's 2 Piece Boho Printed Outfits Halter Cross Neck Crop Top Wide Leg Loose Pant Sets Palazzo Jumpsuits,38149,https://www.amazon.com/dp/B092LZ9J8J,5
Crop top,"Sofia's Choice Women's Graphic Crop Top Basic Slim Fit Long Sleeve Ribbed Knit Crop Shirt (Large, Black)",251975,https://www.amazon.com/dp/B08KVYFBQY,5
Crop top,Women's Vintage Plaid Shirt Zip-Up Long Sleeve Mid Length Shirt Classic-Fit Long-Sleeve Lightweight Tunic Tops,311154,https://www.amazon.com/dp/B0BQVM2MX2,3
Crop top,Women's 2 Piece Boho Printed Outfits Halter Cross Neck Crop Top Wide Leg Loose Pant Sets Palazzo Jumpsuits,480751,https://www.amazon.com/dp/B092L81J83,5
Crop top,Sofia's Choice Women's Leopard Heart Long Sleeve T Shirt Round Neck Crop Top Black S,343090,https://www.amazon.com/dp/B08KVX94BS,5
Crop top,ForCutyShe Women's Round Neck Crop Top Basic Racerback Camisole Rib-Knit Solid Sleeveless Crop Tank Tops.(White S),125561,https://www.amazon.com/dp/B08TTZLKZ2,#N/A
