query,title,docid,link,rel
Cruelty-free makeup set,"purlisse Watermelon Makeup Remover Wipes: Cruelty-free & clean, Paraben & Sulfate-free, Aloe Vera soothes & hydrates, Cucumber calms| 30 Wipes",11705,https://www.amazon.com/dp/B0839LWZH9,4
Cruelty-free makeup set,DUcare Makeup Brush Set,5207,https://www.amazon.com/dp/B075JFY2W3,2
Cruelty-free makeup set,NYX Cosmetics Hot Singles Eye Shadow Whipped Cream,20133,https://www.amazon.com/dp/B00KATOTBM,2
Cruelty-free makeup set,"Mehron Makeup Paradise Brush - Medium Round, 814",15107,https://www.amazon.com/dp/B09BDGNHNY,2
Cruelty-free makeup set,Absolute New York Spritz 2 Fix (Dewy),15705,https://www.amazon.com/dp/B01BPNSRV4,2
Cruelty-free makeup set,"Real Techniques Eye Makeup Brush Set, Metallic Eye Gift Set, 4 Brushes",2887,https://www.amazon.com/dp/B08HRL8XLZ,2
Cruelty-free makeup set,LaRuce Beauty Abby Makeup Brush Set of 6 (Cruelty Free & Hypoallergenic),22850,https://www.amazon.com/dp/B092NVCTD3,2
Cruelty-free makeup set,Yardley London Traditional English Lavender Talc and Soap Gift Set (Pack of 2),9302,https://www.amazon.com/dp/B099SQS5YX,2
Cruelty-free makeup set,Too Faced Enchanted Wonderland Makeup Set,11683,https://www.amazon.com/dp/B08LKGZQTV,3
Cruelty-free makeup set,PUR brush set,17350,https://www.amazon.com/dp/B09QQQGQ1M,2
Cruelty-free makeup set,Mehron Makeup CreamBlend Stick - Foundation (.75 oz) (FAIR FEMALE),10575,https://www.amazon.com/dp/B005F5P9DS,2
Cruelty-free makeup set,Glow on 5th - GLOW + GO - Moisturizing Day Cream,6739,https://www.amazon.com/dp/B08PMYDGB7,2
Cruelty-free makeup set,"Portable Travel Bottles Set, INSFIT Leak Proof Travel Size Bottles Set, TSA Approved BPA Free Refillable Plastic Clear Containers for Toiletries or Makeup Liquid 6 Pack",17136,https://www.amazon.com/dp/B07YX9CB4S,2
Cruelty-free makeup set,"Makeup Revolution I Heart Makeup Highlighter, Mermaids Heart, 10g",21559,https://www.amazon.com/dp/B076TFQL1J,2
Cruelty-free makeup set,Dark Brown Waterproof Eyebrow Pencil with Castor Oil For Hair Growth | Double Sided With Eyebrow Brush],2965,https://www.amazon.com/dp/B08W8QM3LG,2
Cruelty-free makeup set,"Anime Makeup Brushes Set ,Kimetsu No Yaiba Cosplay Makeup Cosmetic Bag,Makeup Brush Set for Eyeshadow, Concealer, Foundation and Blusher (Kamado --02)",743,https://www.amazon.com/dp/B09HX2ZSVW,2
Cruelty-free makeup set,Makeup Remover Cloth & 2 mitts chemical free,6696,https://www.amazon.com/dp/B01M08J10H,2
Cruelty-free makeup set,KARA BEAUTY MAKE A STATEMENT ES102,14408,https://www.amazon.com/dp/B08P274GS4,2
Cruelty-free makeup set,"Colourpop ColourPop Eyeshadow Palette (FINE FEATHERED), 0.3 Ounce (Pack of 1)",17788,https://www.amazon.com/dp/B09L7D762N,2
Cruelty-free makeup set,Magic Wand Makeup Brushes Set - 5pcs Wizard Wand Makeup Brushes Foundation Blending Blush Eyeshadow Face Lip Powder Brush Beauty Tools (New-Bronze),812,https://www.amazon.com/dp/B07YG4PRTN,2
Cruelty-free makeup set,"bemndful Plant-based Micellar Cleansing Water All-in-One Gentle Cleanser, Makeup Remover for All Skin Types, Alcohol Free, Cruelty Free, All Natural Ingredients (8 oz)",10457,https://www.amazon.com/dp/B0176PV46K,2
Cruelty-free makeup set,LaRuce Sydney Makeup Brush Set of 8 (Vegan � Cruelty-Free � Hypoallergenic � Synthetic),17316,https://www.amazon.com/dp/B092NR8YTN,5
Cruelty-free makeup set,ColourPop Uh Huh Honey Eyeshadow Palette (Unboxed - Yellows Golds Neutrals),16969,https://www.amazon.com/dp/B09L7CCBXD,2
Cruelty-free makeup set,ULTA Beauty Box PIXAR Edition - 36 Piece Collection - Monster's Inc Themed Giftable Makeup Set,14692,https://www.amazon.com/dp/B09KT8FMV1,3
Cruelty-free makeup set,Too Faced Cinnamon Swirl Sweet & Spicy Eyeshadow Palette 18 Eyeshadow,19064,https://www.amazon.com/dp/B09J1RD9L6,2
Cruelty-free makeup set,Too Faced - Love Light Prismatic Highlighter (Ray of Light),2915,https://www.amazon.com/dp/B06XHNN74Y,2
Cruelty-free makeup set,"Mented Cosmetics | Better Setter Setting Spray | Alcohol Free Makeup Setting Spray | Finishing Spray for Makeup with Vitamin C and Coconut Water | Hydrating Facial Spray | Vegan, Cruelty Free, Fragrance Free Makeup",17891,https://www.amazon.com/dp/B09FZ4LZYP,3
Cruelty-free makeup set,"Everfavor 35 Colors Pro Eyeshadow Palette Colorful, Pigmented Matte Shimmer Glitter Eye Shadow Makeup Palette Beauty Cosmetics Pallet, Rainbow",1777,https://www.amazon.com/dp/B08ND3YJRP,2
Cruelty-free makeup set,"3D Fiber Lash | Liquid Lash Extensions Mascara for Curved False Lashes Effect - Long-Lasting, Natural Mascara Black Volume & Length by grace and stella",18956,https://www.amazon.com/dp/B01DZ6HRS8,2
