query,title,docid,link,rel
Eyebrow gel,i Envy by Kiss Eyebrow Extension Fiber #KBFE01,19242,https://www.amazon.com/dp/B07PPBQ3BK,4
Eyebrow gel,S.HE Makeup Eyebrow Powder & Gel with Brush 24hr (Dark Brown),7915,https://www.amazon.com/dp/B08FWCZBT3,4
Eyebrow gel,"KIMIEYE Gel Eyebrow Stamp Shaping Kit, Black and Brown Multi-purpose Gel Eyeliner Set, Waterproof & Sweatproof, Up to 24 Hour, Eye Makeup Brow Gel with 10PCS Reusable Eyebrow Stencils",10612,https://www.amazon.com/dp/B09F3SK5XN,4
Eyebrow gel,"CJMY Semi permanent Eyebrow Gel, Waterproof, 24 Hours Long Lasting, Natural, Smudge-Proof, Sweat Resistant, Tinted Liquid Brow Makeup (Coffee)",19413,https://www.amazon.com/dp/B08ZHMT4W4,4
Eyebrow gel,"4D Hair Stroke Brow Stamp Brush, Eyebrow Hair Stroke Brush, Multifunction Ultra-thin Angled Realistic Eyebrow Brush for Powder, Cream, Gel and Wax #Walnut",22780,https://www.amazon.com/dp/B0C5X4XJ1G,4
Eyebrow gel,"CJMY Semi permanent Eyebrow Gel, Waterproof, 24 Hours Long Lasting, Natural, Smudge-Proof, Sweat Resistant, Tinted Liquid Brow Makeup (DARK BROWN)",11384,https://www.amazon.com/dp/B08ZJ2JRQN,4
Eyebrow gel,"YAN XI Makeup Clear Eyebrow Setting Gel,Eyebrow Tattoo Pencil,Long Lasting Waterproof Smudge Proof Eyebrow Styling Pomade for Natural Brows, 2pcs (Dark Brown), 3 Count (Pack of 1)",2938,https://www.amazon.com/dp/B0915HRTVD,4
Eyebrow gel,"Electric Eyebrow Trimmer, Painless Eyebrow Razor with Light for Women, Cordless Hair Remover for Face, Upper Lips, Underarms, Chin Neck Portable Bikini Trimmer",11300,https://www.amazon.com/dp/B098DYV79Y,1
Eyebrow gel,u KARA Beauty Brow Pomadeh - DP15 BROW CREAM - Soft Brown,20696,https://www.amazon.com/dp/B077TBLWB8,3
Eyebrow gel,Retractable Eyebrow Pencil Blonde – MEIKING Micro Brow Pen Definer with Brush Eyes Makeup 0.002 oz (#04 Blonde),9219,https://www.amazon.com/dp/B07M8HVK7K,3
