query,title,docid,link,rel
Eyelash curler,"LA HAIR TOOLS LEANGELIQUE Heated Eyelash Curler - Le Angelique Heated Eyelash Wonder Curler, Heated Eyelash Curler & Brow Set",19421,https://www.amazon.com/dp/B01GSXET1S,4
Eyelash curler,Shiseido Eyelash Curler Sort Rubber 214 3 Pics,15648,https://www.amazon.com/dp/B00NF8GDP0,4
Eyelash curler,"sourcing map Rubber Lady Makeup Tool Eyelash Curler Replacement Pads, Black - 12-Piece",365,https://www.amazon.com/dp/B00OQ2JNIS,4
Eyelash curler,"evebel 30pcs Eyelash Curler Refills Pads, Silicone Rubber Curler Replacement Pads Refill Pads Multicolored Eyelash Curlers Pads with a Clear Storage Box Universal Gifts for Girls, Multi-colored",2511,https://www.amazon.com/dp/B098FBNSJN,4
Eyelash curler,"Heated Eyelash Curler,【2020 Upgraded】Ceramic Electric Eyelash Curler, USB Rechargeable Lash Curler with 3 Temperature Gears and LCD Display for Women Eyelashes Natural Curling (Pink)",22047,https://www.amazon.com/dp/B08L35BP36,4
Eyelash curler,"sourcing map 12 Pcs Eyelash Curlers Refill, Black Universal Replacement Pads for Eyelash Curler, Soft Replaceable Rubber Common-Sized Eye Lash Curler Refills Makeup Tool for Women",15111,https://www.amazon.com/dp/B00ZHOQOPE,4
Eyelash curler,"sourcing map 12 Pcs Eyelash Curlers Refill, Black Universal Replacement Pads for Eyelash Curler, Soft Replaceable Rubber Common-Sized Eye Lash Curler Refills Makeup Tool for Women",17274,https://www.amazon.com/dp/B00EZCQ0AS,4
Eyelash curler,"Padcist Eyelash Curler, Beauty Eye Lashes Mini Eyelashes Curler, with Silicone Pressure Refill Replacement Pads Pad Fits All Eye Shapes ( Black)",5349,https://www.amazon.com/dp/B07K2YH7WH,4
Eyelash curler,"Eyelash Curlers,Electric Portable Heated Eyelash Curlers with LED Light By eTTgear",6060,https://www.amazon.com/dp/B07D8PNN7J,4
Eyelash curler,"Eyelash Curler for Women, Girls, USB Electric lash Curler",4600,https://www.amazon.com/dp/B0928CDDN6,4
Eyelash curler,"Eyelash Curler,2019 Upgraded Heated Eyelash Curlers Portable Electric Lash Curling Tool with LED Light Eyelashes Curler",6416,https://www.amazon.com/dp/B08255T3VC,4
Eyelash curler,"Eyelash Curler,Upgrade Heated Eyelash Curlers with Comb Led Light Electric Eyelash Curling Tool for Eyes Makeup (Media)",7573,https://www.amazon.com/dp/B07WMRNHVY,4
Eyelash curler,"Eyelash Curler,2019 Upgraded Heated Eyelash Curlers Portable Electric Lash Curling Tool with LED Light Eyelashes Curler",17428,https://www.amazon.com/dp/B08255FFW1,4
Eyelash curler,PNSSL Electric Heated Eyelash Curler 2 in 1 Duble-Sided Rechargeable Heated Lash Curler with 3 Temperature Gears Portable Heating Eyelash Curler Natural Long-Lasting Eye Beauty Makeup Tools for Women,18038,https://www.amazon.com/dp/B09KBTRGVH,4
Eyelash curler,"Acavado Heated Eyelash Curler, USB Rechargeable Electric Eelash Curlers, Eye Lash Curler with Eyelash Comb for Makeup Natural Curling, Long Lasting Eye Lashes Tool for Women,Gray",9968,https://www.amazon.com/dp/B07CWTND8T,4
Eyelash curler,"OkSoBuy Huawei G610 C8815 case,PU Leather Wallet Magnet Wood grain leather texture Brown silicone (Huawei G610 C8815 Case) with Credit Card Holder Slots For Huawei G610 C8815 Stylus (Green)",96,https://www.amazon.com/dp/B00N31E4T6,1
Eyelash curler,"Heated Eyelash Curler, Electric Eyelash Curler with Essential Oil Jade Roller Bottle for Skincare Face Eye Neck Slimming & Firming Rejuvenate Skin",9212,https://www.amazon.com/dp/B07QDCGFJ8,4
Eyelash curler,"Express Beauty Boutique Eyelash Curler Curling Set with Silicone Refill Replacement Pads Pink, 5pc",9749,https://www.amazon.com/dp/B00T417IFQ,4
Eyelash curler,NEW fashion HOT sexy Long mixed Blue Gray Straight Anime cosplay wigs party Masquerade girls 50CM,14292,https://www.amazon.com/dp/B0088AGSPA,3
Eyelash curler,"Heated Eyelash Curler, Electric Eyelash Curler Rechargeable Professional Mini Small Eyelash Curler Heater USB Rechargeable Electric Eye Lashes Curling Tool for Women,Mini Portable Electric Makeup Eye",15970,https://www.amazon.com/dp/B07W7KFK1Q,4
Eyelash curler,"Juszczak 4D Silk Fiber Lash Mascara, Waterproof Mascara,4D Fiber Lash Mascara,Silicone Brush Natural Curving Lengthening Mascara Quick Dry Waterproof Long Lasting Smudge-Proof Eyelashes black Mascara, 4*3*13cm",10675,https://www.amazon.com/dp/B08S373GJZ,2
Eyelash curler,"NIPOO Eyelash Curler with Comb - Heated Eyelash Curler Electric Eyelash Brush with Dual Temperature and Fast Heated Function, Growth - Massage Wand, Black",3748,https://www.amazon.com/dp/B075WSPZ9L,4
Eyelash curler,CANMAKE Wide Fit Curler,16989,https://www.amazon.com/dp/B00312GL0W,4
Eyelash curler,"Aroamas Eyelash Perm Kit, Professional Quality Lash Lift, Semi-Permanent Curling Perming Wave, Lotion & Liquid Set",7770,https://www.amazon.com/dp/B00GVG8ELO,4
Eyelash curler,Eyelash Extension Blink Signature Mink C .15 X 11mm Lashes,23042,https://www.amazon.com/dp/B006JHDERE,2
Eyelash curler,Kiss Falscara Eyelash Wisps Lifting #03 (Pack of 3),4954,https://www.amazon.com/dp/B08P3TKRMJ,2
Eyelash curler,100 Pcs Disposable Eyelash Mascara Brushes Wands Applicator Makeup Brush Pink,14737,https://www.amazon.com/dp/B07916GWQN,2
Eyelash curler,Faith Beauty Dual Magnet False Eyelash,19065,https://www.amazon.com/dp/B078NDS3W9,2
