query,title,docid,link,rel
Face sheet mask,"BioMiracle StarDust Pixie Bubble Mask, Clarifying Foaming Face Mask with Green Tea and Apple, Carbonated Bubble Cupro Sheet Mask for Clear, Even Skin",6,https://www.amazon.com/dp/B08X7JHQG5,4
Face sheet mask,TOODOO 8 Sets Mermaid Face Gems Glitter Sticker Rhinestone Bindis Crystal Face Tattoo Forehead Decorations for Women Favors (Delicate Pattern),8,https://www.amazon.com/dp/B07CV988JX,1
Face sheet mask,3D Mask Bracket for Kids，Internal Support Holder Frame Nose Breathing Smoothly - Protect Lipstick Lips - Cool Face Mask Inner Support Frame-5Pcs,20,https://www.amazon.com/dp/B08FZB43ZK,2
Face sheet mask,"OSRSR Cryo Sticks,Unbreakable Stainless Steel Beauty Ice Facial Massage Tools for Woman,Skin Case Ice Globes Cryo Spoons,Cooling Globes Cold Globes for Face,Eyes & Neck",32,https://www.amazon.com/dp/B0924GT395,1
Face sheet mask,Becca Be A Light Palette (Medium to Deep),54,https://www.amazon.com/dp/B07DLGQBF5,1
Face sheet mask,Crewmate Temporary Tattoos | Imposter - Red is Sus - Emergency Meeting - Trust No One - Sabotage - Shhhh! & more | Pack of 28 | MADE IN THE USA | Skin Safe | Party Supplies & Stocking Stuffers | Removable,64,https://www.amazon.com/dp/B08RBDB6ZT,1
Face sheet mask,Buffing Granules Daily Exfoliating Cleanser - Scrub Away Dead Skin Cells & Stimulates Collagen Production by Newport Cosmeceuticals,68,https://www.amazon.com/dp/B07HPC9TLX,1
Face sheet mask,Eyebrow Tattoo Pen Waterproof Microblading Eyebrow Pencil with Micro-Fork Tip Brow Tint Tattoo Eyes Makeup Natural Hair-Like Defined Brows All Day (Black),88,https://www.amazon.com/dp/B07PRKKHRX,1
Face sheet mask,"EMIT - Massage and Body Lotion Contains Jojoba, Aloe, Vitamin E - Vegan Gluten Free Cream Lotion - Sensitive Skin - Recover, Rejuvenate, Hydrate, Refreshen Dry Crack Skin (Olive, 80ml (2.7 fl oz)",91,https://www.amazon.com/dp/B08SPXF6XD,3
Face sheet mask,"ETUDE Big Cover Skin Fit Concealer PRO (# Neutral Peach) (21AD) | Long-Lasting Closely Adhesive Cover Like Real Skin | Smooth and Perfect Makeup | Hides Dark Circles, Redness",101,https://www.amazon.com/dp/B08CVGMFRB,1
Face sheet mask,Technic Highlights Stick Cream Highlighter 7.3g-Bronze,123,https://www.amazon.com/dp/B01C5K7JYM,1
Face sheet mask,"Rose Quartz Roller and Gua Sha Facial Tool, Jade Roller for Face, Wrinkles, Eye Puffiness, Anti Aging. Face Massager. Durable, Natural Noiseless.",135,https://www.amazon.com/dp/B07P6RGTHL,1
Face sheet mask,"Blush With Me Blusher Cubes by W7 - Set of 3 Blush, Bronzer, Highlighter and Contour Pressed Powder Palettes - A Gorgeous Spectrum of Pink, Peach and Bronzed Shades with Soft Makeup Applicator Brushes",149,https://www.amazon.com/dp/B01F7RF9G0,1
Face sheet mask,4 Pieces Real Silk Night Sleeping Cap Floral Print Silk Bonnet Hat with Ribbon (Pure Color),165,https://www.amazon.com/dp/B08XTP92WG,1
Face sheet mask,"IAMBEAUTY 2 Jade Roller Massagers & Gua Sha Stone Board Scraping Face Tool Anti-Aging Natural Skincare Set for Face, Neck, Eyes & Body – Rejuvenating, Slimming, Massage Therapy Facial Kit",210,https://www.amazon.com/dp/B079Y3Y3ZV,
Face sheet mask,"Jade Facial Roller, jade massager roller jade stone roller for face neck eyes body healing",220,https://www.amazon.com/dp/B07DJBBP6G,1
Face sheet mask,"Neutrogena Visibly Clear Facial Cleansing Wipes, Pink Grapefruit, 25-Count (6 Pack)",226,https://www.amazon.com/dp/B07P8VNG17,1
Face sheet mask,"shower cap for women, 3 Pieces Waterproof Caps,Elastic Reusable Bathing Hair Cap,Beauty Salon Spa Shower Caps Lace Elastic Band Flower Printed Hat Environmental Protection Hair Bath Caps Shower Caps",236,https://www.amazon.com/dp/B08SQYCTPP,1
Face sheet mask,Super Light Thin Breathable Washable Reusable Paisley Themed Face Covering Protective Gear Selection (Pink_Peach_2set),279,https://www.amazon.com/dp/B08HSCS1RQ,2
Face sheet mask,BERON Rainbow Wigs Short Wavy Womens Wig with Bangs Curly Hair Wigs Synthetic Wigs Halloween Party Use,281,https://www.amazon.com/dp/B07QJFVNF7,1
Face sheet mask,"Manicure Kit By Aoyuele Nail Clippers Set 13 in 1 Grooming Kit Stainless Steel Professional Pedicure Kit,Nail Tools with Travel Case",285,https://www.amazon.com/dp/B08N6Y564F,1
Face sheet mask,"Almay Clear Complexion Pressed Powder, Hypoallergenic, Cruelty Free, Oil Free, Fragrance Free, Dermatologist Tested",287,https://www.amazon.com/dp/B071F78NNF,1
Face sheet mask,Josie Maran Escape To Morocco Holiday Hair & Body Beautifiers,293,https://www.amazon.com/dp/B00FG0SX9O,1
Face sheet mask,Microcurrent Facial Roller Massager V Shape Face Massager Body Slim Reduce Wrinkle Firm Body Tightening Improve Face,303,https://www.amazon.com/dp/B08S3DFHW6,1
Face sheet mask,"2 Pieces Women Facial Rollers Massager Face and Eye Puffiness Roller Stainless Steel Facial Roller Face Roller and Facial Tool White, Pink for Skin on Face and Neck",309,https://www.amazon.com/dp/B095CG99D8,1
Face sheet mask,3D Face Massager V Face Lift Tool Facial Care Massager Roller Firming Beauty Body Face Massage Massage Stick,310,https://www.amazon.com/dp/B08JVK8B58,1
Face sheet mask,"Vacso Mask Holder - Head band with Buttons for Face Mask - Perfect Ear Savers for Masks - Button Headbands for Nurses, Doctors, Yoga, and Sports - Soft Button Headband (B)",313,https://www.amazon.com/dp/B08DM8YHT3,1
Face sheet mask,SIMPLE RETRO Cotton Hair Bands Women's Headbands White Twisted Criss Cross Elastic Hair Band-4,316,https://www.amazon.com/dp/B0917BC2LK,1
Face sheet mask,"Simple Water Boost Cleansing Wipes Hydrating Makeup Remover For Sensitive Skin, 25 Count (Pack Of 3)",318,https://www.amazon.com/dp/B07N133RCG,1
Face sheet mask,"3-in-1 Beauty Bar 24k Gold Skin Care Facial Massager,Electric Face Massage Tools, Instant Face Lift, Anti-Wrinkles and Aging,Skin Tightening, Face Firming, Eliminate Dark Circles",329,https://www.amazon.com/dp/B07L7B9KGR,1
Face sheet mask,"FamzZONUS Silicone Bath Body Brush- Silicone Bath Brush, Exfoliating Brush, Shower Cleaner, Body Scrubbers for Use in Shower, Silicone Scrubber Body, Silicone Loofah for Women and Men",331,https://www.amazon.com/dp/B08KTZCKNX,1
Face sheet mask,"Farm Stay Black Pearl Gold Hydrogel Eye Patch 90g,Elastic,Moist,",332,https://www.amazon.com/dp/B01G09YUSC,3
