query,title,docid,link,rel
Gentle facial cleanser with natural ingredients,Yes to Carrots Gentle Exfoliating Facial Cleanser - 3.38 oz.,16975,https://www.amazon.com/dp/B001JHYKBS,3
Gentle facial cleanser with natural ingredients,Warming Trend Green Tea Masque - BEAUTCONTROL by BeautiControl,14945,https://www.amazon.com/dp/B00XWN0IHM,1
Gentle facial cleanser with natural ingredients,REBONCEL Aqua Rich Hydrating Face Foam Cleanser Gentle Hypoallergenic pH Balance Korean Skin Care Face Wash Cleansing Foam(8.45 fl.oz 250ml),12950,https://www.amazon.com/dp/B09X23VTSQ,2
Gentle facial cleanser with natural ingredients,Harmon Face Values 40-Count Cleanser Facial Sponges (10 Pack),21216,https://www.amazon.com/dp/B07BGB7SJN,3
Gentle facial cleanser with natural ingredients,Pure Biology Facial Cleanser - 6 Oz,20612,https://www.amazon.com/dp/B08LLGQWWZ,3
Gentle facial cleanser with natural ingredients,Eyelash Extension Cleanser -Foaming 100 ML Eyelash Shampoo/Wash Eyelash Extension Safe For Daily Use And Is Oil Free With Soft Brush (Aloe with Brush).,9344,https://www.amazon.com/dp/B07DZC5QYV,2
Gentle facial cleanser with natural ingredients,Mary Kay Velocity Cleanser & Moisturizer - Full Size,12282,https://www.amazon.com/dp/B001UC6E2K,2
Gentle facial cleanser with natural ingredients,"WIS Men Face Wash Oily Skin, Hydration Moisturizing, Nature Charcoal Facial Cleanser Deep Cleaning Sensitive Skin, Oil Control, Remove Blackheads, Anti-Acne, 6.34 Fl.oz",7696,https://www.amazon.com/dp/B08F3GBQMB,3
Gentle facial cleanser with natural ingredients,"Izod Mens 4-Piece Toiletry Travel Case Set with Body Wash, Facial Cleanser and Body Lotion",9064,https://www.amazon.com/dp/B076JGGPC9,3
Gentle facial cleanser with natural ingredients,NEW MURRAY'S BILLEY'S BEARD WASH GENTLE DAILY CLEANSER 4oz,12421,https://www.amazon.com/dp/B07F39P2ZL,2
Gentle facial cleanser with natural ingredients,Savannah Bee Company Propolis Extract Volcanic Ash and Charcoal Facial Cleanser,14514,https://www.amazon.com/dp/B077V7KZC2,3
Gentle facial cleanser with natural ingredients,Shea Moisture Raw Shea Chamomile & Argan Oil Baby Lotion 13 oz (Pack of 6),9971,https://www.amazon.com/dp/B01CTBOLSE,1
Gentle facial cleanser with natural ingredients,Dr. Jeannette Graf Youth Renewal Foaming Facial Cleanser 7 Fl Oz.,10859,https://www.amazon.com/dp/B06ZZ71GLQ,3
Gentle facial cleanser with natural ingredients,"Marc Anthony Cake Beauty Birthday Cleansing Scrub, 4.2 OZ",22381,https://www.amazon.com/dp/B0C2NJNWG1,1
Gentle facial cleanser with natural ingredients,"Care With Pride Clean & Clear Morning Burst Facial Cleanser, 8 Fl. Oz",4982,https://www.amazon.com/dp/B0947TFQ4Q,3
Gentle facial cleanser with natural ingredients,"Detox and Antioxidant Multi-Clay Face Mask -Bentonite,Green and kaolin -Activated Charcoal and Vitamin C - MINIMIZES PORES AND WRINKLES- 4oz",23077,https://www.amazon.com/dp/B07BKQ3FZV,1
Gentle facial cleanser with natural ingredients,"CeraVe Hydrating Facial Cleanser, 24 oz, For Normal to Dry Skin",6970,https://www.amazon.com/dp/B08LGVQDPG,3
Gentle facial cleanser with natural ingredients,Lashfresh Eye & Lash Foaming Clean Wash Eyelash Extension Cleanser Organic/Natural + Style and Cleansing Brush 50ml,9598,https://www.amazon.com/dp/B07H44ZQ9B,2
Gentle facial cleanser with natural ingredients,"Aperio Natural Best Facial Mask Moisturize with Vitamin A, Calendula and Shea Butter, Stimulates Skin Cell Renewal, Anti-Wrinkle",13992,https://www.amazon.com/dp/B017QJYWZ6,1
Gentle facial cleanser with natural ingredients,Vika's Essentials Facial Wash for oily skin,18679,https://www.amazon.com/dp/B00WYHLOWU,1
Gentle facial cleanser with natural ingredients,H2O Plus Sea Results 3-In-1 Foaming Cleanser-5 oz.,1773,https://www.amazon.com/dp/B008VZ3IHI,2
Gentle facial cleanser with natural ingredients,Bobbi Brown Makeup Melter and Cleanser Full size,9404,https://www.amazon.com/dp/B07TRPB4RH,2
Gentle facial cleanser with natural ingredients,Coconut Oil Cleansing Balm by Palmers for Unisex - 2.25 oz Cleanser - (Pack of 2),16318,https://www.amazon.com/dp/B086H5XPT3,2
Gentle facial cleanser with natural ingredients,tarte FRXXXTION Stick Exfoliating Cleanser,21178,https://www.amazon.com/dp/B01I4H195K,2
Gentle facial cleanser with natural ingredients,wwj Bubble Fresh Start Gel Facial Cleanser 1.7 Oz. Dermatologist Tested. For All Skin Types. Vegan and Cruelty Free.,22557,https://www.amazon.com/dp/B0BMN85LS2,3
Gentle facial cleanser with natural ingredients,Bamboo Charcoal Konjac Sponge Facial Cleansing,8897,https://www.amazon.com/dp/B01CRBVNI2,1
Gentle facial cleanser with natural ingredients,"Wotnot Naturals Facial Wipes, 10 travel 5 pks (50 total wipes)",16829,https://www.amazon.com/dp/B072DW13JL,1
Gentle facial cleanser with natural ingredients,DOLL FACE Facial Cleanser | Invigorate Triple-Action Face Wash | Exfoliating & Brightening Glycolic Acid & Citrus Enzymes | All Skin Types | 8 fl. oz,12518,https://www.amazon.com/dp/B00GUN0RSQ,3
Gentle facial cleanser with natural ingredients,"LaClaire Foaming Botanical Facial Cleanser with Enriched Antioxidant Botanicals - Nourishing pH Balanced Face Wash (50 ml/1.65 oz), Made in the USA",14619,https://www.amazon.com/dp/B07DXLDS9G,3
Gentle facial cleanser with natural ingredients,"Certified Organic Facial Toner; Cooling, Refreshing, Mildly Scented Peppermint Citrus Berry for Cleansing & Exfoliating! * 4.0 oz Blue Glass Bottle * Sulfate & Paraben Free! * Buy It! Love IT!",11543,https://www.amazon.com/dp/B00TJ80CO8,1
Gentle facial cleanser with natural ingredients,"Fleece Ear Warmers Headband for Men & Women, Thermal Polar Ear Muffs Warmers Keep You Warm and Cozy for Daily Wear, Sports, Running, Skiing and More",14785,https://www.amazon.com/dp/B00DT4757A,1
Gentle facial cleanser with natural ingredients,"William Roam Shampoo – Cruelty-free, Vegan, American-made – Cleansing, Daily – Ideal for All Hair Types, 8oz",21891,https://www.amazon.com/dp/B079TK2F9T,1
Gentle facial cleanser with natural ingredients,The Cottage Greenhouse Orange Blossom & Honey Face Mask | 2 oz / 56 g,15596,https://www.amazon.com/dp/B01N6X94ZK,1
Gentle facial cleanser with natural ingredients,"MANTL I Purifying, Aloe Based, Mens Face Wash I Natural Face Wash & Skincare for Men that Cleans, Soothes, and Hydrates the Face and Scalp I 90 Day Supply",13669,https://www.amazon.com/dp/B08YFJGBPS,1
Gentle facial cleanser with natural ingredients,UltraKlenz Wound and Skin Cleanser 8 oz. Spray Bottle,186,https://www.amazon.com/dp/B0006ULJVI,2
Gentle facial cleanser with natural ingredients,UltraKlenz Wound and Skin Cleanser 8 oz. Spray Bottle,9002,https://www.amazon.com/dp/B00HGPT6KM,2
Gentle facial cleanser with natural ingredients,"NATURAL DEODORANT, FOREST FRESH, NATURAL and ORGANIC Ingredients, EXTRA STRENGTH, EFFECTIVE, ALL NATURAL deodorant that WORKS! Aluminum free, Propylene Glycol free, By YAYA Organics",7907,https://www.amazon.com/dp/B0182X054C,1
Gentle facial cleanser with natural ingredients,"Best Facial Cleanser,Anti Aging Face Wash. Powerful 4 oz Serum Naturals Vitamin C, Alpha Hydroxy, Aloe&Rosemary.Deep Pore Cleansing Top #1 Antioxidant Helps Men and Women Get A Healthy Radiant Glow",8462,https://www.amazon.com/dp/B00AN8SOLG,3
Gentle facial cleanser with natural ingredients,"Essano Certified Organic Gentle Facial Exfoliator, 100ml (3.3oz)",4873,https://www.amazon.com/dp/B00NIDFAU6,1
Gentle facial cleanser with natural ingredients,Knight's Exclusives Hair & Body Oil 4oz,20244,https://www.amazon.com/dp/B079NRRBJB,1
Gentle facial cleanser with natural ingredients,Boutique Collection Facial Cleanser & Makeup Remover Foaming Face Wash 4 Oz,12503,https://www.amazon.com/dp/B00YB1TEJC,3
Gentle facial cleanser with natural ingredients,NaturOli Replenishing Body CREME - Olivander Scent - All Natural - 6 oz with Lotion Pump. - Gluten Free! - Made in USA!,5333,https://www.amazon.com/dp/B00BJCGK52,1
Gentle facial cleanser with natural ingredients,Facial Mask-Mud Magick Botanicals 3 oz Cream,51,https://www.amazon.com/dp/B00028NLKG,1
Gentle facial cleanser with natural ingredients,Facial Care Products Acai Chocolate Facial Exfoliate 3.38,21929,https://www.amazon.com/dp/B002IT6RBM,1
Gentle facial cleanser with natural ingredients,Anthony Logistics for Men The Perfect Shave Kit,14736,https://www.amazon.com/dp/B000J4K0WU,1
Gentle facial cleanser with natural ingredients,NWorld Nlighten Facial Cleanser 100ML,18685,https://www.amazon.com/dp/B01F0BZ756,3
Gentle facial cleanser with natural ingredients,"Huggies Natural Care Baby Wipe Refill, Fragrance Free (1,040 ct.)",1713,https://www.amazon.com/dp/B07NXW5397,1
Gentle facial cleanser with natural ingredients,"T.TAiO Esponjabon Aloe Vera Soap Sponge, 1 Pack",23180,https://www.amazon.com/dp/B094YSLHGW,1
Gentle facial cleanser with natural ingredients,"Portable Standing Desk | Laptop, Reading or Drawing | Ergonomic Design | Stand Up Desk | Bamboo",7711,https://www.amazon.com/dp/B07B6NFGTF,1
Gentle facial cleanser with natural ingredients,Skinfood Natural Face Masque and Exfoliant,2211,https://www.amazon.com/dp/B013HEI4IU,1
