query,title,docid,link,rel
Gloves for women,Sun Labs Exfoliating Gloves for Tan Removal - 2 Body Exfoliator Gloves for Sun Tanning Lotion,289,https://www.amazon.com/dp/B09FFS291Y,3
Gloves for women,FVCENT Short Curly Shoulder Length Full Bang Women Bob Wig for Cruella Costume Women for Halloween Party Costume (Black and White With accessories),663,https://www.amazon.com/dp/B09GP8KK8Z,1
Gloves for women,"Generic SYEB Self Cleaning Slicker Brush for Dogs and Cats, Pet Grooming Shedding Brush with Quick Release Button, Massages Particle & Promote Circulation (Blue)",770,https://www.amazon.com/dp/B08PYSJ1RR,1
Gloves for women,Exquisite Selebrity Fingerless Rhinestone & Sequins Bridal Lace Gloves (White),847,https://www.amazon.com/dp/B00QL9IFD8,4
Gloves for women,1920s Flapper Accessories Set for Women，Great Gatsby Inspired Leaf Medallion Pearl Headband Set,895,https://www.amazon.com/dp/B07SBYDTSQ,1
Gloves for women,"Generic Maanya Collection Reusable Silicone Exfoliating Body Scrubber Bath Shower Brush Soft Bristle Massager with Fill Soap Dispenser For Body Wash Gentle Skin Scalp Scrub Hair Comb,Pink,Medium",1241,https://www.amazon.com/dp/B092Q8VYG2,1
Gloves for women,Good Dye Young - Dye Duos - Semi Permanent Hair Dye and DYEposit Color Deposit Conditioner Bundle (Pink),1300,https://www.amazon.com/dp/B0BS1R47M7,1
Gloves for women,Legend Jam Reusable Silicone Body Scrubber Bath Exfoliating Shower Brush Soft Bristle Massager with Fill Soap Dispenser For Gentle Scrub Smoother Skin Scalp Body Wash Massage Hair Comb (Yellow),1329,https://www.amazon.com/dp/B08RDNDJW5,1
Gloves for women,Tenderly by URAD Delicate Leather Softener Conditioner w/Applicator 5 oz - Neutral,1572,https://www.amazon.com/dp/B0178JZSFC,1
Gloves for women,Ear Piercing Earrings Gold 6 Pairs Of 4mm Colored Pearl 16ga Studex Studs Hypoallergenic ear piercing gun kit cartilage earring for women,1584,https://www.amazon.com/dp/B00P9U2T8M,1
