query,title,docid,link,rel
Gray baggy jeans,"Kodaruber High Waist Wide Leg Denim Pants for Women,Fashion Boyfriend Oversized Baggy Jeans,Y2K Plus Size Loose Distressed Trousers Streetwear (D-Blue, S)",199371,https://www.amazon.com/dp/B09GFLK3D9,2
Gray baggy jeans,Oversized Women's Tunic Top Shirt or Dress Gray Size: Small - Medium,19333,https://www.amazon.com/dp/B00IDDTDTU,1
Gray baggy jeans,sunmoot Plus Size Women Black Embroidered Casual Bandage Punk Lace Up Bell Bottom Wide Leg Jeans,110491,https://www.amazon.com/dp/B07KP9QYL7,2
Gray baggy jeans,"cffvdiz Womens Mid Rise Raw Hem Bootcut Jeans Plus Size, Distressed Baggy Straight Leg Flare Denim Pants Loose Fit, S-XXL",49026,https://www.amazon.com/dp/B09LCMSBT9,2
Gray baggy jeans,"Indie Aesthetic 90s Low Waist Pants Women Gothic Cargo Wide Leg Baggy Jeans Harajuku Streetwear Punk (A-Black, M)",43846,https://www.amazon.com/dp/B09Q8JYYGJ,2
Gray baggy jeans,"Alaby Boyfriend Baggy Jeans for Women Ripped High Waisted Pants Straight Leg Distressed Stretch Loose Slim Black Denim Pants (Black, Medium)",467983,https://www.amazon.com/dp/B09BVXPMP8,2
Gray baggy jeans,"Toms - Youth Bimini Classic Slip-On Shoes, Size: 5 M US Big Kid, Color: Gray Chambray Skulls",391006,https://www.amazon.com/dp/B0130PS86E,1
Gray baggy jeans,Beret Braided Baggy Beanie Crochet Hat Ski Cap Women Lady Fashion(Beige),7327,https://www.amazon.com/dp/B00P8W5OJW,1
Gray baggy jeans,Diamond Eyelash Kit/Party Girl Long Silver metallic and adhesive,7586,https://www.amazon.com/dp/B08JY8RPJF,1
Gray baggy jeans,High Waisted Denim Jeans Y2K Women Wide Leg Straight Baggy Trousers Vintage Streetwear E-Girl Loose Trousers,81438,https://www.amazon.com/dp/B08P8L5PVM,2
Gray baggy jeans,"Incase Eo Travel Roller, Heather Gray CL90019",248119,https://www.amazon.com/dp/B012BOMO4C,1
Gray baggy jeans,Clairol Shimmer Lights Shampoo Blonde Silver 16 Ounce With 2 Ounce Conditioner (473ml),6790,https://www.amazon.com/dp/B07F2N3QTN,1
Gray baggy jeans,Zippo Ford Mustang 50 Years Limited Edition Translucent Gray 28543,153379,https://www.amazon.com/dp/B011FA47MU,1
Gray baggy jeans,SockGuy Classic 3in Widget Cycling/Running Socks (Widget - L/XL),336848,https://www.amazon.com/dp/B06XD92GLF,1
Gray baggy jeans,Smartwool Men's PhD Cycle Ultra Light Mini Socks (Light Gray) X-Large,326921,https://www.amazon.com/dp/B072KH3HZ6,1
