query,title,docid,link,rel
Hair repair oil,Dancoly Angel Nourishing Cream (Leave in) 180g,22617,https://www.amazon.com/dp/B07PJ54DY5,1
Hair repair oil,"Maui Moisture Thicken & Restore Bamboo Fibers Blow Out Mist, 8 fl. oz (Pack of 3)",11591,https://www.amazon.com/dp/B01N26L078,1
Hair repair oil,Dabur Amla Radiance Creme Shampoo (Shine Boost) 400ml. Provides Duzzling Shine for Dull Lifeless Hair,22332,https://www.amazon.com/dp/B01HAH1IFQ,3
Hair repair oil,"Nutrica360 Oatmeal Honey Hair Oil-repairs damaged hair, Stimulate hair Growth, Eliminate knots and tangles, soft and smooth hair, Moisturize hair with no leftover residue- 1 Fl Oz. (30ml)",12514,https://www.amazon.com/dp/B06Y1KXHW3,4
Hair repair oil,"John Frieda Detox and Repair Shampoo and Conditioner Set with Nourishing Avocado Oil and Green Tea, 8.45 Fl Oz (Pack of 2)",11626,https://www.amazon.com/dp/B08XJWLLKQ,3
Hair repair oil,"Xenia Paris XP Argan Infuser Formula Refill For Steam Flat Irons, 1 Bottle",5272,https://www.amazon.com/dp/B072K6RVGS,1
Hair repair oil,"Xenia Paris XP Argan Infuser Formula Refill For Steam Flat Irons, 2 Bottle",3645,https://www.amazon.com/dp/B072MQRT38,1
Hair repair oil,"Xenia Paris XP Argan Oil Infuser Formula Refill for Steam Flat Irons, 8 oz.",3640,https://www.amazon.com/dp/B075RFK4BW,3
Hair repair oil,"Bobbi Brown Soothe & Repair Extra Skincare Set: Soothing Cleansing Oil (200 ml), Extra Repair Eye Cream (15 ml), Extra Repair Moisturizing Cream (30 ml)",18374,https://www.amazon.com/dp/B08PPQDYGH,3
Hair repair oil,One 'n Only Argan Oil Moisture Repair With Acacia Collagen 12 oz (CONDITIONER),3965,https://www.amazon.com/dp/B08469K824,3
Hair repair oil,"GranNaturals Boar Bristle Smoothing Hair Brush for Women and Men - Medium/Soft Bristles - Natural Wooden Large Flat Square Paddle Hairbrush for Fine, Thin, Straight, Long, or Short Hair",5843,https://www.amazon.com/dp/B00R1TAN7I,3
Hair repair oil,"Magical Hair Treatment Mask - (2 PACK) Thin Fine Hair Keratin and Argan Oil Complex Hydrating Repair Treatment Professtional Hair Conditioner, Deep Conditioner Suitable for Dry Damaged Hair",19985,https://www.amazon.com/dp/B07YXPL3CN,4
Hair repair oil,Dove Nutritive Solutions Strengthening Conditioner for Damaged Hair Intensive Repair Deep Conditioner Formula with Keratin Actives 12 oz,1624,https://www.amazon.com/dp/B01K1GKNTU,3
Hair repair oil,Isoplus Black Castor oil & coconut oil Hair and Scalp Therapy 4oz,1014,https://www.amazon.com/dp/B07PNCS1T1,3
Hair repair oil,"Curve Nano Argon Oil Infused Smooth Comb 5 Piece Set - Dressing Comb, Pick Comb, Detangling Comb, Rattail Comb, Cutting Comb",23728,https://www.amazon.com/dp/B01MEHBA4E,3
Hair repair oil,Adria by Thalia Dry Shampoo 5 OZ,15691,https://www.amazon.com/dp/B07RNHD6ND,1
Hair repair oil,Grow Strong MAFURA - Natural Hair Growth Oil,20422,https://www.amazon.com/dp/B07C67F7MG,3
Hair repair oil,Natura Siberica Copenhagen Arctic Rose Repair Hair Mask 200ml,1003,https://www.amazon.com/dp/B01FO9NPT4,3
Hair repair oil,Dominican Hair Product Bonawell Puntas Sanas (Healthy Ends) 27ml,22167,https://www.amazon.com/dp/B002QAE5XK,3
Hair repair oil,Lemon Freckle Bundle,13799,https://www.amazon.com/dp/B09Q3QXJ13,1
Hair repair oil,"DR.EFFECTIVE Rosemary Hair Growth Oil,100% Pure Natural hair oil Infused with biotin,Organic Rosemary Essential Oil Hair Loss ScalpTreatment,StimulatesHair Growth,Strengthen, Moisturize & Thicken Naturally , Hair Growth for Women and Men 1.01 Fl oz (30ML) (3 Pack)",9377,https://www.amazon.com/dp/B0B87L2H8R,3
Hair repair oil,Toni & Guy Damage Repair Shampoo and Conditioner for Damaged Hair - 8.5 Fl Oz / 250 mL x Combo Pack,5661,https://www.amazon.com/dp/B07VN6GWXP,3
Hair repair oil,"Vidal Sassoon Pro Series Restoring Repair Conditioner, 12 Fluid Ounce",20114,https://www.amazon.com/dp/B012GK7HGQ,3
Hair repair oil,Tahe Magic Instant Spray Mask 125ml (4.22fl.oz). Do Not Rinse.,148,https://www.amazon.com/dp/B07NNXQXJX,1
Hair repair oil,Vatika Argan Enriched Hair Oil (300 ml),13817,https://www.amazon.com/dp/B00V0F4AFU,3
Hair repair oil,Shampoo For Dry Hair And Flaking Scalp – Dry Hair Shampoo For Women & Men – Moisturizing Anti Frizz with Vitamin E Argan Oil & Aloe Vera – Good for Color Treated Hair – By Biogreen Labs,10571,https://www.amazon.com/dp/B01I7YM6LQ,3
Hair repair oil,Shampoo For Dry Hair Flaking Scalp – Moisturizing Anti Frizz Nourishing Treatment – Aloe Vera Argan Oil – For Women and Men – Suitable for Color Treated Hair – By Huntington Labs,8318,https://www.amazon.com/dp/B01I7OCNSM,3
Hair repair oil,600ml Shampoo and 100ml Amegreen Grapefruit Peel Hair Growth Oil - Tinh Dau Buoi Amegreen va Dau Goi,22480,https://www.amazon.com/dp/B09T65L3CY,3
Hair repair oil,"Marc Anthony 100% Coconut Oil + Extra Virgin Hair & Body, 10 fl oz",3211,https://www.amazon.com/dp/B0741HK33T,3
Hair repair oil,Biotin Hair Shampoo for Thinning Hair and Hair Moisturizer for Dry Damaged Hair - Nourishing Biotin Shampoo for Men and Women and Hair Thickening Shampoo with Biotin Keratin and Coconut Oil for Hair,3325,https://www.amazon.com/dp/B072DXKJYG,3
Hair repair oil,Ogx Argan Oil Of Morocco Creamy Hair Butter 6.6 Ounce Jar (195ml) (6 Pack),19155,https://www.amazon.com/dp/B00QSKUOL6,3
Hair repair oil,Just Nutritive Damaged & Extreme Dry Hair Treatment | Oil Treatment for Damaged Hair | Natural Treatment for Scalp and Hair | Scalp Treatment for Men and Women 4 Fl Oz,15961,https://www.amazon.com/dp/B007USIFUW,3
Hair repair oil,by Deys Medical Stores Pvt Ltd Keo Karpin Hair Oil (strong roots and Silky Hair) by Deys Medical Stores Pvt Ltd,928,https://www.amazon.com/dp/B013M6LNJU,3
