query,title,docid,link,rel
High waisted jeans,LISTHA Womens Lace Hollow Out Floral Appliques Skinny Denim Jeans Pencil Pants,146598,https://www.amazon.com/dp/B09775HHJP,3
High waisted jeans,p9364 X-Large Black,383285,https://www.amazon.com/dp/B01H7JO7AK,2
High waisted jeans,Boot Cut Jeans for Woman Denim Pants Color Blocking Wide Leg Jeans Curvy Shaping Jeans Slim Fit with Pockets for Summer Skinny Jeans for Women Flare Sweatpants Women Women Reds 3X-Large,459935,https://www.amazon.com/dp/B0BVMDQJB8,3
High waisted jeans,"SOHO GLAM Super High Waisted Stretchy Skinny Jeans for Women, Black (X-Large Plus)",315597,https://www.amazon.com/dp/B0BB867FJN,4
High waisted jeans,ShopxBuy - Plus Size Shiny Sequin High Waisted Mini Shorts - Hot Pink - 3XL,108560,https://www.amazon.com/dp/B08MYBKGYS,1
High waisted jeans,Hemlock Women Drawstring Wide Leg Pants American Flag Print Lounge Pants Star Stripes Print Long Pants Soft Pajama Trousers,479448,https://www.amazon.com/dp/B08BJM1NYW,2
High waisted jeans,"Alaby Boyfriend Baggy Jeans for Women Ripped High Waisted Pants Straight Leg Distressed Stretch Loose Slim Black Denim Pants (Black, Medium)",467983,https://www.amazon.com/dp/B09BVXPMP8,4
High waisted jeans,sunmoot Plus Size Women Black Embroidered Casual Bandage Punk Lace Up Bell Bottom Wide Leg Jeans,110491,https://www.amazon.com/dp/B07KP9QYL7,3
High waisted jeans,Fragarn Workout Leggings for Women High Waisted Yoga Pant Anti Cellulite Legging,190420,https://www.amazon.com/dp/B08X4RSBK3,3
High waisted jeans,Sports Pants Stretch Sports Trouser Workout Leggings Yoga Women Print Pants Pocket Yoga Pants for Men,185822,https://www.amazon.com/dp/B0B8MHBLD6,3
High waisted jeans,"Yeyamei Pajama Pants for Women Lightweight,Women's Comfy Casual Striped Print Sweatpants Drawstring Palazzo Lounge Pants",248299,https://www.amazon.com/dp/B086HHF1WM,3
High waisted jeans,"New Mix Women's Solid Full 3"" Waistband Ankle Leggings (Black)",50497,https://www.amazon.com/dp/B07C8LZFSJ,3
High waisted jeans,POTILI Women's Boyfriend Jeans Stretchy Ripped High Waisted Casual Loose Fit Distressed Denim Pants for Women,151727,https://www.amazon.com/dp/B0989T52DZ,4
High waisted jeans,POTILI Women's Boyfriend Jeans Stretchy Ripped High Waisted Casual Loose Fit Distressed Denim Pants for Women,32491,https://www.amazon.com/dp/B0989V8HFQ,4
High waisted jeans,"Max & Mia Women's Modal Blend High Waist 7/8 Leggings, Large, Black",219737,https://www.amazon.com/dp/B09FH1PSB9,3
High waisted jeans,POTO Women's Jean Shorts Frayed Hem Ripped Distressed Denim Jeans High Waist Casual Summer Hot Short Pants Trousers,398294,https://www.amazon.com/dp/B08X4TKSL3,2
High waisted jeans,ELLA JEANS Plus Size Shorts,487487,https://www.amazon.com/dp/B00VB19VG6,2
High waisted jeans,SweatyRocks Women's Basic Solid Sleeveless Ribbed Knit Bodycon Midi Tank Dress Black L,35122,https://www.amazon.com/dp/B095XW6KHQ,1
High waisted jeans,"Kodaruber High Waist Wide Leg Denim Pants for Women,Fashion Boyfriend Oversized Baggy Jeans,Y2K Plus Size Loose Distressed Trousers Streetwear (D-Blue, S)",199371,https://www.amazon.com/dp/B09GFLK3D9,4
High waisted jeans,"5665 Women's Pants, Elastic Destroyed Hole Leggings Short Pants Denim Shorts Ripped Jeans",255920,https://www.amazon.com/dp/B091TMV6XC,3
High waisted jeans,"GOGOBO Workout Leggings for Women, High Waisted Workout Tummy Control Yoga Pants Textured Ruched Butt Lifting Tights",195825,https://www.amazon.com/dp/B08WLVD1HV,3
High waisted jeans,Jieson Overalls Jeans Shorts for Women High Waist Loose Fit Denim Shorts Sunflower Print Jumpsuit,304031,https://www.amazon.com/dp/B0913BK1Q6,2
High waisted jeans,Jieson Overalls Jeans Shorts for Women High Waist Loose Fit Denim Shorts Sunflower Print Jumpsuit,358900,https://www.amazon.com/dp/B0913F6QXQ,2
High waisted jeans,Jieson Overalls Jeans Shorts for Women High Waist Loose Fit Denim Shorts Sunflower Print Jumpsuit,205961,https://www.amazon.com/dp/B0913DQWBL,2
High waisted jeans,ANJUNIE mens Running Shorts,215982,https://www.amazon.com/dp/B07MDQN1BL,2
High waisted jeans,"FANCYNA Women's Ripped Flare Jeans Elastic High Waist Raw Hem Bell Bottom Denim Pants for Woman (White, Small)",358524,https://www.amazon.com/dp/B08NTBP419,4
High waisted jeans,"Winter Leggings for Women Warm, Fleece Lined Leggings Women Butterfly Print Thick High Waisted Winter Warm Leggings",109136,https://www.amazon.com/dp/B09MKG7TT8,2
High waisted jeans,Rebound Denim 30 Inch Skinny Jeans 14,94843,https://www.amazon.com/dp/B07QDBQ6JL,4
High waisted jeans,Women's High Waisted Workout Yoga Gym Seamless Shorts Push up,158624,https://www.amazon.com/dp/B08CDZ9HBP,2
High waisted jeans,"Women's Yoga Pants, Women Butt Lifting Yoga Pants High Waist Tummy Control Bubble Hip Lift Workout Running Tights",373881,https://www.amazon.com/dp/B08W59PM7Z,3
High waisted jeans,Uqnaivs Women's High Waisted Stretchy Flare Jeans Ripped Bell Bottom Denim Pants X-Large (fits US 16-18),348023,https://www.amazon.com/dp/B0986QTY3V,4
High waisted jeans,OutTop Winter Warm Fleece Lined Jeans for Women Thermal Tights Velvet Leggings Pants Skiing Jeggings Thick Skinny Pants,462604,https://www.amazon.com/dp/B09KY96V9S,4
High waisted jeans,OutTop Women's Winter Fleece Lined Jeggings High Waist Stretchy Thick Sherpa Jeans Slim Fit Thermal Denim Pants w/Pocket,220269,https://www.amazon.com/dp/B09KY8GXTH,4
High waisted jeans,Women's Sexy Stretch Skinny Butt Lift Skinny Leg Pants (White XXL),296590,https://www.amazon.com/dp/B019F6YJ60,3
High waisted jeans,vermers Clearance Women's Casual Point Stretchy Wide Leg Palazzo Lounge Pants Women Leisure Loose Mid Waist Trousers,71346,https://www.amazon.com/dp/B07GBF7Q29,3
High waisted jeans,Judy Blue Control Top High Waist Skinny Jeans! The Slimming Jeans You’ve Been Wanting! (Style: 88212) (7) Blue,191166,https://www.amazon.com/dp/B09CT54JZN,4
High waisted jeans,Judy Blue Control Top High Waist Skinny Jeans! The Slimming Jeans You’ve Been Wanting! (Style: 88212) (13) Blue,261189,https://www.amazon.com/dp/B09CSYC7CT,4
High waisted jeans,Boyfriend Jeans Wide Leg Pants High Waist Baggy Jeans for Women Men 90s Plus Size Blue,101776,https://www.amazon.com/dp/B08CTB6FQX,4
High waisted jeans,Boyfriend Jeans Wide Leg Pants High Waist Baggy Jeans for Women Men 90s Plus Size Blue,369968,https://www.amazon.com/dp/B08CTBR33V,4
High waisted jeans,Shakumy Women Elastic Waist Floral Lace Trim Summer Beach Shorts Plus Size Casual Active Workout Yoga Shorts Hot Pants,82862,https://www.amazon.com/dp/B084TZTQHC,2
High waisted jeans,"CUPSHE Women's Solid Color Halter Padding Bikini Set Bathing Suit,Black,X-Large",405528,https://www.amazon.com/dp/B01M3XI427,1
High waisted jeans,Men Slim Fit Ripped Destroyed Jeans Teen Boys Vintage Stylish Washed Stretch Skinny Biker Denim Pencil Pants,171504,https://www.amazon.com/dp/B07MCKT3NT,1
High waisted jeans,ZAKIO Women's Y2K Baggy Jeans High Waist Corduroy Wide Leg Pants Straight Denim Jeans Loose Fit Casual Streetwear Jeans Green,455218,https://www.amazon.com/dp/B098WZ6CQD,4
High waisted jeans,Judy Blue Control Top High Waist Skinny Jeans! The Slimming Jeans You’ve Been Wanting! (Style: 88212) (9) Blue,211784,https://www.amazon.com/dp/B09CT87QD9,4
High waisted jeans,Judy Blue Control Top High Waist Skinny Jeans! The Slimming Jeans You’ve Been Wanting! (Style: 88212) (11) Blue,291718,https://www.amazon.com/dp/B09CT9MQKW,4
High waisted jeans,"2013 new fashion Women Lady's Retro Vintage Style Light Blue Denim High Waist Flange Jean Shorts (XL, Dark Blue)",87701,https://www.amazon.com/dp/B00EU8PYHC,2
High waisted jeans,GREAT BIKERS GEAR - Men Engineered Protective Jeans Aramid Lining Motorcycle Biker Trousers Reinforced Protection Lining Knee,415136,https://www.amazon.com/dp/B09DTDYKPM,1
High waisted jeans,Hell Bunny Judy Capri Trousers,401028,https://www.amazon.com/dp/B06Y5N4MJ5,3
High waisted jeans,UOCUFY Women's Bubble Hip Butt Lifting Anti Cellulite Legging High Waist Workout Tummy Control Yoga Tights Hot Pink,479697,https://www.amazon.com/dp/B08WKWJQ5T,3
High waisted jeans,Bonnie Jean Boy's Tan Mock Top Turkey Pant Set (3T),282913,https://www.amazon.com/dp/B0744QFLW4,1
