query,title,docid,link,rel
High-waisted leggings with pockets,p9364 X-Large Black,383285,https://www.amazon.com/dp/B01H7JO7AK,1
High-waisted leggings with pockets,"Winter Leggings for Women Warm, Fleece Lined Leggings Women Butterfly Print Thick High Waisted Winter Warm Leggings",109136,https://www.amazon.com/dp/B09MKG7TT8,3
High-waisted leggings with pockets,"GOGOBO Workout Leggings for Women, High Waisted Workout Tummy Control Yoga Pants Textured Ruched Butt Lifting Tights",195825,https://www.amazon.com/dp/B08WLVD1HV,3
High-waisted leggings with pockets,Sports Pants Stretch Sports Trouser Workout Leggings Yoga Women Print Pants Pocket Yoga Pants for Men,185822,https://www.amazon.com/dp/B0B8MHBLD6,3
High-waisted leggings with pockets,"HCNTES Winter Pants for Women 2021, Warm Fleece Lined Leggings Women Thick High Waisted Winter Warm Tights Pants",320650,https://www.amazon.com/dp/B09JZNX1LJ,3
High-waisted leggings with pockets,"COMVALUE Winter Leggings for Women Warm, High Waist Solid Color Stretchy Thick Cashmere Leggings Warm Thermal Pants",119829,https://www.amazon.com/dp/B09HTT6WC9,3
High-waisted leggings with pockets,"HCNTES Winter Pants for Women 2021, Women Leggings Casual Printed Stretchy Ladies High Waist Keep Warm Long Tights Pants",97479,https://www.amazon.com/dp/B09LMGVW7Q,3
High-waisted leggings with pockets,BADBOM Winter Leggings for Women Fleece Lined Skin Tone Flesh 2Pcs Skin Elastic Medium Plus Penetrating Socks Ladies Coffee,385139,https://www.amazon.com/dp/B0B9HF1Y15,3
High-waisted leggings with pockets,"New Mix Women's Solid Full 3"" Waistband Ankle Leggings (Black)",50497,https://www.amazon.com/dp/B07C8LZFSJ,3
High-waisted leggings with pockets,"Winter Leggings for Women Warm, Fleece Lined Leggings Women Butterfly Print Thick High Waisted Winter Warm Leggings",41953,https://www.amazon.com/dp/B09MMXZZHZ,3
High-waisted leggings with pockets,"HCNTES Winter Pants for Women Warm, Soft Fleece Lined Leggings Women Thick High Waisted Winter Warm Causal Leggings Tights",218019,https://www.amazon.com/dp/B09H76KJKQ,3
High-waisted leggings with pockets,iLOOSKR Women's Summer Casual Athletic Shorts Drawstring Loungewear Pants Elastic Comfy Shorts Sport Pants,142025,https://www.amazon.com/dp/B08YNSS1NV,1
High-waisted leggings with pockets,UOCUFY Women's Bubble Hip Butt Lifting Anti Cellulite Legging High Waist Workout Tummy Control Yoga Tights Hot Pink,479697,https://www.amazon.com/dp/B08WKWJQ5T,1
High-waisted leggings with pockets,V17ee Women's High Waisted Yoga Pants Tummy Control Slimming Booty Leggings Workout Butt Lift Tights,52907,https://www.amazon.com/dp/B08KWGSVGY,3
High-waisted leggings with pockets,Womens Wide Leg Lounge Pants Ruffle Pleated Loose Cotton Linen Palazzo Pant Loose Comfy Tie Bow Drawstring Trousers Summer Casual Flowy Crop Pajama Pants 2019,430527,https://www.amazon.com/dp/B07VK3BS87,1
High-waisted leggings with pockets,Goldweather Women High Waisted Yoga Shorts with Adjustable Waist Corset Belt Leggings Tummy Control Workout Biker Shorts,186077,https://www.amazon.com/dp/B095WVGSJQ,3
High-waisted leggings with pockets,ShopxBuy - Plus Size Shiny Sequin High Waisted Mini Shorts - Hot Pink - 3XL,108560,https://www.amazon.com/dp/B08MYBKGYS,1
High-waisted leggings with pockets,MANIFIQUE Yoga Pants Workout Leggings with Pockets Tummy Control High Waist Running Pants Gym Fitness,271892,https://www.amazon.com/dp/B08BC1PBN5,3
High-waisted leggings with pockets,MANIFIQUE Yoga Pants Workout Leggings with Pockets Tummy Control High Waist Running Pants,316822,https://www.amazon.com/dp/B089GGFN5K,3
High-waisted leggings with pockets,MANIFIQUE Yoga Pants Workout Leggings with Pockets Tummy Control High Waist Running Pants,317563,https://www.amazon.com/dp/B089GH4LT3,3
High-waisted leggings with pockets,Goddessvan Premium High Waist Tummy Compression Slimming Leggings Workout Running Yoga Pants,38023,https://www.amazon.com/dp/B07BXGJXWT,3
High-waisted leggings with pockets,Goddessvan Premium High Waist Tummy Compression Slimming Leggings Workout Running Yoga Pants,188199,https://www.amazon.com/dp/B07BX85GB4,3
High-waisted leggings with pockets,KIWI RATA Scrunch Butt Leggings with Pockets for Women Ruched Booty Lifting Yoga Pants High Waist Workout Tights,110227,https://www.amazon.com/dp/B08JLJYBLV,3
High-waisted leggings with pockets,"ANIVIVO Women Tennis Skirts with Pockets, High Waist Golf Skirts for Women Skirts Tennis Clothes(Grey,L)",181661,https://www.amazon.com/dp/B07MY3DZ1R,3
High-waisted leggings with pockets,ZHENWEI Leggings with Pockets for Women Running Workout Sport Gym Yoga Pants Plus Size,461285,https://www.amazon.com/dp/B07VV41KFF,3
High-waisted leggings with pockets,Fragarn Workout Leggings for Women High Waisted Yoga Pant Anti Cellulite Legging,190420,https://www.amazon.com/dp/B08X4RSBK3,3
High-waisted leggings with pockets,COPPEN Women Leggings High-Waisted Skinny Sport Push Up Yoga Pants,466715,https://www.amazon.com/dp/B07LGB1ZNL,3
High-waisted leggings with pockets,ZHENWEI Leggings with Pockets for Women Running Workout Sport Gym Yoga Pants Plus Size,95370,https://www.amazon.com/dp/B07VV2VPBT,3
High-waisted leggings with pockets,"5665 Women's Pants, Elastic Destroyed Hole Leggings Short Pants Denim Shorts Ripped Jeans",255920,https://www.amazon.com/dp/B091TMV6XC,3
High-waisted leggings with pockets,CUGOAO Fleece Lined Leggings with Pockets High Waisted Thermal Warm Workout Leggings Tights Winter Warm Yoga Pants for Women,26695,https://www.amazon.com/dp/B0995N2PDW,3
High-waisted leggings with pockets,BALEAF Women's 7/8 Running Leggings High Waisted Workout Yoga Hiking Leggings with Zipper Pocket Drawstring,132413,https://www.amazon.com/dp/B0B7HHFDJY,3
High-waisted leggings with pockets,Elogoog Clearance 2018 Summer Women's High Waisted Printed Capri Leggings Fitness Workout Active Yoga Pants,337416,https://www.amazon.com/dp/B07CHCDL1G,3
High-waisted leggings with pockets,Elogoog Clearance 2018 Summer Women's High Waisted Printed Capri Leggings Fitness Workout Active Yoga Pants,369463,https://www.amazon.com/dp/B07CHGNVWC,3
High-waisted leggings with pockets,"SPANX Women's Cut & Sew Cropped Knit Leggings, Dark Indigo, XL",118674,https://www.amazon.com/dp/B01ABQSY2I,3
High-waisted leggings with pockets,FULL TILT Contrast Stitch Carpenter Pants,200821,https://www.amazon.com/dp/B09MBCPM2B,1
High-waisted leggings with pockets,BEELU FASHION BOUTIQUE Leggings with Pockets for Women High Waisted Workout Tummy Control Pants Ankle Length Athletic Gym,150283,https://www.amazon.com/dp/B09L13ZNVF,3
High-waisted leggings with pockets,BEELU FASHION BOUTIQUE Leggings with Pockets for Women High Waisted Workout Tummy Control Pants Ankle Length Athletic Gym,46729,https://www.amazon.com/dp/B09L158GCP,3
High-waisted leggings with pockets,Cucuchy Womens High Waist Yoga Pants with Pockets Tummy Control Workout Leggings,408940,https://www.amazon.com/dp/B08BP5VLM3,3
High-waisted leggings with pockets,"youyou Yoga Pants for Women Girls High Waist 4 Way Stretch Yoga Leggings with Pockets Workout Pants (13-14 Years/CN S, Navy Blue)",376240,https://www.amazon.com/dp/B08DHN76QT,3
High-waisted leggings with pockets,"WABEOR Wide Leg Linen Pants for Women Plus Size Elastic Waist Casual Summer Pants Loose Fit Beach Pants Comfy Cotton Trousers A-White, XX-Large",467538,https://www.amazon.com/dp/B0BYJFWST6,1
