query,title,docid,link,rel
Hiking boots for women,YouClean 300 Antibacterial Travel Hand Soap Sheets - Pocket/Purse/Wallet/Backpack -Great for Outdoor Camping or Daily Use (Tea Party) (Tea Party),58,https://www.amazon.com/dp/B0C5V83YMB,2
Hiking boots for women,"Violet Love Womens Yoga Headbands - Star Signs Fashion Print Pattern Couture Headband, Best Non-Slip Sport Headbands for Women, Girls, Men, Walking, Exercise, Running, Gym, Sports - Capricorn",377,https://www.amazon.com/dp/B07C53CP1Q,2
Hiking boots for women,ULIKE™ Multipurpose Big Capacity 2 Layers Waterproof Smartphone Portable Storage Nylon Bag Pouch / Workout Sport Armband Case Holder / Belt Waist Bag / Pocket Money Change Purse Cards Wallet / Headphone Cable Carrying Storage Bag Box - With Glasses Lenses LCD Screen Premium Microfiber Cleaning Cloths For iphone 6 plus Blackberry passport Samsung Galaxy S6 edge S5 Note4 MEGA HTC M9 M8 LG G4 G3 Sony Z4 Z3 and Smartphone Under 6.3 Inch (Offwhite),481,https://www.amazon.com/dp/B0117TKQVK,1
Hiking boots for women,"Paparazzi Visor for Face Sun Protection (Shiny Transparent Plastic) - Adjustable Angle, One Size Fits Most (Mercury Silver with Black Band)",495,https://www.amazon.com/dp/B074PCK923,1
Hiking boots for women,"Violet Love Womens Yoga Headbands - Star Signs Fashion Print Pattern Couture Headband, Best Non-Slip Sport Headbands for Women, Girls, Men, Walking, Exercise, Running, Gym, Sports, Athletics - Cancer",651,https://www.amazon.com/dp/B07C57LVQ4,2
Hiking boots for women,"Amazon Cyber Monday Deals 2018 - Violet Love Womens Yoga Headband - Couture Headbands, Best Non-Slip Sport Headbands for Women, Girls, Men, Walking, Exercise - Free Spirit - msrp $17",706,https://www.amazon.com/dp/B07HB8J85S,2
Hiking boots for women,Spoontiques Hair and Face Wraps - Multifunctional Bandanna - Headband - Scarf - Neck Gaiter- Balaclava - Peacock,833,https://www.amazon.com/dp/B07J3H27BJ,1
Hiking boots for women,"OC Nails UV Shield Glove (BLACK NIGHT) for UV Protection While in the Salon, Driving, or Hiking (NO LOGO)",842,https://www.amazon.com/dp/B06XWKC6VD,2
Hiking boots for women,100 PCS Compressed Towel Portable Mini Cotton Towel Disposable Coin Tissues Toilet Paper Napkin Baby Wipes Biodegradable Wipes Camping Hiking Travel Sports Beauty Salon Home Hand Wipe,876,https://www.amazon.com/dp/B0863D4N9L,2
Hiking boots for women,"3 Pack Lace Face_Mask Ladies Single Layer Black Embroidery Lace Mesh Thin Breathable Mouth_Covers with Adjustable Earloop,Womens Facial Protection Reusable & Washable",955,https://www.amazon.com/dp/B08VWXKQKL,
Hiking boots for women,"SprayWhip Bendable Spray Nozzel Stick for Sunscreen and Muscle Relief Cans - Patented, Universally Compatible Wand Reaches Back and Legs - Includes 2 Applicators",994,https://www.amazon.com/dp/B08JS431S6,
Hiking boots for women,"Large Body Wipes for Adults Bathing. Biodegradable with Aloe, Vitamin E and Tea Tree Oil. After Workout Shower Wipes for Men and Women. Backpacking Essentials, 10 Count Bag - Venture Wipes",1171,https://www.amazon.com/dp/B0888TZ9W6,2
Hiking boots for women,SANGAITIANFU 1 Pcs Foldable Outdoor Portable Travel Bucket Lightweight And Durable Foot Bathing Basin Collapsible Bucket Water Bag Laundry Basket Water Container,1212,https://www.amazon.com/dp/B07XPW1K1Q,1
Hiking boots for women,"4 Pieces Summer UV Protection Face Protection with Ear Hole Neck Gaiters Freezer Summer Bandana, 4 Colors",1292,https://www.amazon.com/dp/B07TVBV25P,1
Hiking boots for women,Womens Knitted Headbands Winter Warm Fleece Lined Headbands Headwrap Trendy Confetti Chunky Cable Knit Ear Warmers Ladies Soft Stretch Running Headband for Cold Weather,1760,https://www.amazon.com/dp/B09MCHFHQP,1
Hiking boots for women,Adult Reusable and Washable Cotton Face_Mask Cute Cat Printed Pattern Fabric Protective Mouth_Covering with Adjustable Earloops for Women and Man - Include 2pcs Replacement Filters,1819,https://www.amazon.com/dp/B08Q3HY49Y,1
