query,title,docid,link,rel
Hydrating lip oil,CRISPY BEAUTY HERMINE CLEAR LIP OIL GLOSS 3PCS (VITA-LEM-MINT),14911,https://www.amazon.com/dp/B083ZKMCYJ,4
Hydrating lip oil,Marius Fabre Organic Lip Balm 7ml 0.25 oz - 2 Pack,12677,https://www.amazon.com/dp/B07XYHZ948,3
Hydrating lip oil,3 PACK!! NICKA K NEW YORK Clear Lip Gel with Vitamin E (Argan Oil & Rosehip & Clear),8305,https://www.amazon.com/dp/B07TCR7SBF,3
Hydrating lip oil,HIGHONLOVE Lip Gloss for Couples | Hydrating and Plumping Lip Gloss for Enhanced Sensation | Hemp Seed Oil Gloss | Soft Moisturizing Lip Gloss | Sensual Lip Gloss for Women (7 ml),15038,https://www.amazon.com/dp/B0BBK1B5BT,4
Hydrating lip oil,"Josie Maran Whipped Argan Oil Intensive Hand Cream (Supersize (4.6oz/136ml), Unscented)",2904,https://www.amazon.com/dp/B00IJEZRMU,1
Hydrating lip oil,"Josie Maran Whipped Argan Oil Intensive Hand Cream (Travel (1oz/30ml), Be Spirited/Sweet Citrus)",13237,https://www.amazon.com/dp/B00J501SRU,1
Hydrating lip oil,"iFLY Smart Fly Happy and Healthy Travel Kit - Each Kit includes: Antiseptic wipes, Hydrating facial wipes, Face mask, Headrest cover, Lip balm, Sleep mask and Earplugs - (2 Pack)",9761,https://www.amazon.com/dp/B08D715C1T,2
Hydrating lip oil,Marc Anthony True Professional Hydrating Coconut Oil & Shea Butter Dry Styling Oil 4.05 oz by AB,9981,https://www.amazon.com/dp/B012MV8PJM,1
Hydrating lip oil,BELLA B Light Orange Lip Balm - Organic Lip Balm - All Natural Lip Balm - Hypoallergenic Lip Balm - Lanolin-Free Lip Balm - Cocoa Butter Lip Therapy - All Natural Organic Lip Balm - Orange Lip Balm,14261,https://www.amazon.com/dp/B07KKN2G3X,3
Hydrating lip oil,Broadway Vita-Lip Mango Butter Lip Gloss,2899,https://www.amazon.com/dp/B081S85MK3,3
Hydrating lip oil,Too Faced Hangover Pillow Balm Ultra-Hydrating Lip Balm Original,21505,https://www.amazon.com/dp/B083PXLPHC,5
Hydrating lip oil,KISS Broadway Clear Lip Gloss 0.47oz/14ml 12Pcs (Coconut Oil),20822,https://www.amazon.com/dp/B07QQZTLCQ,3
Hydrating lip oil,3 PACK!! NICKA K NEW YORK Clear Lip Gel with Vitamin E (Argan Oil),14324,https://www.amazon.com/dp/B07T8KNPF6,3
Hydrating lip oil,"Josie Maran Whipped Argan Oil Illuminizing Body Butter (Full (8oz/240ml), Honey Lavender Chamomile (Model Citizen Limited Edition))",20331,https://www.amazon.com/dp/B00C2QRSU0,2
Hydrating lip oil,"Bee and You 100% Natural Moisturizing Lip Balm, Original Beeswax with Propolis + Raw Honey + Vitamin E + Shea Butter, 0.17 oz (5g)",9819,https://www.amazon.com/dp/B082TX27HZ,4
Hydrating lip oil,Savannah Bee Lip Balm - Silky Smooth Natural Lip Balm (Wild Blackberry 3 pack),16483,https://www.amazon.com/dp/B01IM7LGSW,4
Hydrating lip oil,"Frankies Bikinis Lip Butter Gloss, Sleeping Vegan Lip Mask Overnight, Moisturizing Lip Plumper, Vitamin E Lip Balm Moisturizer, Hydrating Lip Oil with Cocoa Butter, Made in USA, Guava 0.7 Ounces",9720,https://www.amazon.com/dp/B0B8DZ7H5F,4
Hydrating lip oil,6 PACK!! NICKA K NEW YORK Clear Lip Gel with Vitamin E (Argan Oil 2pcs & Rosehip 2pcs & Clear 2pcs),3333,https://www.amazon.com/dp/B07T9PBTX5,3
Hydrating lip oil,Milk Makeup Lip + Cheek in WERK (Dusty Rose) - 0.1 oz. Trial Size,17806,https://www.amazon.com/dp/B07NQRKTH7,3
Hydrating lip oil,FRESH Sugar Bloom Tinted Lip Treatment SPF 15 Sunscreen 2.2G,20130,https://www.amazon.com/dp/B07J1DL7TK,3
