query,title,docid,link,rel
Kids t-shirts,TOODOO 8 Sets Mermaid Face Gems Glitter Sticker Rhinestone Bindis Crystal Face Tattoo Forehead Decorations for Women Favors (Delicate Pattern),8,https://www.amazon.com/dp/B07CV988JX,1
Kids t-shirts,Jurassic World Electric Toothbrush and Fluoride Toothpaste Set for Kids (Blue),25,https://www.amazon.com/dp/B08N59PWV6,2
Kids t-shirts,Spider-Man Homecoming Bath Time Shave Set for Kids,44,https://www.amazon.com/dp/B0771NT64F,2
Kids t-shirts,False Nails for Kids 24 Pcs Press On Girls Fake Nails Tips Watermenlon Pattern,48,https://www.amazon.com/dp/B07SY84DPP,2
Kids t-shirts,"Kidskin- Foaming Body Wash with Tea Tree Oil- Helps Combat Body and Foot Odor and Stubborn Body Acne and Skin Issues - Cruelty Free, Gluten Free, Paraben Free, Sulfate Free, Unscented, and Vegan- Made in USA",53,https://www.amazon.com/dp/B08WHBSK6R,1
Kids t-shirts,YouClean 300 Antibacterial Travel Hand Soap Sheets - Pocket/Purse/Wallet/Backpack -Great for Outdoor Camping or Daily Use (Tea Party) (Tea Party),58,https://www.amazon.com/dp/B0C5V83YMB,1
Kids t-shirts,Crewmate Temporary Tattoos | Imposter - Red is Sus - Emergency Meeting - Trust No One - Sabotage - Shhhh! & more | Pack of 28 | MADE IN THE USA | Skin Safe | Party Supplies & Stocking Stuffers | Removable,64,https://www.amazon.com/dp/B08RBDB6ZT,1
Kids t-shirts,FIOBEE Girls Headband Holder Organizer Unicorn Headband Storage Hair Accessories Organizer Hairband Display Stand Home Room Decors for Kids,233,https://www.amazon.com/dp/B0B3MGGVHY,2
Kids t-shirts,"shower cap for women, 3 Pieces Waterproof Caps,Elastic Reusable Bathing Hair Cap,Beauty Salon Spa Shower Caps Lace Elastic Band Flower Printed Hat Environmental Protection Hair Bath Caps Shower Caps",236,https://www.amazon.com/dp/B08SQYCTPP,1
Kids t-shirts,"BZ 3 In 1 Baby Hair Clippers, Silent Hair Clippers for Kids, Professional Waterproof Hair Cutter, Rechargeable Cordless Hair Trimmer",264,https://www.amazon.com/dp/B088T9JLWG,1
Kids t-shirts,Detangling Brush Pink Hair Brush For Women Best Detangler for Adults and Kids - HAIR GLIDER,304,https://www.amazon.com/dp/B00TNREDHW,2
Kids t-shirts,"Nuluxglovite Self-Grip Hair Roller Set – Self Holding Rollers – Come with Multicolor Plastic Duck Teeth Bows- Duckbill Clips – Folding Pocket Plastic Comb -Hairdressing Curlers for Women,18 pcs,1",311,https://www.amazon.com/dp/B08VS87CDR,1
