query,title,docid,link,rel
Kids’ winter coat waterproof,Hood Puffer Jacket Coat Winter Coats Kids Thicked Hooded Down Jacket Winter Warm Long Sleeve Hoodie Coat Outerwear,386816,https://www.amazon.com/dp/B0BFBFTFBD,4
Kids’ winter coat waterproof,Pocciol Warm Coat for 2-7 Years Toddler Baby Girl Boy Floral Winter Hooded Windproof Jacket Hoodie,105347,https://www.amazon.com/dp/B09H6V7W2Q,4
Kids’ winter coat waterproof,POLLYANNA KEONG Winter Coats for Women Warm Hooded Thick Padded Jacket Trendy Winter Loose Fleece Oversized Hooded Coat,134889,https://www.amazon.com/dp/B0BHVGN2FJ,4
Kids’ winter coat waterproof,Toddler Kids Baby Boys Girls Winter Solid Coats Sleeveless Vest Jacket Outwear Outfits Clothes Fully Lined Jacket,140796,https://www.amazon.com/dp/B0BC1JQJ8R,4
Kids’ winter coat waterproof,Fuax Fur Mens Winter Warm Faux Fur Overcoat Long Sleeve Faux Fur Jacket Cardigan Trench Coat,79904,https://www.amazon.com/dp/B09J4RBKBJ,4
Kids’ winter coat waterproof,KINGOLDON Women's Outdoor Military Jacket Winter Thicken Fur Hooded Parka Warm Soft Fleece Coat,248272,https://www.amazon.com/dp/B09L87R2TX,4
Kids’ winter coat waterproof,MAYW Women Elegant Plus Size Wool Blend Over Coat Casual Lapel Slim Long Sleeve Fall Warm Mid-Long Jacket Coat Overwear,486899,https://www.amazon.com/dp/B09KCCKFMT,3
Kids’ winter coat waterproof,"Jushye Women's Down Jacket Coat, Ladies Solid Casual Thicker Winter Outwear Slim Down Lammy Long Overcoat",103769,https://www.amazon.com/dp/B0782B3551,4
Kids’ winter coat waterproof,"Jushye Women's Down Jacket Coat, Ladies Solid Casual Thicker Winter Outwear Slim Down Lammy Long Overcoat",144585,https://www.amazon.com/dp/B0782CD8SN,4
Kids’ winter coat waterproof,MGEOY Little Girls Waterproof Golf Outfit Kid Winter Rain Gear Fall Fleece Hood Rain Coat for 8-9Y Boys,298445,https://www.amazon.com/dp/B08GC64BLR,5
Kids’ winter coat waterproof,Zip up Hoodie Men Graphic Y2k Plaid Fleece Jacket Winter Plus Size Lightweight Sherpa Coats Sweatshirt Chaquetas de Invierno Para Hombre Frio Extremo Abrigos Sudaderas Con Capucha Blue 5XL,463669,https://www.amazon.com/dp/B0BGH379F9,4
Kids’ winter coat waterproof,Neely Kids School Raincoat Waterproof Rain Shell Jacket for Boys Girls,94598,https://www.amazon.com/dp/B00SLJWS5W,4
Kids’ winter coat waterproof,Thickened Down Winter Jacket for Women Fleece Softshell Snow Ski Coats Thick Plush Windproof Warm Jackets,112668,https://www.amazon.com/dp/B0BFGS1R9S,4
Kids’ winter coat waterproof,Kimloog Men Women Corduroy Color Block Patchwork Hooded Coat Long Sleeve Casual Oversize Baseball Jacket Windbreaker,183599,https://www.amazon.com/dp/B08K2G4PDH,3
Kids’ winter coat waterproof,The North Face Winter Camp Wp Boys TNF Black/Griffin Grey US 5,122518,https://www.amazon.com/dp/B00REVY7H0,3
Kids’ winter coat waterproof,The North Face Winter Camp Youth/Kids | TNF Black/Griffin Grey (CXY3) (2-Kids),282532,https://www.amazon.com/dp/B00REVYBWG,3
Kids’ winter coat waterproof,Nike Nke Air Max Goadome Big Kids Style: 311567-001 Size: 7 Y US,319982,https://www.amazon.com/dp/B00V6JMHAU,2
Kids’ winter coat waterproof,"Toddler Baby Boy Girl Summer Jacket Letter Printed T-Shirt Button Down Coat Blouses Tops Casual Linen Clothes Outfit (Adventure, 4-5 Y)",166232,https://www.amazon.com/dp/B0814XHCJG,3
Kids’ winter coat waterproof,"Allywit Men's 2018 Lastest, Denim Jacket Casual Vintage Distressed Ripped Holes Fashion Slim Fit Tops",367107,https://www.amazon.com/dp/B07L8Q67NF,2
Kids’ winter coat waterproof,"kaifongfu Men Blouse, Outwear Sweater Winter Slim Hoodie Warm Hooded Sweatshirt Coat Jacket",128862,https://www.amazon.com/dp/B076HQ27PC,4
Kids’ winter coat waterproof,"kaifongfu Men Blouse, Outwear Sweater Winter Slim Hoodie Warm Hooded Sweatshirt Coat Jacket",113125,https://www.amazon.com/dp/B076HRQBVZ,4
Kids’ winter coat waterproof,EISHOW Toddler Baby Girls Boys Faux Fur Outerwear Jackets Snowsuit Warm Hooded Thicken Fleece Down Coat Winter Hoodie Outwear,385234,https://www.amazon.com/dp/B09CMMLF5Z,4
Kids’ winter coat waterproof,Fudule Women Winter Coats Plus Size Solid Zip Down Hooded Jacket Casual Loose Fluffy Coat Cardigans Outwear with Pocket,449331,https://www.amazon.com/dp/B07ZQ932GF,4
Kids’ winter coat waterproof,5665 Mens Plaid Jacket V-Neck Sleeveless Formal Fashion Vest Waistcoat Business Dress Suit Vests for Wedding Blazer Vest,422267,https://www.amazon.com/dp/B09NCCT4V6,3
Kids’ winter coat waterproof,Womens Hooded Warm Jacket Winter Thicken Cotton Coat Solid Windproof Long Jackets Fleece Lined Parkas Coats,35985,https://www.amazon.com/dp/B0B8RXMVTB,4
Kids’ winter coat waterproof,"Bohee Water Resistant Winter Snow Boots for Women, Lightweight Warm Boots Fur Lining Comfortable Pull On Shoes Black Blue Gray Red Size 5-12",227259,https://www.amazon.com/dp/B08R72XZRG,3
Kids’ winter coat waterproof,Napoo Clearance Women Beautiful Ultrathin Transparent Crystal Lace Elastic Short Socks,437585,https://www.amazon.com/dp/B076N9DXM6,2
Kids’ winter coat waterproof,Napoo Clearance Women Beautiful Ultrathin Transparent Crystal Lace Elastic Short Socks,107554,https://www.amazon.com/dp/B076NK1MDK,2
Kids’ winter coat waterproof,2117 of Sweden Women’s Winterjacket,438992,https://www.amazon.com/dp/B014IOVYM6,3
Kids’ winter coat waterproof,"Signature Design by Ashley Dresser, One Size",45054,https://www.amazon.com/dp/B01JAD0700,2
Kids’ winter coat waterproof,SUPERDAVES SUPERSTORE Canada Winter Red White Black with Maple Leaf Gloves..Viva... New,44680,https://www.amazon.com/dp/B01MCWS3AT,3
Kids’ winter coat waterproof,Azue Toddler Snow Mittens Warm Lined Fleece Winter Mittens for Baby Boys Girls Kids Waterproof Outdoors Ski Gloves,138046,https://www.amazon.com/dp/B09KY4YQWY,4
Kids’ winter coat waterproof,Fumdonnie Boy Puffer Jacket Winter Down Clothes Big Kids Hoodie Rain Coat Snowsuit Outwear Black 9-10 Years,97683,https://www.amazon.com/dp/B0B5QD3W49,4
Kids’ winter coat waterproof,Disney Cars Coat Set (Toddler)-Blue-4T,491805,https://www.amazon.com/dp/B00NNXWQVC,3
Kids’ winter coat waterproof,"CECORC Winter Coats for Kids with Hoods (Padded) Light Puffer Jacket for Baby Boys Girls, Infants, Toddlers",251069,https://www.amazon.com/dp/B06XX2GM93,4
Kids’ winter coat waterproof,Nidico Christmas Holiday Child Apron with Chef's Hat,254129,https://www.amazon.com/dp/B08JF66GLW,2
Kids’ winter coat waterproof,"Win8Fong Men's Fashion British White/Black Leather Faux Leather Biker Jacket (M, Black)",271112,https://www.amazon.com/dp/B00QTHGYT4,2
Kids’ winter coat waterproof,"Win8Fong Men's Fashion British White/Black Leather Faux Leather Biker Jacket (XL, Black)",191508,https://www.amazon.com/dp/B00QTHGYI0,2
Kids’ winter coat waterproof,Kamik Kids Takoda Ink 3,493221,https://www.amazon.com/dp/B078MP2ZKL,2
Kids’ winter coat waterproof,Tenpluszero 16 Pairs Kids Winter Magic Gloves - Full Fingers Knitted Warm Winter Glove Children Gloves for Boys and Girls,198811,https://www.amazon.com/dp/B0B6TX6C2R,3
Kids’ winter coat waterproof,ALOVEMO Women's Long Sleeve Hooded Fleece Sweatshirt Warm Zip Up Hoodie Pullover,381504,https://www.amazon.com/dp/B07YYGDY3C,2
Kids’ winter coat waterproof,NANTE Top Women's Blouse Gothic Steampunk Flared Sleeve Lace Up T-Shirt Button Up Vintage Irregular Tailcoat Cosplay Clothes,234854,https://www.amazon.com/dp/B07Y2XC7FJ,3
Kids’ winter coat waterproof,Bravetoshop womens Padded,175934,https://www.amazon.com/dp/B09MQL6M13,2
Kids’ winter coat waterproof,Lowpricenice Winter Baby Kids Girls Boys Warm Woolen Coif Hood Scarf Caps Hats (Blue),186853,https://www.amazon.com/dp/B00QR7FBBI,3
