query,title,docid,link,rel
Knee high boots women,Women Flip Flops Open Toe Boho Flowers Sandals Comfortable Low Wedge Platform Slippers Casual Slip On Dress Slides Sandals,400463,https://www.amazon.com/dp/B099X47H8B,2
Knee high boots women,"NOLDARES Cowboy Boots for Women Low Heel Wedge Ankle Boots V Cutout Autumn Dressing Stacked Chunky Heel Short Booties, Ax Black",185245,https://www.amazon.com/dp/B0B68TMJGP,3
Knee high boots women,"NOLDARES Cowboy Boots for Women Low Heel Wedge Ankle Boots V Cutout Autumn Dressing Stacked Chunky Heel Short Booties, Ax Black, 9",337740,https://www.amazon.com/dp/B0B68TPWJY,3
Knee high boots women,2020 New Arch Support Boots Women's Boots Leather Comfortable Damping Shoes Side Zipper Platform Wedge Booties,321403,https://www.amazon.com/dp/B07YQ3W8VJ,3
Knee high boots women,"Lingbing Boots for Women, Women Orthopedic Ankle Boots Arch Support Leather Comfortable Side Zip Wedge Booties",28868,https://www.amazon.com/dp/B0B6CKF6R9,3
Knee high boots women,"soyienma Ankle Winter Boots for Women,Women's Zipper Bootie Chunky Stacked Heel Ankle Boots Buckle Strap Ankle Black, 7.5",317138,https://www.amazon.com/dp/B099FDF43J,3
Knee high boots women,CPXUTFP Ankle Boots for Women Solid Color Zipper Winter Flat Shoes 2022 Slip On Western Booties Chunky Heel Short Boots Shoes,199656,https://www.amazon.com/dp/B0BM4CRYSW,3
Knee high boots women,Qupid RELAX-70 Over the Knee Thigh High or Knee High Casual Stacked Heel Cuff Boot ZOOSHOO Brown Oil Finish Suede Pu 8 US,156425,https://www.amazon.com/dp/B008Y1YXFA,4
Knee high boots women,Qupid RELAX-70 Over the Knee Thigh High or Knee High Casual Stacked Heel Cuff Boot ZOOSHOO Rust Oil Finish 9 B(M) US,189346,https://www.amazon.com/dp/B008Y1Z0P2,4
Knee high boots women,Qupid RELAX-70 Over the Knee Thigh High or Knee High Casual Stacked Heel Cuff Boot ZOOSHOO size 9(Brown),314941,https://www.amazon.com/dp/B008Y1YX6O,4
Knee high boots women,"Qupid RELAX-70 Over the Knee Thigh High or Knee High Casual Stacked Heel Cuff Boot ZOOSHOO, Brown Oil Finish, US 8.5",252660,https://www.amazon.com/dp/B008Y1YXM8,4
Knee high boots women,Qupid RELAX-70 Over the Knee Thigh High or Knee High Casual Stacked Heel Cuff Boot brown oil finish suede pu 7.5,342539,https://www.amazon.com/dp/B008Y1Z2CI,4
Knee high boots women,"Qupid RELAX-70 Over the Knee Thigh High or Knee High Casual Stacked Heel Cuff Boot ZOOSHOO, Rust Oil Finish, SIZE 7.5",49651,https://www.amazon.com/dp/B008Y1YZVW,4
Knee high boots women,"Qupid RELAX-70 Over the Knee Thigh High or Knee High Casual Stacked Heel Cuff Boot ZOOSHOO, Rust Oil Finish,SIZE 7",333256,https://www.amazon.com/dp/B008Y1YZ6M,4
Knee high boots women,"Qupid RELAX-70 Over the Knee Thigh High or Knee High Casual Stacked Heel Cuff Boot ZOOSHOO, Brown Oil Finish, US 5.5",190891,https://www.amazon.com/dp/B008Y1Z18S,4
Knee high boots women,HFHAPW Rain Boots for Women Size 7 Tall rain Boots for Women and Waterproof Garden Shoes，Anti-Slipping Rainboots for Ladies,363323,https://www.amazon.com/dp/B0BG1Z3FC9,4
Knee high boots women,"Women's Knee High Boots - Casual Beautiful Knotted Knee-high Long Boots Flat Fall Winter Shoes (US:7.5, Black)",332728,https://www.amazon.com/dp/B07X95HRLZ,4
Knee high boots women,"Women's Knee High Boots - Casual Beautiful Knotted Knee-high Long Boots Flat Fall Winter Shoes (US:5.5, Black)",447825,https://www.amazon.com/dp/B07X85H82Q,4
Knee high boots women,Shoes for Women Ankle Boots Hessimy New Arch Support Boots with Side Zipper Leather Comfortable Damping Shoes Platform Wedge Booties Casual Shoes Women's Boots,182030,https://www.amazon.com/dp/B081S3KKGW,3
Knee high boots women,COPPEN Christmas Women Snow Boot Winter Martin Suede Buckle Strap Shoes,409164,https://www.amazon.com/dp/B07KGF1KW6,4
Knee high boots women,Padaleks Sandals for Women Flat Bohemia Rhinestone Ankle Strap Sandal Cutout Open Toe Low Heel Wedding Dress Shoes,136151,https://www.amazon.com/dp/B08VRSMKZZ,2
Knee high boots women,Boomboom Women Lace-up Ankle High Leather Boots Casual Shoes,305799,https://www.amazon.com/dp/B07GB2GGKP,3
