query,title,docid,link,rel
Leather jacket men,Milwaukee Leather SFM1870 Men's Black Button Closure Car Coat Blazer Leather Jacket,93861,https://www.amazon.com/dp/B077NHM1GR,3
Leather jacket men,"Allywit Men's 2018 Lastest, Denim Jacket Casual Vintage Distressed Ripped Holes Fashion Slim Fit Tops",367107,https://www.amazon.com/dp/B07L8Q67NF,3
Leather jacket men,German World War 2 Military M65 Field Jacket Costume Leather Jacket German Military Jacket Ww2 German Uniforms,242509,https://www.amazon.com/dp/B019M5JW8O,3
Leather jacket men,"pxloco Hoodies for Men Fleece, Men's Casual Hooed Hoodies Thick Sherpa Lined Warm Winter Heavyweight Jacket Coats",250929,https://www.amazon.com/dp/B0BK82P45C,2
Leather jacket men,"DISC Brown Mens Leather Coat Jacket | [1108124] Giltner, L",246663,https://www.amazon.com/dp/B089SR52SJ,3
Leather jacket men,Isaac & David Chicago Men's Genuine Waxed lambskin Hooded Bomber Jacket - Vintage Leather Jacket With Removable Hood,297296,https://www.amazon.com/dp/B0CBZ1BQXF,3
Leather jacket men,hhaappyy Cloak Coat for Men Winter Warm Gothic Wool Faux Fur Collar Long Cape Cloak Vintage Game of Thrones Fleece Jacket,105693,https://www.amazon.com/dp/B0B8SSQZ59,2
Leather jacket men,"Blingsoul Disc Hooded Mens Leather Jacket | [1105186] Jeffery Black, XXL",118835,https://www.amazon.com/dp/B083BYZ5NN,3
Leather jacket men,Mens Red Goth Matrix Trench Coat Steampunk Gothic - Best Selling of Month (M),55020,https://www.amazon.com/dp/B07DPS7B1C,3
Leather jacket men,pxloco Blue Jackets Shirt Denim Shacket Colorblock Shacket Fuzzy Red Jacket Wool Coats for Men Petite,128488,https://www.amazon.com/dp/B0BJ2NFMFS,2
Leather jacket men,Resident Evil 4 Leon Kennedy Shearling Brown Real Leather Jacket Men's Faux Leather Jacket,316872,https://www.amazon.com/dp/B0B9SPYMV6,5
Leather jacket men,pxloco Blue Jackets Shirt Denim Shacket Colorblock Shacket Fuzzy Red Jacket Wool Coats for Men Petite,238061,https://www.amazon.com/dp/B0BJ2PT6B1,2
Leather jacket men,"kaifongfu Men Long Sleeve Tops, Outwear Hoodie Stitching Color Coat Jacket Sport Tops",100213,https://www.amazon.com/dp/B0771KCMTX,2
