query,title,docid,link,rel
Leg warmers,Harajuku Japanese Lolita Leg Warmers Kawaii Gothic Knit Long Socks Leggings Crochet Goth Winter Cuff Ankle Heap Sock,207463,https://www.amazon.com/dp/B0BBMKLBX2,4
Leg warmers,JOVANA Women Lady Fashion Knee High Leg Socks Banket Winter Knit Crochet Warmer Legging (dark gray),16486,https://www.amazon.com/dp/B00KPH8N8E,4
Leg warmers,Under Armour UA Sport Leg Warmers OSFA AQUA BLUE,37293,https://www.amazon.com/dp/B01M0QO3YA,4
Leg warmers,Leg Warmer(One Size-White),222689,https://www.amazon.com/dp/B002YJHPCG,4
Leg warmers,Leg Warmer(One Size-White),227001,https://www.amazon.com/dp/B00C1Q7AUO,4
Leg warmers,"Halloween 4-pack Argyle, Polka Dot, & Stripes, Baby & toddler leg warmers by juDanzy",135680,https://www.amazon.com/dp/B00958EC3E,4
Leg warmers,Rainbow Fur Leg Warmers Costume Accessory,417050,https://www.amazon.com/dp/B00CQFHYBU,4
Leg warmers,Posh Pipsqueak Baby and Toddler Leg Warmers,326704,https://www.amazon.com/dp/B00NCJ6YA6,4
Leg warmers,Party King Women's Baked Chef Costume,315995,https://www.amazon.com/dp/B09S6V135Z,1
Leg warmers,TOOGOO(R) Women Snowflake Leg Warmers Socks (Black),396105,https://www.amazon.com/dp/B0197OFZ0O,4
Leg warmers,Viking Arm and Leg Warmers Set,410494,https://www.amazon.com/dp/B009F3Q1TC,4
Leg warmers,Blulu 2 Pairs Winter Knit Leg Warmers Thigh High Footless Leg Warmers for Women,249370,https://www.amazon.com/dp/B07YWVG5L3,4
Leg warmers,"RMLW4738 - Black Space Girl Leggings, Costume Accessory",125080,https://www.amazon.com/dp/B07J3QYK7Z,4
Leg warmers,Women Cute Crochet Knitted Leg Warmers Y2K Harajuku Preppy Style Leg Protector Warm Leg Sleeve Boots Socks,130119,https://www.amazon.com/dp/B0B8GN3H3M,4
Leg warmers,Striped Arm Warmers,332975,https://www.amazon.com/dp/B0017XHI5Y,2
Leg warmers,Spirit Halloween Kids Astrid How To Train Your Dragon Costume | OFFICIALLY LICENSED,88733,https://www.amazon.com/dp/B07VS3WZ76,1
Leg warmers,Posh Pipsqueak Big Kid Posh Legs,430533,https://www.amazon.com/dp/B01442F4W8,4
Leg warmers,MEESU Leg Warmers for Women 80s Ribbed Knitted Over the Knee Socks Yoga Ballet Pilates Dance Socks.,381064,https://www.amazon.com/dp/B07WST2CXZ,4
Leg warmers,"Native American Babe Costume, Sexy Indian Costume",196353,https://www.amazon.com/dp/B071HDGNJ7,1
Leg warmers,Dealzip Inc Newest Baby Leg Warmers Boy's Girls' Womens Legging Tights 100% Cotton Cute Rainbow Warming Fleece Socks Infant Toddler Ruffle Lined Warmers Knitted High Kids Leg Warmers,403576,https://www.amazon.com/dp/B00PC8IKZ2,4
Leg warmers,Leg Warmers Alpaca Yarn Long Leggings Light and Warm in Natural Colors with Ethnic Andean Designs 004408,343854,https://www.amazon.com/dp/B0181OBLI6,4
Leg warmers,"Hot Hands Hothands Toe Warmers, 240 Pairs",11640,https://www.amazon.com/dp/B00H194NCY,1
Leg warmers,Girls Assorted Fashion Stripes Small Leg Warmers 5 Pack - Pink/Hot Pink/Lavender/Blue,49021,https://www.amazon.com/dp/B0024H35CC,4
Leg warmers,Roma Costume Banana Loving Monkey,444415,https://www.amazon.com/dp/B01M1R6B65,1
Leg warmers,Women 80s Costume Accessories Fancy Costume Set Necklace Leg Warmers Earrings Fishnet Gloves Adult Tutu Skirt Lace Headband,41435,https://www.amazon.com/dp/B07VFF8F2F,3
Leg warmers,Fur Leg Warmers Costume Accessory,119701,https://www.amazon.com/dp/B0097AZXG0,4
Leg warmers,Roma Costume Women's Faux Fur Leg Warmer,155944,https://www.amazon.com/dp/B00JRRJI3M,4
Leg warmers,Zilo Novelties 80s Leg Warmers and Black Fishnet Gloves | 1980's Style Costume Accessories for Women,432126,https://www.amazon.com/dp/B07DLDPKRH,3
Leg warmers,"Locoowai Leg Warmers for Women 80s,4 Pairs Leg Warmers Goth,Neon Knit Leg Warmer Ribbed High Non-Slip Long Socks for Halloween 80s Party Costumes Accessories",269608,https://www.amazon.com/dp/B096Z49ZKG,4
Leg warmers,"Kayhoma Extra Soft Knee High Leg Warmers, Boho Wool Knit Leg Warmer, 2 Pairs",48476,https://www.amazon.com/dp/B0933JFGQ5,4
Leg warmers,"Christmas Stripe & Polka Dot - Leg Warmers - Infant, Baby, Toddler, Little Girl, Boy",117971,https://www.amazon.com/dp/B006JMZCAG,4
Leg warmers,Womens Short Boot Cuffs Winter Warm Crochet Knitted Ankle Leg Warmers Socks,413895,https://www.amazon.com/dp/B09DGK4JSN,3
Leg warmers,COREWO 80s Workout Costumes for Women Aerobics Costume Leotard Yoga Pants Belt Outfit 6 Pcs,481884,https://www.amazon.com/dp/B0BG5FYWY3,3
Leg warmers,"SATINIOR 6 Pairs Women Leg Warmers Winter Warm Thigh Socks Thigh High Leg Warmers Striped Sweater Goth Wrist Warmers for Women and Men (Beige, Grey, Black, Dark Grey)",217407,https://www.amazon.com/dp/B09B52CXFJ,4
Leg warmers,Generic Leg Warmers for Women Thigh High Socks Knitted Stockings Warm and Long Footless Cable Knit Crochet Wool Warmers (GT1) 12×12 h(30×30cm),128895,https://www.amazon.com/dp/B08WRCW5YB,4
Leg warmers,Wrapables unisex-baby Ruffle Leg Warmers for Toddler,174867,https://www.amazon.com/dp/B0CB52QRRK,4
Leg warmers,Kirei Sui Baby Thanksgiving Halloween Stripes Ruffled Leg Warmers,68485,https://www.amazon.com/dp/B01ISKGL56,4
Leg warmers,Zbrandy Furry Leg Warmers for Women Faux Fur Boot Covers Fuzzy Long Boots Shoes Cuff Cover Warm Furry Costume,195367,https://www.amazon.com/dp/B09J14LZZJ,3
Leg warmers,Spring Fever Boot Socks with Lace Trim Cute Leg Warmers(Beige),33839,https://www.amazon.com/dp/B00OKA2RDE,4
Leg warmers,Women's Arm Warmers Long Gloves Hand Knitted Half Warmer Glove For Women,266206,https://www.amazon.com/dp/B00R4MYVRU,1
Leg warmers,"Bowbear Set of 5 Baby & Toddler Leg Warmer Collection Premium Value Pack, VS5",453442,https://www.amazon.com/dp/B016Z7I62K,4
Leg warmers,RAINDEWLL Goth Fingerless Gloves Arm Warmers Striped Knee Thigh High Socks 6 Pairs Cosplay Halloween,205954,https://www.amazon.com/dp/B09CK18P8L,1
Leg warmers,RAINDEWLL Goth Fingerless Gloves Arm Warmers Striped Knee Thigh High Socks 6 Pairs Cosplay Halloween,489373,https://www.amazon.com/dp/B09CKDWW69,1
Leg warmers,KARDASHIAN SUNBEAM AIRBRUSH LEG SPRAYS (suntan 338),22997,https://www.amazon.com/dp/B00H2KYTA8,1
Leg warmers,TrailHeads Run Around Hand Warmers - black Size one size fits most,299051,https://www.amazon.com/dp/B0069UPPSC,1
Leg warmers,PandaSpa Ultra Thick Wax Collars for Wax Warmers 50pc (Fits Most Warmers Brands),5214,https://www.amazon.com/dp/B07K2DVLWJ,1
Leg warmers,adidas Girls' Stripe Mesh Shorts,105726,https://www.amazon.com/dp/B09DXKB5SZ,1
Leg warmers,Roma Costume Solid Color Calf High Warmers - Hot Pink - One Size,148064,https://www.amazon.com/dp/B0040ZCJAK,4
Leg warmers,"Depileve Easy Clean Citric Wax Cleaner for Warmers and Equipment, 35 Ounce",3320,https://www.amazon.com/dp/B00CD4HYGO,1
Leg warmers,Birdy Boutique Baby Boys Birthday Christmas Photo Prop Striped Leg Warmers,408919,https://www.amazon.com/dp/B00QVLHWGC,4
