query,title,docid,link,rel
Lightweight jacket for men,"Garnier Fructis Color Sealer, Instant, Lightweight Leave-In, Color Shield, For Color-Treated Hair, 6 oz.",10,https://www.amazon.com/dp/B004ZWH3XG,1
Lightweight jacket for men,16PC Magic Hair Donuts Curler Hairdress Magic Hair Styling Roller Curler DIY Tool for Woman Hair Accessories Small (A),42,https://www.amazon.com/dp/B08HGQT46C,1
Lightweight jacket for men,NUOBESTY Crab Headband Crab Costume Accessories Lobster Hair Hoops Plush Animal Hair Band Headwear for Halloween Dress Up Christmas Party,45,https://www.amazon.com/dp/B07Y9JG82G,1
Lightweight jacket for men,"EMIT - Massage and Body Lotion Contains Jojoba, Aloe, Vitamin E - Vegan Gluten Free Cream Lotion - Sensitive Skin - Recover, Rejuvenate, Hydrate, Refreshen Dry Crack Skin (Olive, 80ml (2.7 fl oz)",91,https://www.amazon.com/dp/B08SPXF6XD,1
Lightweight jacket for men,Tara Assorted Color Design 240 Pieces Plastic Beads 10x12 mm For Braid Hair For Girls (GLITTER SKY BLUE),100,https://www.amazon.com/dp/B07JF4C4C2,1
Lightweight jacket for men,MustaeV - Lustrous Cream Base,111,https://www.amazon.com/dp/B0149DT3WY,1
Lightweight jacket for men,Jeffree Star Cosmetics Velour Liquid Lipstick - Cherry Wet,115,https://www.amazon.com/dp/B07DZ1Y5TN,1
Lightweight jacket for men,JANE STONE Essential Oil Diffuser Bracelets Genuine Leather Aromatherapy Bracelet Band Jewelry for Women with 9 Color Washable Pads (Gold-A),116,https://www.amazon.com/dp/B072JW8MJH,1
Lightweight jacket for men,"HADIZ Lash Mirror for Eyelash Extensions, Stainless Steel Eyelash Mirror Square, Lash Extension Tool, Beauty Mirror (Gold)",126,https://www.amazon.com/dp/B08LGKQBWP,1
Lightweight jacket for men,4 Pieces Real Silk Night Sleeping Cap Floral Print Silk Bonnet Hat with Ribbon (Pure Color),165,https://www.amazon.com/dp/B08XTP92WG,1
Lightweight jacket for men,"Reusable Shower Cap for Women – Leakproof, Nonslip Hair Cap for Shower w/ Comfy Flexiband – Soft, Breathable Shower Caps for Women Reusable Waterproof – Durable, Heavy Duty Shower Cap by SMPL OBJECTS (Marble)",169,https://www.amazon.com/dp/B09GNXK3N1,1
Lightweight jacket for men,Callus Pro Cordless Rechargeable Handheld Pedicure Tool for Rough Callused & Dead Skin,174,https://www.amazon.com/dp/B07NBLP4GJ,1
Lightweight jacket for men,"Clutch Bag, Misaky Women Lady Retro Vintage Flower Small Wallet Hasp Purse (White)",176,https://www.amazon.com/dp/B01KM5VRSQ,1
Lightweight jacket for men,"Ryxskin Ryx Skin Invisible Sunshield Sunscreen Anti-Blue Light Technology SPF 40 PA+++, 50ml, Small",191,https://www.amazon.com/dp/B09H61PN51,1
Lightweight jacket for men,Solvere Fortified Moisturizer - 2 Oz Jar,235,https://www.amazon.com/dp/B01B26W9YA,1
Lightweight jacket for men,"shower cap for women, 3 Pieces Waterproof Caps,Elastic Reusable Bathing Hair Cap,Beauty Salon Spa Shower Caps Lace Elastic Band Flower Printed Hat Environmental Protection Hair Bath Caps Shower Caps",236,https://www.amazon.com/dp/B08SQYCTPP,1
Lightweight jacket for men,Ilona - CLOCK WISE EYES Triple Firming Complex,240,https://www.amazon.com/dp/B001JA1CSE,1
Lightweight jacket for men,18 COLOURPOP No Filter Matte Concealer 4 g / 0.14 oz (Light 18 (golden warm concealer for light skin tones)),262,https://www.amazon.com/dp/B07V8LQCZL,1
Lightweight jacket for men,"Cobee Cat Dog Bath Brush,Silicone Dog Grooming Brush Comb Puppy Massage Brush Pet Shampoo Brush Shampoo Dispenser Fur Cleaning Brush for Dog Cat Puppy (Upgrade Blue)",265,https://www.amazon.com/dp/B09Z6SMPQP,1
Lightweight jacket for men,Josie Maran Escape To Morocco Holiday Hair & Body Beautifiers,293,https://www.amazon.com/dp/B00FG0SX9O,1
Lightweight jacket for men,"2 Pieces Women Facial Rollers Massager Face and Eye Puffiness Roller Stainless Steel Facial Roller Face Roller and Facial Tool White, Pink for Skin on Face and Neck",309,https://www.amazon.com/dp/B095CG99D8,1
Lightweight jacket for men,"Nuluxglovite Self-Grip Hair Roller Set – Self Holding Rollers – Come with Multicolor Plastic Duck Teeth Bows- Duckbill Clips – Folding Pocket Plastic Comb -Hairdressing Curlers for Women,18 pcs,1",311,https://www.amazon.com/dp/B08VS87CDR,1
Lightweight jacket for men,"FamzZONUS Silicone Bath Body Brush- Silicone Bath Brush, Exfoliating Brush, Shower Cleaner, Body Scrubbers for Use in Shower, Silicone Scrubber Body, Silicone Loofah for Women and Men",331,https://www.amazon.com/dp/B08KTZCKNX,1
Lightweight jacket for men,"XKUN 20 Pairs of 16MM False Eyelashes Natural Wispy Faux Mink Lashes 3D Fluffy Eyelash Pack ,Wholesale Eyelash Sets In Bulk Fake Eyelashes Natural Look",359,https://www.amazon.com/dp/B093ZK26FX,1
Lightweight jacket for men,HuiWanYan Deep Curly Headband Wigs 24In Long Wave Wig 24 Inch Kinkys Synthetic Hair for Fashion Women and Girls Cool Nice Net Glueless Head Band with 2pcs Free (Black)…,373,https://www.amazon.com/dp/B09FTHVW2H,1
Lightweight jacket for men,feneche bee venom instant lifting complex,375,https://www.amazon.com/dp/B07S2HKRVM,1
Lightweight jacket for men,Chargances Silver Punk Chunky Chain Choker Necklace for Women Multi Layer Cuban Chain Choker for Women Girls Gift (Silver),379,https://www.amazon.com/dp/B09BF816JP,1
Lightweight jacket for men,Large Metal Hair Clips Fish Bone Shape Hair Claw Clip Irregular Geometric Hair Jaw Clamps Silver Hairpin Clips Strong Hold Non-Slip Hair Catch Barrettes Jaw Clamps for Thick Thin Hair Accessories,385,https://www.amazon.com/dp/B0BLZ2LL8T,1
Lightweight jacket for men,"Christian Dior Addict High Impact Weightless Lipcolor, No. 445 Createur, 0.12 Ounce",421,https://www.amazon.com/dp/B0052ADLQI,1
Lightweight jacket for men,"Demure Mineral Make Up, Dark Warm Mineral Foundation Makeup, Concealer Makeup, Natural Makeup Made with Pure Crushed Minerals, Loose Face Powder. Demure Mineral Makeup",422,https://www.amazon.com/dp/B07YM54GLC,1
Lightweight jacket for men,NICKA K LIPSTICK WITH VITAMIN E GLITTER #930,431,https://www.amazon.com/dp/B004T4XJGK,1
Lightweight jacket for men,Farmacy Rise 'N Shine Daily Moisture Lock,434,https://www.amazon.com/dp/B0178I16CW,1
Lightweight jacket for men,Metme 1920s Flapper Headband Art Deco Vintage Feather Headpiece Roaring 20s Great Gatsby Hair Costume Accessories for Women (Red Feather),448,https://www.amazon.com/dp/B07Y9GC7PF,1
Lightweight jacket for men,NICKA K LIPSTICK WITH VITAMIN E BERRY PLUM #806,451,https://www.amazon.com/dp/B004TB6HVM,1
Lightweight jacket for men,"4 Pieces Carbon Fiber Parting Rat Tail Comb Cutting Comb Set, Includes Stainless Steel Pintail Comb Teasing Comb, Fine and Wide Tooth Comb Heat Hairdressing Comb for Braids Hair Salon Home",455,https://www.amazon.com/dp/B08JT4WGB8,1
Lightweight jacket for men,"Aisillac 20Pcs Reusable Cotton Rounds, 3.15inch Makeup Remover Pads Organic Bamboo Cotton Pads 3 Layers Zero Waste Washable Facial Cleansing Cosmetic Removal Wipe Cloth for Face Eye with Laundry Pouch",462,https://www.amazon.com/dp/B088BBVS9D,1
Lightweight jacket for men,ULIKE™ Multipurpose Big Capacity 2 Layers Waterproof Smartphone Portable Storage Nylon Bag Pouch / Workout Sport Armband Case Holder / Belt Waist Bag / Pocket Money Change Purse Cards Wallet / Headphone Cable Carrying Storage Bag Box - With Glasses Lenses LCD Screen Premium Microfiber Cleaning Cloths For iphone 6 plus Blackberry passport Samsung Galaxy S6 edge S5 Note4 MEGA HTC M9 M8 LG G4 G3 Sony Z4 Z3 and Smartphone Under 6.3 Inch (Offwhite),481,https://www.amazon.com/dp/B0117TKQVK,1
Lightweight jacket for men,Just Brys Mean Grip Lace Tint Melting Hair Mousse- Sweet Caramel - Medium Brown Tint Mousse (Sweet Caramel - Medium Brown Mousse),491,https://www.amazon.com/dp/B09N2RSPMX,1
Lightweight jacket for men,Unisex Funny 3D Print Face Cotton Multifunctional Windproof Coldproof Reusable Face Macks,492,https://www.amazon.com/dp/B08F322V79,1
Lightweight jacket for men,Black Opal Even True Beautiful Bronze Foundation 1oz (3 Pack),520,https://www.amazon.com/dp/B00GMOZY90,1
Lightweight jacket for men,Kaleidoscope Therapeutic Shampoo + Conditioner + Leave in 8oz + Drops 2oz,526,https://www.amazon.com/dp/B07VMGV3SK,1
Lightweight jacket for men,3 Pack Hair Towel Wrap Turban Microfiber Drying Bath Shower Head Towel with Buttons - Quick Magic Dryer Dry Hair Hat Wrapped Bath Cap,532,https://www.amazon.com/dp/B07KV31WDS,1
Lightweight jacket for men,"SugarBaby Rev Oil Ution Nourishing Coconut Oil Treatment for Face, Body and Hair, 4.73 Fl. Ounce",542,https://www.amazon.com/dp/B01IDQSW48,1
Lightweight jacket for men,"perfect Puff Hair Head Cushion,sponge increased pad hair invisible false hair clip fluffy princess styling hair pad hairpin Diy Hair Beauty Tool (6pc)",550,https://www.amazon.com/dp/B091FG7C73,1
Lightweight jacket for men,Detangling Brush for Natural Black Hair Detangler Hair Brush (2 Black),585,https://www.amazon.com/dp/B08YV22F4T,1
Lightweight jacket for men,[Hera] Black Cushion SPF34 PA++ 15g+15g(Refill) #13 Ivory,594,https://www.amazon.com/dp/B071CXTMFV,1
Lightweight jacket for men,"LUMINESS Silk Airbrush Spray Foundation - Full Coverage Foundation - Formula Hydrates & Moisturizes with Hyaluronic Acid, Aloe Vera & Hydrolyzed Silk (Shade - Tan)",600,https://www.amazon.com/dp/B0BGS9F2FM,1
Lightweight jacket for men,1 Pcs Resizable Adjustable Soft Baby Babies Kids Children Shampoo Bath Bathing Shower Cap Hat Shield for Wash Washing Hair + a Keychain,607,https://www.amazon.com/dp/B00LKL4FP4,1
Lightweight jacket for men,Hampstead Square Lighted Makeup Mirror 7x Magnified Vanity Mirror With Light - Suction Cup – Compact Cordless Travel Mirror,610,https://www.amazon.com/dp/B01HED500A,1
Lightweight jacket for men,Able Vision Reading Glasses - BPR36 Tube Burgundy / BPR36 BURGUNDY TUBE,626,https://www.amazon.com/dp/B002TT1AJA,1
