query,title,docid,link,rel
Lightweight travel backpack,School Backpack BookBag For College Travel Hiking Fit Laptop Up to 15.6 Inch Water Resistant (Mix C),43436,https://www.amazon.com/dp/B01LX1GQNI,4
Lightweight travel backpack,"Kangaroo Joey Bag For Feeding Pumps - Kangaroo Backpack For Enteral Feeding Pump - 500mL or 1000mL, Green",96463,https://www.amazon.com/dp/B084BZB78G,3
Lightweight travel backpack,Eyebun 20L Lightweight Packable Travel Hiking Camping Beach Daypack | Water Resistant Outdoor Daily Foldable Backpack (Navy Blue),200536,https://www.amazon.com/dp/B0849TLKST,5
Lightweight travel backpack,Eyebun 20L Lightweight Packable Travel Hiking Camping Beach Daypack | Water Resistant Outdoor Daily Foldable Backpack (Red),301274,https://www.amazon.com/dp/B0849LCRNX,5
Lightweight travel backpack,Eyebun 20L Lightweight Packable Travel Hiking Camping Beach Daypack | Water Resistant Outdoor Daily Foldable Backpack (Neon Green),191362,https://www.amazon.com/dp/B0849Q52M6,5
Lightweight travel backpack,4 in 1 Universal Waterproof Water Resistent Storage Bag Drawstring Bag for Home School Travel Outdoor -LightBlue & 4 Sizes,317408,https://www.amazon.com/dp/B00KLS2G9Y,3
Lightweight travel backpack,Backpack Bookbag for School College Student Travel Business with USB Charging Port Fit Laptop Up to 15.6 inch Anti theft Night Light Reflective (Galaxy),44762,https://www.amazon.com/dp/B07QHTF3QP,4
Lightweight travel backpack,"Cuziss Pack of 10pcs Webbing Ending Clip Quick Slip Keeper Connect Buckle for Backpack Adjusting Strap Black (1"")",129441,https://www.amazon.com/dp/B06XG4ZVMD,3
Lightweight travel backpack,"Cuziss Pack of 20pcs Webbing Ending Clip Quick Slip Keeper Connect Buckle for Backpack Adjusting Strap Black (1"")",129655,https://www.amazon.com/dp/B06XG6CSKZ,3
Lightweight travel backpack,Michigan Wolverines Echo Bungee Style Backpack,61493,https://www.amazon.com/dp/B0134X9UPU,3
Lightweight travel backpack,Rothco Canvas Briefcase Backpack,221116,https://www.amazon.com/dp/B07C81XHKT,3
Lightweight travel backpack,Vera Bradley Women's Picnic & Beach Blanket,403999,https://www.amazon.com/dp/B08MBBG99H,2
Lightweight travel backpack,"Valentino by Mario Valentino Backpack Handbag, White (Bianco)",353097,https://www.amazon.com/dp/B07V123M3P,3
Lightweight travel backpack,MICHAEL Michael Kors Rhea Zip Grommet Medium Backpack (Black),37504,https://www.amazon.com/dp/B01ACE9VI0,3
Lightweight travel backpack,"Chrome Industries Hightower 3 Way Carry Travel Backpack - 15"" Laptop Pack, 23 Liter, Black Tarp",309466,https://www.amazon.com/dp/B08431TJ68,4
Lightweight travel backpack,Honeysuckle-CoQ10 Hand & Body Lotion Aubrey Organics 3 oz Lotion,9369,https://www.amazon.com/dp/B007UUDK4Q,2
Lightweight travel backpack,N/O Camping Backpack for Men 55L Detachable Hiking Daypacks Travel Rucksack 3 day Pack,30507,https://www.amazon.com/dp/B088GVPNHQ,4
Lightweight travel backpack,"Jursccu Embroidered Backpack Purse + Crossbody Bag for Women, 2 Pack",56755,https://www.amazon.com/dp/B08KG9Z4KL,3
Lightweight travel backpack,"NICGID Sling Bags, Chest Shoulder Backpacks Crossbody Purse Outdoor Chest Bag Travel Backpack for Men Women",145025,https://www.amazon.com/dp/B07F17DPJ6,4
Lightweight travel backpack,Sprigs Banjees Wrist Wallet,336919,https://www.amazon.com/dp/B00AE9I1DA,2
Lightweight travel backpack,N/O Camping Backpack for Men 55L Detachable Hiking Daypacks Travel Rucksack 3 day Pack,405373,https://www.amazon.com/dp/B088GS7PYJ,4
Lightweight travel backpack,Baggallini Tsa Friendly Toiletry Case,230425,https://www.amazon.com/dp/B0719RT9WH,2
Lightweight travel backpack,Baggallini Tsa Friendly Toiletry Case,398210,https://www.amazon.com/dp/B0714LHLDZ,2
Lightweight travel backpack,Baggallini Tsa Friendly Toiletry Case,307143,https://www.amazon.com/dp/B071ZH3S1G,2
Lightweight travel backpack,Baggallini Tsa Friendly Toiletry Case,60888,https://www.amazon.com/dp/B073PR5LY2,2
Lightweight travel backpack,Lian LifeStyle Unisex Adult 6 PCS Set Travel Bags Medium (Navy Blue),210785,https://www.amazon.com/dp/B017077FRG,3
Lightweight travel backpack,LFPartS Keychain Tactical Key Ring Holder Nylon Belt with Thin Blue Line,377566,https://www.amazon.com/dp/B079K5HCF8,2
Lightweight travel backpack,"TanzDom 10 Piece Hand Sanitizer Holder Keychain for Backpack, 30ml Leakproof Refillable Empty Travel Bottles with Flip Cap and Keychain Holder 1oz Container for Hand Sanitizer, Liquids Soap, Full Send",910,https://www.amazon.com/dp/B08K72B26Y,4
