query,title,docid,link,rel
Liquid eyeliner,"MoYo Natural Labs 8 oz Spray Bottles Fine Mist Empty Travel Containers, BPA Free PET Plastic for Essential Oils and Liquids/Cosmetics (Pack of 2, Blue)",50,https://www.amazon.com/dp/B08MVFKSQ8,2
Liquid eyeliner,Eyebrow Tattoo Pen Waterproof Microblading Eyebrow Pencil with Micro-Fork Tip Brow Tint Tattoo Eyes Makeup Natural Hair-Like Defined Brows All Day (Black),88,https://www.amazon.com/dp/B07PRKKHRX,1
Liquid eyeliner,Jeffree Star Cosmetics Velour Liquid Lipstick - Cherry Wet,115,https://www.amazon.com/dp/B07DZ1Y5TN,2
Liquid eyeliner,LA Splash Cosmetics Soft Liquid Matte Blood Red Lipstick - LIP COUTURE (Poison Apple),177,https://www.amazon.com/dp/B072JG9WW8,1
Liquid eyeliner,"SnozzlePro Universal Hair Dryer Nozzle Adapter - Fits Xtava Black Orchid Diffuser, Replacement Concentrators and Blow Dryers with a Diameter 1.5 Inch to 2.25 Inch - Prevents Attachment Pop-Offs",203,https://www.amazon.com/dp/B07X8Z9W22,1
Liquid eyeliner,AORA H6 SILVER HOLOGRAM,247,https://www.amazon.com/dp/B01N30M5A3,1
Liquid eyeliner,3D Face Massager V Face Lift Tool Facial Care Massager Roller Firming Beauty Body Face Massage Massage Stick,310,https://www.amazon.com/dp/B08JVK8B58,1
Liquid eyeliner,EYELASH EVOLUTION Reusable Self Adhesive Eyelashes Paired Lashes No Glue Required No Liquid Eyeliner Easy To Put On Soft and Comfortable Without Irritation (LC-303 Dandelion),319,https://www.amazon.com/dp/B09NKC8TW7,1
Liquid eyeliner,"B.O.B BARS OVER BOTTLES Moisturizing Shampoo Bar | For Curly Hair | Hair Care, Ideal Ph Balance |Natural, Vegan | Eco-friendly, Sustainable, Plastic Free | Waterless & Zero Waste",337,https://www.amazon.com/dp/B0BN12F234,1
Liquid eyeliner,12 Pack of Roll On Empty Glass Bottles for Essential Oils - Refillable Roller Color Roll On - Bulk - 30 ml 1 oz Pack of 12 -Clear Color,344,https://www.amazon.com/dp/B00XLT4QPW,1
Liquid eyeliner,Becca x Jaclyn - Split Pan Shimmering Duo - Prosecco Pop/Pamplemousse,484,https://www.amazon.com/dp/B01KYS5EVW,1
Liquid eyeliner,Black Opal Even True Beautiful Bronze Foundation 1oz (3 Pack),520,https://www.amazon.com/dp/B00GMOZY90,1
Liquid eyeliner,Kaleidoscope Therapeutic Shampoo + Conditioner + Leave in 8oz + Drops 2oz,526,https://www.amazon.com/dp/B07VMGV3SK,1
Liquid eyeliner,"xinlutong 2 in 1 Waterproof Eyebrow Stamp Powder,Lazy Two-color Eyebrow with Brush,Adjustable Eyebrow Stamp,Make-up Cover Waterproof Hypoallergenic Foundation Natural (2# Brownish+Gray Combination)",557,https://www.amazon.com/dp/B08TTP42Q1,1
Liquid eyeliner,"VICKYLEE 72 Pieces Makeup Sponge Blender, Small Latex-Free, Make Up Beauty Sponge Wedges Applicator For Liquid Cream Foundation Loose Powder, Flawless Face Curve Blending",569,https://www.amazon.com/dp/B08C4TVL3C,2
Liquid eyeliner,MoYo Natural Labs 8 oz Container PET Bottle Turret Style Closure Top Toggle Adjustable Dispenser Refillable Lotion Container Empty Bottle Blue 8 OZ Pack of 2,577,https://www.amazon.com/dp/B01LXYHF2G,1
Liquid eyeliner,[Hera] Black Cushion SPF34 PA++ 15g+15g(Refill) #13 Ivory,594,https://www.amazon.com/dp/B071CXTMFV,1
Liquid eyeliner,"30 Pcs Lash Shampoo Brushes Soap Bottle Set, 10 Eyelash Extensions Mascara Brushes 10 Peel Off Blackhead Nose Cleaning Brush 10 Plastic Foam Reusable Bottle for Women Girl(Black,Simple)",612,https://www.amazon.com/dp/B0B6C3VFBF,1
Liquid eyeliner,Headphone Earphones Earbuds,614,https://www.amazon.com/dp/B087F9FBCW,1
Liquid eyeliner,Bath oil beads for woman | Heart Shaped Bath Pearls | Vintage Bath Beads | Moisturizing Bath Oil drops | Bath Beads dry skin | Strawberry Scented Bath | Grandma Gift | Mothers Day Gift Idea,727,https://www.amazon.com/dp/B07D5JYH5S,1
Liquid eyeliner,"Terrece TZ 15pcs Professional Makeup Brushes with Makeup Brush Bag, including a Washing Brush Silica Glove Scrubber for Cleaning Makeup Brushes",734,https://www.amazon.com/dp/B0190NFLLA,2
Liquid eyeliner,Eyeliner Stamp Double-sided Liquid Winged Eye Liner Pen Waterproof Smudgeproof Long Lasting Wing Original Eyeliner Pen,753,https://www.amazon.com/dp/B07F7DHD7Z,5
Liquid eyeliner,MZ BEAUTY 24 Pcs 1 set Makeup Blender Beauty Sponge Non-Latex Oil Resistant for All Skin Types Foundation Blending Sponge Multi Color Makeup Sponges (color),760,https://www.amazon.com/dp/B07HNDWQFL,2
Liquid eyeliner,"PANA Liquid Push Down Pump Dispenser Empty Bottle with Flip Top Cap (7 Ounce - 1 Bottle, Clear)",761,https://www.amazon.com/dp/B07HYP9VK6,1
Liquid eyeliner,"Nail Art Brushes,Acrylic Nail Brush,Nail Art Brush,Acrylic Brush Embossed Sable Nail Tools for Nail Salon Home Use,Nail Tools (#20)",762,https://www.amazon.com/dp/B099ZJ8T5Y,1
Liquid eyeliner,"TanzDom 10 Piece Hand Sanitizer Holder Keychain for Backpack, 30ml Leakproof Refillable Empty Travel Bottles with Flip Cap and Keychain Holder 1oz Container for Hand Sanitizer, Liquids Soap, Full Send",910,https://www.amazon.com/dp/B08K72B26Y,1
Liquid eyeliner,"Black 8 Oz - Liquid Latex Body Paint, Ammonia Free No Odor, Easy On and Off, Cosplay Makeup, Creates Professional Monster, Zombie Arts",935,https://www.amazon.com/dp/B00R1TMCTK,2
Liquid eyeliner,"Sweet LeiLani Liquid Foundation, Waterproof Full Coverage Vegan, Cruelty-Free, 3 in 1 Makeup Foundation Liquid. No Parabens, Gluten, Fragrance (Sea Breeze) - 1 oz",984,https://www.amazon.com/dp/B07BGY2226,2
Liquid eyeliner,Sparkle & Co. Solidify – #3: Drying Liquid,1001,https://www.amazon.com/dp/B07BK8FKHT,2
Liquid eyeliner,my perfumes Oud Rose Concentrated Perfume - Oil Spray - Musk Oil Perfume - for Men and Women - 10 ml,1052,https://www.amazon.com/dp/B08NCHTZ1C,1
Liquid eyeliner,Genuine Czech Purple Crystal Glass 6 1/4 inch Spa Bar Slab Foot File,1083,https://www.amazon.com/dp/B00FCGXHEI,1
Liquid eyeliner,Ciate London Glitter Flip - Undressed,1084,https://www.amazon.com/dp/B07JMWZGHR,2
Liquid eyeliner,"12 Pack 30 ml 1 oz Clear Glass Bottles with Glass Droppers and Black cap.Glass Dropper Bottles for Essential Oils,Lab Chemicals,Colognes,Perfumes.Included 1 Brush,2 Funnels and 24 Labels.",1094,https://www.amazon.com/dp/B08KY36DSN,1
Liquid eyeliner,HOLLYWOOD GLAMOUR HAND CREAM,1095,https://www.amazon.com/dp/B09QLQLDFY,1
Liquid eyeliner,Ammonia Free Liquid Latex Body Paint 8oz White,1122,https://www.amazon.com/dp/B00TUAMIHO,2
Liquid eyeliner,Simple Switch Kit for Fast Makeup Brush Cleaning | Makeup Cleaner Wet Pad and Color Switch Dry Sponge Removes Eyeshadow Color from Makeup Brushes,1127,https://www.amazon.com/dp/B01MSHC70L,1
Liquid eyeliner,Dr. Teal's Olive Oil Skin Treatment - 8 oz,1129,https://www.amazon.com/dp/B00N4VI7WU,
Liquid eyeliner,Infusing Deep De-Frizz Conditioner - Liquid Keratin - Hair Care - 200ml/6.6oz,1135,https://www.amazon.com/dp/B0047Q0UP8,1
Liquid eyeliner,"Naturasil Natural Tinea Versicolor Treatment Soap With 10% Sulfur | Relieves Itching, Discoloration, & Discomfort | Also Helps to Relieve Candida & Onychomycosis | 113 grams each bar",1162,https://www.amazon.com/dp/B0813XZYZ1,1
Liquid eyeliner,"Organic Cooling Intimate Body Créme by Modern Love Essentials - Coconut Based, Organic, Natural - Flavored with Mint Essential Oils",1176,https://www.amazon.com/dp/B06XYT84QH,1
Liquid eyeliner,Eufora Powder Lift Weightless Volume and Texture 0.75 oz,1183,https://www.amazon.com/dp/B005SU2HSK,1
Liquid eyeliner,"Tattoo Junkee Lip Kit Whatever, Long Wear Liquid Lipstick, Matte Lipstick",1184,https://www.amazon.com/dp/B07J49V3H1,2
Liquid eyeliner,"PANA Liquid Push Down Pump Dispenser Empty Bottle with Flip Top Cap (7 Ounce - 1 Bottle, Black (Alcohol))",1192,https://www.amazon.com/dp/B079QBHKC8,1
Liquid eyeliner,"Beauticom 9 oz Blue Alcohol Labelled Push Down Liquid Pumping Dispenser Empty Bottle, Professional, Laboratory, Dentist, Salon, Nail Care, Hospital use",1206,https://www.amazon.com/dp/B00U8QF5JW,1
Liquid eyeliner,"Generic Maanya Collection Reusable Silicone Exfoliating Body Scrubber Bath Shower Brush Soft Bristle Massager with Fill Soap Dispenser For Body Wash Gentle Skin Scalp Scrub Hair Comb,Pink,Medium",1241,https://www.amazon.com/dp/B092Q8VYG2,1
Liquid eyeliner,"2 Pack Air Cushion BB Cream with Mushroom Head Makeup Brush, Foundation Makeup Moisturizing BB Cream Concealer, Long Lasting Matte Concealer Brightening Fitting Base for All Skin Types (Multicolor)",1298,https://www.amazon.com/dp/B094N78PD6,2
