query,title,docid,link,rel
Long-lasting waterproof mascara,Christian Dior 8ml/0.27oz Diorshow Iconic Extreme Waterproof Mascara - # 268 Blue,23252,https://www.amazon.com/dp/B00375Y312,4
Long-lasting waterproof mascara,SJOO Fiber 2-in-1 Set 4D Mascara - Eyelash Lengthening Mascara - Curl Encryption Mascara,3820,https://www.amazon.com/dp/B07WFJRRHB,3
Long-lasting waterproof mascara,Le Velvet?? Film Makeup Compact Foundation Refill (Spf 15) Sand Beige 0.4 Oz,19280,https://www.amazon.com/dp/B004AOGGZ0,2
Long-lasting waterproof mascara,Jolie Cosmetics Indelible Lash Waterproof Mascara - Dark Fudge,16491,https://www.amazon.com/dp/B019VQ8MEE,4
Long-lasting waterproof mascara,UCANBE 3pcs Mascara Set Black Volume Length 4D Silk Fiber Natural Eye Lash Combination Mascaras Gift Set Makeup Extension Curling Waterproof Eyelashes,19954,https://www.amazon.com/dp/B08GX3TRX8,4
Long-lasting waterproof mascara,Bionic Mascara - Jet Black - Smashbox - Mascara - Bionic Mascara - 7.7g/0.27oz,13312,https://www.amazon.com/dp/B00375T60K,3
Long-lasting waterproof mascara,"Natural Waterproof Lash Mascara Black, 4D Silk Fiber Eyelash Mascara Makeup, Lengthening and Thick, No Clumping, Smudge-proof, Long-Lasting Voluminous Eyelashes Dramatic Extension Makeup Kit Eye Lash",14541,https://www.amazon.com/dp/B086SSMK7P,5
Long-lasting waterproof mascara,"4D Silk Fiber Lash Mascara Black, Waterproof Natural Thick Fiber Mascara, Thick Thickening Lengthening, Dramatic Extension Voluminous Eyelashes Mascara, No Clumping, No Smudging Lasting All Day",21528,https://www.amazon.com/dp/B086SSHLWT,4
Long-lasting waterproof mascara,"4D Silk Fiber Lash Mascara Black, Natural Waterproof Mascara Extra Long Lash,Thick Thickening and Lengthening, No Clumping, No Smudging, Lasting Voluminous Eyelashes Dramatic Extension Mascara",21763,https://www.amazon.com/dp/B086ST4W1C,4
Long-lasting waterproof mascara,"Natural Silk Fiber Lash Mascara, Black Waterproof, 4D Silk Fiber Eyelash Mascara, Lengthening and Thick, No Clumping, Smudge-proof, Long-Lasting, Voluminous Eyelashes Dramatic Extension Eye Lash",14649,https://www.amazon.com/dp/B08D7DDKNS,5
Long-lasting waterproof mascara,Volumizing Mascara waterproof Thrive Mascara Makeup Lash mascara black volume and length,20393,https://www.amazon.com/dp/B09TZVG1V3,4
Long-lasting waterproof mascara,"Araceli Beauty ojos Perfectos Gel Pencil Eyeliner Duo,Brown",16116,https://www.amazon.com/dp/B08XNZ14D8,2
Long-lasting waterproof mascara,Helena Rubinstein Lash Queen Mascara Waterproof 01 Rich Black,23841,https://www.amazon.com/dp/B000PHGHJG,4
Long-lasting waterproof mascara,Cool Tiger Lion Dragon Arm Shoulder Waterproof Temporary Fake Tattoo Sticker - HB-226 qsbai,23328,https://www.amazon.com/dp/B07K8QWQYJ,3
Long-lasting waterproof mascara,Mote Mascara Long Type Japanese Hottest Eyelasher,21829,https://www.amazon.com/dp/B004GH6YBM,3
Long-lasting waterproof mascara,"4d Silk Fiber Lash Mascara,Fiber Mascara,Waterproof Lengthening Mascara,Natural Thick Thickening,Long Lasting Charming Eye Makeup,Black",18286,https://www.amazon.com/dp/B07V1WCG1B,4
Long-lasting waterproof mascara,you better work! volume & curl mascara,11366,https://www.amazon.com/dp/B07NHTZPTD,3
Long-lasting waterproof mascara,"essence | I Love Extreme Crazy Volume Waterproof Mascara | Volumizing & Longlasting for Dramatic Lashes | Vegan & Cruelty Free | Free From Fragrance, Parabens, Alcohol, & Microplastic Particles",14232,https://www.amazon.com/dp/B0B7L451Z9,4
Long-lasting waterproof mascara,"2 PCS Thrive Mascara Liquid Lash Extensions Black Mascara for Natural Lengthening and Thickening Effect, Waterproof Smudge-proof Natural No Clumping Smudging Lasting All Day, 0.76 Ounce",22208,https://www.amazon.com/dp/B0C1HGPHN8,4
Long-lasting waterproof mascara,"R.S. Stein Men's Professional Style, 100% Pure Bristle Hardwood Handle Brush - Firm",7738,https://www.amazon.com/dp/B00ZAA2NF0,2
Long-lasting waterproof mascara,"Silk Fiber Eyelash Mascara ,with Eyebrow pencil, Eyeliner pencil ,Curling Thick,Waterproof Lasting Mascara for Eye Makeup Natural Voluminous Look 3 styles (Set 04)",9545,https://www.amazon.com/dp/B08TSSHFVY,4
Long-lasting waterproof mascara,"COVERGIRL Total Tease Full + Long + Refined Waterproof Mascara, Very Black.21 fl oz (Pack of 2)",11194,https://www.amazon.com/dp/B081J462T5,4
Long-lasting waterproof mascara,Sguard Rock On Mascara (Black),14631,https://www.amazon.com/dp/B001D4WWC6,3
Long-lasting waterproof mascara,"STUDIOMAKEUP Line Styler Pen, Blackest Black, 0.036 Fluid Ounce",9814,https://www.amazon.com/dp/B00IBLV3SI,2
Long-lasting waterproof mascara,essence | The Lion King Lash Like a Boss Instant Volume & Length Waterproof Mascara | Limited Edition Disney Collection | Long Lasting Formula | Vegan & Cruelty Free | Parabens & Fragrance Free,23372,https://www.amazon.com/dp/B0BTD68V6H,4
Long-lasting waterproof mascara,"Lise Watier Waterproof Lip Crayon, Rose Vibrant, 0.04 oz",7934,https://www.amazon.com/dp/B01MQG1GOT,3
Long-lasting waterproof mascara,WOW! 6 pcs/Set Peel Off Lip Gloss Mask Multicolor Lip Tint Pack Long Lasting Makeup Lips Cosmetic Matte Makeup Tattoo,16490,https://www.amazon.com/dp/B07KPBWNX2,2
Long-lasting waterproof mascara,Mllkcao Beauty Creative Styling Head Matte Lipstick Creative Styling Lipstick New Head Matte Handmade Lips Valentines Day Gifts for Her,12376,https://www.amazon.com/dp/B09NBWC2SQ,2
Long-lasting waterproof mascara,Mllkcao Beauty Creative Styling Head Matte Lipstick Creative Styling Lipstick New Head Matte Handmade Lips Valentines Day Gifts for Her,14135,https://www.amazon.com/dp/B09NBVZ31P,2
Long-lasting waterproof mascara,"Mascara, 4D Silk Fiber Lash Mascara Waterproof, Luxuriously Longer, Thicker, Voluminous Eyelashes, Long-Lasting, Dramatic Extension, Smudge-proof, 2 in 1 Mascara for Charming Eye Makeup",16251,https://www.amazon.com/dp/B07ZQGYZNW,5
Long-lasting waterproof mascara,Preup Black Eyeliner Waterproof Liquid Eye Liner Pencil Pen Make Up Beauty Comestic,1237,https://www.amazon.com/dp/B00WR1Y14Q,3
Long-lasting waterproof mascara,Fooops Dual Phase Color Remover,12719,https://www.amazon.com/dp/B01LXP5MDT,2
Long-lasting waterproof mascara,"4D Silk Fiber Lash Mascara, Lengthening and Thick, Long Lasting, Waterproof & Smudge-Proof, Long, Thick, Smudge-Proof Eyelashes , Hypoallergenic Formula , All Day Exquisitely Full",5774,https://www.amazon.com/dp/B0B2C5MH68,4
Long-lasting waterproof mascara,"3D Silk Fiber Lash Mascara, Long Lasting, Black Mascara & Smudge-Proof, All Day Exquisitely, Full, Long, Thick, Smudge-Proof Eyelashes",13883,https://www.amazon.com/dp/B07V5R9N2G,3
Long-lasting waterproof mascara,Benefit They're Real Mascara - Limited Edition with Swarovski Crystals,13096,https://www.amazon.com/dp/B017ODX7EQ,3
Long-lasting waterproof mascara,"Kat Von D Go Big or Go Home Volumizing Mascara! Extreme Volume Vegan Mascara Powered By Plant-Based Fats! High Pigmented, Long-Wear and Smudge Proof! Cruelty Free Eye Mascara!",16129,https://www.amazon.com/dp/B07S32QXQ5,3
Long-lasting waterproof mascara,4D Silk Fiber Lash Mascara and Eye Pencil Value Pack，Luxuriously Longer，Thicker，Voluminous Eyelashes，Dramatic Extension，Natural Waterproof Smudge-Proof & Long Lasting Charming Eye Makeup ，1 Set，Combo,6064,https://www.amazon.com/dp/B07SYBHPQ5,4
Long-lasting waterproof mascara,Benefit Cosmetics They're Real! Sexy On The Run Kit,6708,https://www.amazon.com/dp/B011F7PTTS,2
Long-lasting waterproof mascara,Dermacol (Czech) Volume Mania Waterproof Mascara 9ml Black,5811,https://www.amazon.com/dp/B07MHJLNML,4
Long-lasting waterproof mascara,Inimitable Waterproof Multi Dimensional Mascara - # 20 Bronze - 5g/0.17oz,18548,https://www.amazon.com/dp/B000QXMX3I,4
Long-lasting waterproof mascara,Sparks Bright Haircolor Denim Blue 3.04 Fluid Ounce,11814,https://www.amazon.com/dp/B078Y88W9V,2
Long-lasting waterproof mascara,"4D Silk Fiber Lash Mascara Waterproof, Rich Black Mascara for Longer, Thicker, Voluminous Eyelashes by St. Mege",3455,https://www.amazon.com/dp/B07NBY3L1X,4
Long-lasting waterproof mascara,"40 Teal Ribbon Temporary Tattoos: Ovarian Cancer, Sexual Assault Awareness Tattoo",8542,https://www.amazon.com/dp/B079P5WJJ6,2
Long-lasting waterproof mascara,Estee Lauder Sumptuous Infinite Daring Length + Volume Mascara and Pure Color Envy Sculpting Lipstick,18382,https://www.amazon.com/dp/B00M3ZYLPU,3
Long-lasting waterproof mascara,"SIAMHOO 4D Mascara 2PC Waterproof Mascara Voluminous Makeup Lash Mascara Natural Long Lasting Mascara Dramatic Extension,Longer,Thicker,Smudge-Proof (Black)",17510,https://www.amazon.com/dp/B08548QV8R,4
