query,title,docid,link,rel
Makeup brush set,3D Mask Bracket for Kids，Internal Support Holder Frame Nose Breathing Smoothly - Protect Lipstick Lips - Cool Face Mask Inner Support Frame-5Pcs,20,https://www.amazon.com/dp/B08FZB43ZK,1
Makeup brush set,"Cala Cosmetic wedge travel pack 6 count, 6 Count",38,https://www.amazon.com/dp/B003D1UTRC,1
Makeup brush set,Crewmate Temporary Tattoos | Imposter - Red is Sus - Emergency Meeting - Trust No One - Sabotage - Shhhh! & more | Pack of 28 | MADE IN THE USA | Skin Safe | Party Supplies & Stocking Stuffers | Removable,64,https://www.amazon.com/dp/B08RBDB6ZT,1
Makeup brush set,Mac Cosmetics Studio Fix Matte Foundation Stick - NW13,70,https://www.amazon.com/dp/B082BJYV38,1
Makeup brush set,Eyebrow Tattoo Pen Waterproof Microblading Eyebrow Pencil with Micro-Fork Tip Brow Tint Tattoo Eyes Makeup Natural Hair-Like Defined Brows All Day (Black),88,https://www.amazon.com/dp/B07PRKKHRX,1
Makeup brush set,"Eyelash Sercum, 10ML Professional Natural Eyelash Enhance Growth Moisturizing Essence",104,https://www.amazon.com/dp/B07TBGGNYT,1
Makeup brush set,FreshMe 24K Gold Collagen Under Eye Patch for Women and Men - 20 Pairs Gel Eye Treatment Mask for Eyes Puffiness Anti Aging Removing Bags Deep Hydration Relieve Dark Circles,124,https://www.amazon.com/dp/B07JVPF7YZ,1
Makeup brush set,"Vaultz Locking Makeup Artist Case, Black White Stripe (VZ03755)",128,https://www.amazon.com/dp/B082245PK2,1
Makeup brush set,"Blush With Me Blusher Cubes by W7 - Set of 3 Blush, Bronzer, Highlighter and Contour Pressed Powder Palettes - A Gorgeous Spectrum of Pink, Peach and Bronzed Shades with Soft Makeup Applicator Brushes",149,https://www.amazon.com/dp/B01F7RF9G0,4
Makeup brush set,4 Pieces Real Silk Night Sleeping Cap Floral Print Silk Bonnet Hat with Ribbon (Pure Color),165,https://www.amazon.com/dp/B08XTP92WG,1
Makeup brush set,"Ryxskin Ryx Skin Invisible Sunshield Sunscreen Anti-Blue Light Technology SPF 40 PA+++, 50ml, Small",191,https://www.amazon.com/dp/B09H61PN51,1
