query,title,docid,link,rel
Matte pink lipstick,"Too Faced Peach Kiss Moisture Matte Long Wear Lipstick""Pink with a Wink"" - Full Size",9176,https://www.amazon.com/dp/B07M62FNNL,4
Matte pink lipstick,Jordana Modern Matte Lipstick 04 Matte Tease,3202,https://www.amazon.com/dp/B00TBXUYLM,4
Matte pink lipstick,Lipstick Perfecting Matte BB All in One,10258,https://www.amazon.com/dp/B083F18LNL,4
Matte pink lipstick,NYX Suede MATTE LIPSTICK KITTEN HEELS,16839,https://www.amazon.com/dp/B07VG2HNWR,3
Matte pink lipstick,Mac Matte Lipstick Soar,18859,https://www.amazon.com/dp/B07PGCXCHF,3
Matte pink lipstick,Clinique Pink with a Purpose Lipstick set,764,https://www.amazon.com/dp/B00K7RP77M,4
Matte pink lipstick,Pink Lipstick Womens Black Wet Rubber Look Mini Skirt (S/M),112249,https://www.amazon.com/dp/B00D97K20O,1
Matte pink lipstick,Nars Foreplay Orgasm Cheek Palette,6212,https://www.amazon.com/dp/B008F5FCWS,1
Matte pink lipstick,NYX Professional Makeup Suede MATTE LIPSTICK CANNES,14013,https://www.amazon.com/dp/B07VCYSW7Z,4
Matte pink lipstick,Too Faced Peach Kiss Moisture Matte Long Wear Lipstick Breakfast Club .14 Oz,6544,https://www.amazon.com/dp/B07LDVVQTR,4
Matte pink lipstick,MAC LOVE WEAPON LIPSTICK! Retro Matte Liquid Lip Colour Full Size New No Box!,4265,https://www.amazon.com/dp/B08TY8G5SM,4
Matte pink lipstick,NICKA K LIPSTICK WITH VITAMIN E PECAN BROWN #402 by Nicka K,17915,https://www.amazon.com/dp/B004TBGAEQ,3
Matte pink lipstick,NICKA K LIPSTICK WITH VITAMIN E LIGHT PINK #704,4901,https://www.amazon.com/dp/B004TBE6LK,4
Matte pink lipstick,Velvet Matte Cream Liquid Lip - Perfection by Victorias Secret for Women - 0.11 oz Lipstick,5481,https://www.amazon.com/dp/B08GZ55PQ3,4
Matte pink lipstick,Charlotte Tilbury Matte Revolution Luminous Modern-Matte Long-Lasting Lipstick Mini Travel Size Charm - Pillow Talk 2 Medium,14137,https://www.amazon.com/dp/B08SB77FR6,5
Matte pink lipstick,Nyx Cosmetics Lingerie Liquid Lipstick ~ PUSH-UP (BROWN SPICE PINK) ~,14034,https://www.amazon.com/dp/B01BKDLYIM,4
Matte pink lipstick,"Clinique All About Shadow Palette, Limited Edition.12 oz",19532,https://www.amazon.com/dp/B014HKGIEU,3
Matte pink lipstick,Jeffree Star Mini Red & Pink Velour Liquid Lipstick Bundle ~ Love Sick Collection,5933,https://www.amazon.com/dp/B07B3X1LDS,5
Matte pink lipstick,"NYX PROFESSIONAL MAKEUP Soft Matte Lip Cream, High-Pigmented Cream Lipstick in Abu Dhabi",10433,https://www.amazon.com/dp/B013QNDCP2,5
Matte pink lipstick,"Colourpop Hocus Pocus ''Hello Boys'' Lip Crème - Coven Crew Collection Matte Liquid Lipstick - Full Size - New in Box, Black",11841,https://www.amazon.com/dp/B09HSVNHD9,3
Matte pink lipstick,Charlotte Tilbury Hot Lips 2 Red Hot Susan Limited Edition,13856,https://www.amazon.com/dp/B07TS53N7Z,3
Matte pink lipstick,IMAN Luxury Matte Lipstick Aphrodisiac - 0.13oz Aphrodisiac,5735,https://www.amazon.com/dp/B07CKT4C8S,3
Matte pink lipstick,Nicka K Vivid Matte Lipstick NMS02 Red,3595,https://www.amazon.com/dp/B0B89FFWQH,4
Matte pink lipstick,NICKA K Vivid Matte Lipstick NMS03 Orange Red,9355,https://www.amazon.com/dp/B018WCSZZ4,3
Matte pink lipstick,"Peripera Ink Mood Matte Lipstick, Lightweight, Matte, Smooth, Hydrating, Lasting Color Payoff (02 Pink Go Up)",1978,https://www.amazon.com/dp/B09HMXY36F,4
Matte pink lipstick,"Dollup Beauty Liquid Matte Lipstick Color 'Hope' Lip Gloss with No-Smudge, No-Fade, No-Fade Long Lasting, Waterproof Formula. Compare to 16 Brand. Color 'Hope'",3660,https://www.amazon.com/dp/B01LBUSDGA,3
Matte pink lipstick,Clinique Global Glamour Palette,19165,https://www.amazon.com/dp/B001JD7RDK,3
Matte pink lipstick,NICKA K LIPSTICK WITH VITAMIN E GLITTER #930,431,https://www.amazon.com/dp/B004T4XJGK,4
