query,title,docid,link,rel
Matte foundation,SEPHORA COLLECTION Matte Perfection Full Coverage Foundation 19 Warm Linen - matte,6019,https://www.amazon.com/dp/B08BZVY29D,5
Matte foundation,Origins Silk Screen Refining Powder Foundation 24 Vanilla,20375,https://www.amazon.com/dp/B07NYGNND5,3
Matte foundation,Fix Soft Matte Foundation Stick NW25,22305,https://www.amazon.com/dp/B081J531TL,4
Matte foundation,Estee Lauder Double Wear Stay-in-Place Powder Foundation 3N1 Ivory Beige,10654,https://www.amazon.com/dp/B0BB9HNWT7,3
Matte foundation,Miss Rose Makeup Matte Liquid Foundation Moisturizing Concealer 37ml Face Cream (FAIR),2649,https://www.amazon.com/dp/B08YNM5CC4,4
Matte foundation,Miss Rose Makeup Matte Liquid Foundation Moisturizing Concealer 37ml Face Cream (BEIGE 5),23103,https://www.amazon.com/dp/B08YNDYVBF,4
Matte foundation,ESTEE LAUDER DOUBLE WEAR STAY-IN-PLACE MATTE POWDER FOUNDATION 1N0 PORCELAIN,21899,https://www.amazon.com/dp/B08PFCHF1K,4
Matte foundation,Matte Finish Foundation Concentrate-Shade 05,16843,https://www.amazon.com/dp/B07FRJ98LT,4
Matte foundation,Estee Lauder Double Wear Stay-in-Place Matte Powder Foundation 2W1 DAWN,2910,https://www.amazon.com/dp/B0845NP8L7,4
Matte foundation,Mac Cosmetics Studio Fix Matte Foundation Stick - NW13,70,https://www.amazon.com/dp/B082BJYV38,4
Matte foundation,"Clinique SuperPowder Double Face Makeup Powder Compact .35 oz, Matte Bisque 05",19284,https://www.amazon.com/dp/B002HEUODA,2
Matte foundation,double duty beauty shape tape matte foundation- 29N light-medium neutral,1958,https://www.amazon.com/dp/B079PH1X65,4
Matte foundation,Black Opal True Color Perfecting Powder Rich Caramel (3 Pack),23679,https://www.amazon.com/dp/B079F6PDF7,1
Matte foundation,[Hera] Black Cushion SPF34 PA++ 15g+15g(Refill) #13 Ivory,594,https://www.amazon.com/dp/B071CXTMFV,1
Matte foundation,Mary Kay Timewise 3D Matte Foundation Beige C 220,16840,https://www.amazon.com/dp/B07XFQ5ZVZ,4
Matte foundation,"Tarte Cosmetics Amazonian Clay 16-Hour Full Coverage Foundation (Fair Neutral), 1.7 Ounce (Pack of 1)",2203,https://www.amazon.com/dp/B09MMMTR5J,3
Matte foundation,Ulta Matte Mattifying Face Primer,19102,https://www.amazon.com/dp/B07LF22BBH,2
Matte foundation,"Farmasi Vfx Pro Camera Ready Foundation, Porcelain, 30 ml./1 fl.oz. (00)",18827,https://www.amazon.com/dp/B07HKRN1DD,3
Matte foundation,"Farmasi Vfx Pro Camera Ready Foundation, Vanilla is, 30 ml./1 fl.oz. (01)",11419,https://www.amazon.com/dp/B07HKT6NLQ,3
Matte foundation,"Farmasi Vfx Pro Camera Ready Foundation, 30 ml./1 fl.oz. (04)",21138,https://www.amazon.com/dp/B07HKS89LX,3
Matte foundation,"Farmasi Vfx Pro Camera Ready Foundation, 30 ml./1 fl.oz. (02)",6514,https://www.amazon.com/dp/B07HKNJH7B,3
Matte foundation,Bourjois Mineral Matte Mousse Foundation - 85 Miel Subtil,20063,https://www.amazon.com/dp/B00864MJSI,4
Matte foundation,2 x Maybelline Superstay Better Skin Powder Compact Foundation 9g - 010 Ivory,1840,https://www.amazon.com/dp/B01FPGE8F6,3
Matte foundation,"Mirenesse Skin Clone Liquid Silk Foundation SPF 15, Mineral Powder with Natural Matte Finish, Oil Free & Long Lasting High Coverage, Minimizes Pores, Vegan & Toxin Free, 13 Vanilla 1.2oz",9044,https://www.amazon.com/dp/B07D7VCPJV,4
Matte foundation,Callas Remix Two-Way Cake Foundation with case (N02 / Light Beige),20618,https://www.amazon.com/dp/B077HXDFT2,3
Matte foundation,Pro Fix Oil Control Makeup Fixing Spray,3424,https://www.amazon.com/dp/B071ZDGJJW,1
Matte foundation,"Almay Clear Complexion Makeup, Hypoallergenic, Cruelty Free, Fragrance Free, Dermatologist Tested Foundation, 1oz",1970,https://www.amazon.com/dp/B087J6PP9X,3
Matte foundation,Make Up For Ever Pro Finish Multi Use Powder Foundation - # 125 Pink Beige 10g/0.35oz,18400,https://www.amazon.com/dp/B00DUVNQQG,3
Matte foundation,"CCPT Matte Porelesss Liquid Foundation Set with Make up Sponge of Full Coverage,Soomthing BB Cream for All Skins-Ivory white",673,https://www.amazon.com/dp/B08D6GLYVW,5
Matte foundation,Jordana Modern Matte Lipstick 04 Matte Tease,3202,https://www.amazon.com/dp/B00TBXUYLM,2
Matte foundation,"NYX PROFESSIONAL MAKEUP Soft Matte Lip Cream, High-Pigmented Cream Lipstick in Abu Dhabi",10433,https://www.amazon.com/dp/B013QNDCP2,2
Matte foundation,"3 x Max Factor Pan Stik Foundation, 56 Medium, (9g), Brand New",7570,https://www.amazon.com/dp/B00KG8BOFG,3
Matte foundation,True Skin Mineral Loose Powder,7812,https://www.amazon.com/dp/B08YF9M2J4,1
Matte foundation,PRO Matte Foundation,9115,https://www.amazon.com/dp/B07B8Y7QFH,4
