query,title,docid,link,rel
Maxi dress,Womens Polka-dot Dress Halter Neck Boho Floral Print Sleeveless Casual Backless Maxi Dress Novelty Sundress with Belt,459181,https://www.amazon.com/dp/B095JPG922,5
Maxi dress,Esther Cullum Women'S Poly Span Multi Color Chevron Print Maxi Skirt,52799,https://www.amazon.com/dp/B00PV8SUOO,2
Maxi dress,Maxi Dress,463359,https://www.amazon.com/dp/B01G2LTQW8,5
Maxi dress,iHPH7 Women's Nightshirt Short Sleeve Nightgown Ultra-Soft Full Length Sleepwear Dress,212512,https://www.amazon.com/dp/B07JF8LJBG,3
Maxi dress,Floral Printed Casual Dress for Women Summer Crewneck Short Sleeve Swing Pleated Midi Dress Beach Party Sundress Yellow,295376,https://www.amazon.com/dp/B0B39J39QZ,2
Maxi dress,Women Long Dresses with Pockets Sleeveless V-Neck Boho Floral Butterfl Cat Print Tank Dresses Casual Summer Maxi Dress,84957,https://www.amazon.com/dp/B09TP3FX4P,5
Maxi dress,Women's Chevron Maxi Dress Strapless Coral and Mint Size: Large,7952,https://www.amazon.com/dp/B00J8V6CWW,5
Maxi dress,VAIFTILNO Women Summer Floral Print Beach Holiday Dress Casual Round Neck Sleeveless A-line Swing Long Dresses with Pockets,307881,https://www.amazon.com/dp/B091B5R6M2,4
Maxi dress,YUNDAN Summer Casual Loose Dress for Womens V Neck Sleeveless Print Sundress Spaghetti Strap Cami Ladies Maxi Dress,173285,https://www.amazon.com/dp/B096G3H427,5
Maxi dress,Women 2019 Summer Dress Sexy Vintage Elegant Floral Pencil Evening Party Dresses Bodycon Dresses Plus Size,478373,https://www.amazon.com/dp/B07PHZQ236,2
Maxi dress,Akanelvy Women's Summer Boho Spaghetti Straps V Neck Leopard Print Maxi Dress Sleeveless Belted Slit Flowy Long Dress,77978,https://www.amazon.com/dp/B0B23M2WM1,5
Maxi dress,"Long Dresses For Women Spring, Spring Dresses 2023 Fall Clothes Maxi Dress With Pockets Women's Fashion Temperament Elegant Fresh Printed V-Neck 44989 Sleeves Mini Dress Petite (XL, Orange) Generic",354772,https://www.amazon.com/dp/B0BSNKWWZM,4
Maxi dress,Lock and Love WDR1390 Womens Print Contrast Sleeveless Empire Line Maxi Dress XXXL BLUE_NAVY,74037,https://www.amazon.com/dp/B06X6GZZYS,5
Maxi dress,Lock and Love WDR1390 Womens Print Contrast Sleeveless Empire Line Maxi Dress XXXL NAVY_TEAL,53419,https://www.amazon.com/dp/B06VVWDSKH,5
Maxi dress,Lock and Love WDR1390 Womens Print Contrast Sleeveless Empire Line Maxi Dress XXXL IVORY_FUCHSIA,257309,https://www.amazon.com/dp/B06WLLG244,5
Maxi dress,BONSHINY Shirt Dresses for Women Button Down Collared Long Sleeve Maxi Dress with Pockets,299161,https://www.amazon.com/dp/B09BFQW91M,5
Maxi dress,"Beachcoco Women's Maternity Comfortable Printed Maxi Tube Dress (L, Taupe)",186059,https://www.amazon.com/dp/B00VLFKHV0,5
Maxi dress,CinShein Womens Casual Off Shoulder Wrap Maxi Dress Summer Strapless Ruffle Party Beach Long Maxi Dresses with Belt,167878,https://www.amazon.com/dp/B096HG899N,5
Maxi dress,Amy Byer Girls' High Neck Maxi Dress,60606,https://www.amazon.com/dp/B07MKCGYRJ,5
Maxi dress,Sun Dresses Women Colorful Sexy Sleeveless V Neck Summer Casual Maxi Dress Beach Party Long Dress,319508,https://www.amazon.com/dp/B08ZDKQVQT,5
Maxi dress,BONSHINY Shirt Dresses for Women Button Down Collared Long Sleeve Maxi Dress with Pockets,347696,https://www.amazon.com/dp/B09BFS6T65,5
Maxi dress,BONSHINY Shirt Dresses for Women Button Down Collared Long Sleeve Maxi Dress with Pockets,388580,https://www.amazon.com/dp/B09BFRV7HS,5
Maxi dress,GOWOM Fashion Women Long Sleeve Floral Boho Print Long Maxi Dress Ladies Casual Dress,76418,https://www.amazon.com/dp/B07TV43WCB,5
Maxi dress,Women Summer Half Sleeve Cotton Ruffled Vintage Elegant Backless Flowy Swing Long Dress,487576,https://www.amazon.com/dp/B09MT979ML,4
Maxi dress,Women Summer Half Sleeve Cotton Ruffled Vintage Elegant Backless Flowy Swing Long Dress,410157,https://www.amazon.com/dp/B09MT93268,4
Maxi dress,"Beachcoco Women's Maternity Comfortable Printed Maxi Tube Dress (L, Black)",472532,https://www.amazon.com/dp/B00VLFKHVU,5
Maxi dress,aladuo Women's Casual Maxi Dress Deep V Neck Wrap Long Sleeve Swing Chiffon Dress with Pockets,263367,https://www.amazon.com/dp/B08KXZ5M5M,5
Maxi dress,LISTHA Fashion Dress Women's Kaftan Cotton Long Sleeve Plain Casaul Oversized Maxi Long Shirt Dress,388460,https://www.amazon.com/dp/B092MT32PW,5
Maxi dress,BCDshop Women Casual Floral 3/4 Long Sleeve Boho Maxi Dresses with Pockets High Waist,416505,https://www.amazon.com/dp/B07RH9WX1J,5
Maxi dress,BCDshop Women Casual Floral 3/4 Long Sleeve Boho Maxi Dresses with Pockets High Waist,219945,https://www.amazon.com/dp/B07RHCQKFF,5
Maxi dress,Eternatastic Womens V Neck Maxi Long Dress Short Sleeve Floral Print with Belts,304546,https://www.amazon.com/dp/B07FPW6K7B,5
Maxi dress,"prAna Selene Tank Dresses, Golden Paradise, X-Small",446522,https://www.amazon.com/dp/B071WKRJ5K,2
Maxi dress,"Christmas Womens Dress, IEason Women Long Sleeve Christmas Cats Musical Notes Print Vintage Flare Dress Red",482512,https://www.amazon.com/dp/B07K8LKZKN,3
Maxi dress,"MOOKO Halloween Tops for Women Plus Size Long Sleeve Retro Witch Costume T Shirt Vintage Medieval Cosplay Dress Blouses (Purple, 3X-Large)",249832,https://www.amazon.com/dp/B09GVCDM7K,2
Maxi dress,"MOOKO Halloween Tops for Women Plus Size Long Sleeve Retro Witch Costume T Shirt Vintage Medieval Cosplay Dress Blouses (Red, 4X-Large)",453358,https://www.amazon.com/dp/B09GVDLHP1,2
Maxi dress,FQZWONG Plus Size Dress for Women Off Shoulder Elegant Solid Long Maxi Dress,272474,https://www.amazon.com/dp/B09PZ6VTTT,5
Maxi dress,KYLEON Women's Floral Tie Dye Split Off The Shoulder Ruffle Boho Maxi Long Sundress,312671,https://www.amazon.com/dp/B07R1VHBQB,5
Maxi dress,"Women's Summer Ankle Strap Buckle Low Wedge Platform Heel Sandals Fashion Design Pump Shoes (US:9, Brown)",29614,https://www.amazon.com/dp/B07PF7PMP3,1
Maxi dress,"FABIURT Summer Dresses for Women, Summer Dresses for Petite Women Sleeveless Loose Maxi Dress with Pocket Flowy and Spaghetti Strap Summer Beach Sundress",67054,https://www.amazon.com/dp/B095WL6SBY,5
Maxi dress,Gahrchian Women Dress V Neck Button Dress Sleeveless Party Dress Ruffle Beach Dress Office Work Skirts Dress,220385,https://www.amazon.com/dp/B07R98YHQ5,2
Maxi dress,HYSPORT Dresses Women Sleeveless Summer 2022 Striped Printed Casual Women's Dresses Pocket V-Neck Vest Tie Waist Loose Halter Fashion Beach Short Mini Sundress Basic Comfortable Dressy Dress D-green,280483,https://www.amazon.com/dp/B09W961GW5,2
Maxi dress,RACHEL Rachel Roy Women's Plus Size Finn Maxi Dress,85210,https://www.amazon.com/dp/B08F765ZSJ,5
Maxi dress,Womens Dress V Neck Ruffle Hem Halter Sundress Casual Off Shoulder Sleeveless Mini Dress,230685,https://www.amazon.com/dp/B09292CPX2,2
Maxi dress,"Cfanny Women's Sexy Dresses V Neck Sleeveless Tie-Dye Maxi Party Dress,Bluish,XL",167819,https://www.amazon.com/dp/B06XDN7KN9,5
Maxi dress,POTO Women's Maxi Dresses Floral Printed Sundresses Empire Waist Summer Casual Long Boho Dress with Pockets,26848,https://www.amazon.com/dp/B091J2LR29,5
Maxi dress,Lovezesent Women's Casual Loose Striped Short Sleeve Long Maxi Dresses with Pockets,455834,https://www.amazon.com/dp/B07DWB6PP5,5
Maxi dress,"Wispun Women Sexy Deep-V Long Sleeve Lace Maxi Dresses See-through Mullet Dress (L, White)",441849,https://www.amazon.com/dp/B01FX2I0YM,5
Maxi dress,"Women Dress Clearance! Daoroka Plus Size Long Casual Slim Stripe Sport Sundress Short Sleeve Fashion Ankle-Length Dress (4XL, Black)",22353,https://www.amazon.com/dp/B07FCJCBYK,4
Maxi dress,HYSPORT Summer Dresses for Women 2022 Sleeveless Striped Printed Casual Women's Dresses with Pocket V-Neck Vest Tie Waist Loose Halter Fashion Beach Short Mini Sundress Basic Comfortable Dressy Dress,34586,https://www.amazon.com/dp/B0B4BFMG8B,2
Maxi dress,Lovezesent Women's Casual Loose Striped Short Sleeve Long Maxi Dresses with Pockets,90898,https://www.amazon.com/dp/B073P8HMWS,5
