query,title,docid,link,rel
Nail polish,Lurrose 100Pcs Full Cover Fake Toenails Artificial Transparent Nail Tips Nail Art for DIY,2,https://www.amazon.com/dp/B07G9GWFSM,2
Nail polish,"Orly Neon Earth Collection Summer 2018 Nail Lacquer Sands of Time #20978""",40,https://www.amazon.com/dp/B08HR5PDN6,5
Nail polish,False Nails for Kids 24 Pcs Press On Girls Fake Nails Tips Watermenlon Pattern,48,https://www.amazon.com/dp/B07SY84DPP,2
Nail polish,"tweexy Wearable Nail Polish Holder Ring, Fingernail Painting Tool, Manicure and Pedicure Accessories (Bonbon Pink & Spa Green, 2-Pack)",60,https://www.amazon.com/dp/B0777W6C4X,3
Nail polish,Patriotic Paws - Waterslide Nail Decals,62,https://www.amazon.com/dp/B01DTU7VM2,2
Nail polish,WET N WILD Megarocks Glitter Nail Color - Slap the Bass,94,https://www.amazon.com/dp/B00I254ZDS,5
Nail polish,"Hairdresser Grooming Smock for Men and Women, Barber Jackets Apron for Dog Groomers, Salon Hair Stylist, Nail Tech-Grey",145,https://www.amazon.com/dp/B07JB553ZB,1
Nail polish,US Seller Nail Art Comb Set Pink Clear White UV Gel Kit UV Brush Buffer Guides Toe Seperator Glitter Powder Dryer Liquid Tools Nail Tips Glue DIY Kit,200,https://www.amazon.com/dp/B00MC9G5QK,2
Nail polish,"Nail Tape for Nail Art Stickers Decals,3D Self-Adhesive Glow in the Dark Butterfly Star Moon Flame Heart Nail Art Design Nail Art Sticker with 1 PCS Random Striping Tape Lines for Acrylic Nails Manicure(11 in 1)",258,https://www.amazon.com/dp/B0932Y49L4,2
Nail polish,"Manicure Kit By Aoyuele Nail Clippers Set 13 in 1 Grooming Kit Stainless Steel Professional Pedicure Kit,Nail Tools with Travel Case",285,https://www.amazon.com/dp/B08N6Y564F,1
Nail polish,KANGM Leopard Nail Foil Transfer Stickers Nail Art Supplies Flowers Nail Foil Decals Leopard Print Nails Foils Design for Women Manicure Tip Decor Acrylic Nails Charms Decorations (10 Sheets),306,https://www.amazon.com/dp/B08TBQXWSZ,2
Nail polish,TOOGOO(R) 500 Clear Sharp Ending Stiletto Acrylic False Nail Art Tips Salon,317,https://www.amazon.com/dp/B00AR86E82,3
Nail polish,Manicure Kit Nail Clippers Set Professional Pedicure 15 Piece Black Stainless Steel Makeup Grooming Set Cutter Ear Pick Tweezers Scissors Nail file Gift for Man & Women (black/navy_15in1)…,341,https://www.amazon.com/dp/B0862BZYQP,1
Nail polish,Formula X Effects Nail Color ~ Moon Walk,347,https://www.amazon.com/dp/B00Y71DURS,5
Nail polish,WET N WILD COLOR ICON NAIL COLOR #BOW IN MY PRESENCE 33828,363,https://www.amazon.com/dp/B00EHM5JW6,5
Nail polish,Morovan Poly Gel Nail Kit - 12 Poly Nail Extension Gel Kit Professional Poly Nail Gel Kit for Beginners with Everything Glitter Poly Gel Nail Color Packs All In One Gel Extension Nail Kit for Beginners DIY Best Gift Salon Quality,388,https://www.amazon.com/dp/B0B8CX62R5,5
Nail polish,"China Glaze Nail Polish, Funky Beat 1705",397,https://www.amazon.com/dp/B0876GVL7B,5
Nail polish,"Samsung Galaxy Screen Protector,Tempered Glass Screen Protector for Samsung Galaxy",407,https://www.amazon.com/dp/B00JK38XUC,1
Nail polish,"SheModern STICKY METALLIC OPAQUE (Set 1) 10 Stamping Polishes Colors For Nail Art Design Air Dry Collection. More Transfer Time with Tacky Surface for Easy Adhere of Pigment, Glitter, Foil. Work Well with Different Brand Stamping Plates. Pick Up Fine Detail Lines Well. Beginner to Advance Stamping Artists Will Enjoy Using These Sticky Polishes for Quick Easy Fun Art Time (Metallic Set 1)",408,https://www.amazon.com/dp/B0BXXD1FZ4,5
Nail polish,"Dr.'s Remedy Enriched Nail Polish, Loyal Linen, 0.5 Fluid Ounce",414,https://www.amazon.com/dp/B00T3HC5M2,5
Nail polish,"Nail Clippers Set, Nails Trimmer Kit",453,https://www.amazon.com/dp/B07PZ9T867,1
Nail polish,"Aisillac 20Pcs Reusable Cotton Rounds, 3.15inch Makeup Remover Pads Organic Bamboo Cotton Pads 3 Layers Zero Waste Washable Facial Cleansing Cosmetic Removal Wipe Cloth for Face Eye with Laundry Pouch",462,https://www.amazon.com/dp/B088BBVS9D,1
Nail polish,"China Glaze Matte Nail Polish, Cabana Fever 1601",476,https://www.amazon.com/dp/B079788PBL,5
Nail polish,SAVILAND Poly Nails Gel Kit - Color Changing Poly Nails Gel Builder Gel Thermal Nail Polish Nail Extension Nail Enhancement for Starter and Professional Nail Technician,507,https://www.amazon.com/dp/B08197RXTQ,3
Nail polish,"GGYao Manicure Set Nail Clipper Set, Fingernails & Toenails Clippers with Luxurious Leather Case, Stainless Steel Personal Care Tools Nail Scissors - 10 pieces (Blue)",541,https://www.amazon.com/dp/B08M1MDVG7,1
Nail polish,"DND DC 100% Pure Soak Off Gel - All in One - Nail Lacquer and Gel Polish, 0.5 Oz / 15ml each - (287 - Blossom Pink)",570,https://www.amazon.com/dp/B08TTG13XZ,5
Nail polish,"CHROM tooth polish uptight white, instant whitening paint for teeth (LAVISH LAVANDER)",574,https://www.amazon.com/dp/B091MVZW95,1
Nail polish,Detangling Brush for Natural Black Hair Detangler Hair Brush (2 Black),585,https://www.amazon.com/dp/B08YV22F4T,1
Nail polish,Wowlife Silver Tone Floral Fingertip Nail Sharp Claw Jewelry Finger Claw Cosplay Accessories,609,https://www.amazon.com/dp/B0104DLRR2,2
Nail polish,Headphone Earphones Earbuds,614,https://www.amazon.com/dp/B087F9FBCW,1
Nail polish,Nail Clippers for Thick Nails - Heavy Duty Stainless Steel Fingernail Toenail Clipper for Tough Nails，Wide Jaw Extra Large Nail Cutter for Thick Toenails for Seniors Men & Women，Curved Blades,616,https://www.amazon.com/dp/B08P9QCF71,1
Nail polish,"MUSE & Co Dazzling Rhinestone Stick On Nails, White Nails with Glitter Nails and Rhinestones ""French Sparkle"", Luxurious Elegant Nails, Squoval Medium Length Nails Press On Nails for Women and Girls Fake Nail Set 36pcs",633,https://www.amazon.com/dp/B088M5P8FN,2
Nail polish,"Dr.'s Remedy Enriched Nail Polish, Resilient Rose, 0.5 Fluid Ounce",645,https://www.amazon.com/dp/B0BNWSR278,5
Nail polish,drtulz Free Nail Polish Remover - 4 oz,656,https://www.amazon.com/dp/B003USID1C,2
Nail polish,L.A.Color Color Craze Nail Polish - Cocktail - 542,657,https://www.amazon.com/dp/B08DCP88S7,5
Nail polish,"Rhinestone Box, Nail Storage Box, Asixx 20 Grids Transparent Acrylic Nail Art Decorations Storage Box Rhinestone Beads Container Case for Storing Nail Art Decorations, Rhinestone, Beads, etc",679,https://www.amazon.com/dp/B07F6B15NR,2
Nail polish,24 Pcs French Blue Press on Nails Long Coffin Fake Nails Dreamy Galaxy Glitter False Nails with Light Blue Point Drill Gorgeous Designs Full Cover Acrylic Nails for Women Girls (Galaxy),691,https://www.amazon.com/dp/B0B6G5L6T6,3
Nail polish,"ForPro Pre-Cut Mini Buffing Block, Orange, 100/180 Grit, Double-Sided Manicure and Pedicure Nail Buffer, 1.25” L x .875” W x .5” H, 126-Count",696,https://www.amazon.com/dp/B01MQPWDMZ,1
Nail polish,Omega Labs USA-Brush on Nail Glue by Omgea Labs,705,https://www.amazon.com/dp/B01LWMH7G2,3
Nail polish,Piggy Polish Pink-ing of You Nail Lacquer,709,https://www.amazon.com/dp/B00GQHBXV6,5
Nail polish,VRENMOL Poly Nails Gel Nails Builder Enhancement Glitter Diamond Style Mix Extension UV Gel Nail Polish Easy Trendy Beginner DIY Nail Art for Lady 6PCS-15g…,732,https://www.amazon.com/dp/B086YPYH1N,5
Nail polish,"Nail Art Brushes,Acrylic Nail Brush,Nail Art Brush,Acrylic Brush Embossed Sable Nail Tools for Nail Salon Home Use,Nail Tools (#20)",762,https://www.amazon.com/dp/B099ZJ8T5Y,2
Nail polish,Sinful Colors Finger Nail Polish Color Lacquer Set 16-Piece Collection,765,https://www.amazon.com/dp/B01LK627I0,5
Nail polish,"ROSALIND 6pcs Gel Nail Polish,Nail Art Decoration Soak Off Nail Gel Polish DIY at Home",796,https://www.amazon.com/dp/B08T5PXGNG,5
Nail polish,15 Pcs Manicure Set Nail Clippers Set Stainless Steel Pedicure Kit Professional Grooming Kits Nail Care Tools Nail File with Luxurious Travel Case,800,https://www.amazon.com/dp/B09DPBRJ1C,1
Nail polish,"Whats Up Nails - French Tip Vinyl Tape Stencils for Nail Art Design (2 Sheets, 140 Strips Total)",817,https://www.amazon.com/dp/B01K8QC0PI,2
Nail polish,Waterproof Mascara with 180 Degree Flexible Wand Angle Changeable,834,https://www.amazon.com/dp/B00CS3T5YO,1
Nail polish,Maccibelle Professional Nail Mini Buffer Block for Acrylic Dip and Natural Nails 80/100 Grit 2 Sided (150 Count) (Pink (150 Count)),839,https://www.amazon.com/dp/B08Z4F1SK8,2
Nail polish,One-Handed Nail Care Deluxe One-Handed Nail Care,850,https://www.amazon.com/dp/B0001UFEXW,3
Nail polish,"Nail Poish, Color Changing Gel Nail Polish Soak off LED UV Nail Art Varnish 12PCS Belen",861,https://www.amazon.com/dp/B06XBL3WD3,5
