query,title,docid,link,rel
Organic lip balm,"Dr. Bronners Organic Moisture Lip Balm & Magic Massage Balm (Peppermint Lip Balm, 6 Pack)",18642,https://www.amazon.com/dp/B07MWHL182,3
Organic lip balm,"Dr. Bronners Organic Moisture Lip Balm & Magic Massage Balm (Lemon Lime Lip Balm, 2 Pack)",20801,https://www.amazon.com/dp/B07MWH7PTK,3
Organic lip balm,BELLA B Light Orange Lip Balm - Organic Lip Balm - All Natural Lip Balm - Hypoallergenic Lip Balm - Lanolin-Free Lip Balm - Cocoa Butter Lip Therapy - All Natural Organic Lip Balm - Orange Lip Balm,14261,https://www.amazon.com/dp/B07KKN2G3X,5
Organic lip balm,"Dr. Bronners Organic Moisture Lip Balm & Magic Massage Balm (Orange Ginger Lip Balm, 2 Pack)",2399,https://www.amazon.com/dp/B07MWFSW38,3
Organic lip balm,Organic Citrus Lip Balm with Shea Butter and Vitamin E - 4 Pack,11815,https://www.amazon.com/dp/B07PM83Q9P,3
Organic lip balm,Savannah Bee Company Beeswax Lip Balm 0.15 Oz Pack Of 2! 2 Flavors Key Lime and Tupelo Honey! Natural and Organic Lip Balm! Choose Your Flavored Lip Balm! (Key Lime & Tupelo Honey),3225,https://www.amazon.com/dp/B08XYN2KGN,5
Organic lip balm,Lavera Repair Lip Balm 4.5g (Pack of 2) (2),15214,https://www.amazon.com/dp/B07VGB53VC,3
Organic lip balm,Nourishing Lip Balm 0.5 oz by Diptyque,5170,https://www.amazon.com/dp/B01KOV8UF6,3
Organic lip balm,"Walgreens Chap-Aid Lip Balm SPF 4, Original, .15 oz",22003,https://www.amazon.com/dp/B009GGVS5A,3
Organic lip balm,"Eos Lip Balm Stick, Sweet Mint (Pack of 4)",13725,https://www.amazon.com/dp/B081J485KQ,3
Organic lip balm,Marius Fabre Organic Lip Balm 7ml 0.25 oz - 2 Pack,12677,https://www.amazon.com/dp/B07XYHZ948,5
Organic lip balm,Phi Naturals Pure Smile Snail Lip Treatment Balm Honey,6597,https://www.amazon.com/dp/B015CAKVTC,2
Organic lip balm,"Duke Cannon Supply Co. - Tactical Lip Protectant Balm, Fresh Mint (0.56 oz) Superior Performance Lip Protection Balm for Hard Working Men - Fresh Mint",6816,https://www.amazon.com/dp/B01BYWYNUA,2
Organic lip balm,"EARTH MAMA ANGEL BABY Lavender Meringue Lip Balm, 0.15 OZ",10297,https://www.amazon.com/dp/B00BRXPNFG,3
Organic lip balm,YNM You Need Me Rainbow Honey Lip Balm,19190,https://www.amazon.com/dp/B0849Q7YRY,3
Organic lip balm,"100% Natural lip balm, packed in real beach shells, CERTIFIED ORGANIC, moisturizing lip balm, great accessory, great gift, handmade in Australia, Lip Balm Sea Shell Compact, Fan Orange)",23009,https://www.amazon.com/dp/B00SLG56SQ,3
Organic lip balm,Medicated Lip Balm 4 sticks- Sooths Protects and Moisturizes (.15 oz each),15780,https://www.amazon.com/dp/B0759Y32T9,3
Organic lip balm,Candylipz Red Single Lobe,5837,https://www.amazon.com/dp/B01JJ62KWQ,1
Organic lip balm,Savex Coconut Lip Balm Sticks 24ctx0.15oz,12147,https://www.amazon.com/dp/B0764SC1G6,3
Organic lip balm,Savannah Bee Lip Balm - Silky Smooth Natural Lip Balm (Wild Blackberry 3 pack),16483,https://www.amazon.com/dp/B01IM7LGSW,3
Organic lip balm,Natio Lip Balm SPF 30+,5707,https://www.amazon.com/dp/B004WI5DMG,3
Organic lip balm,LOL Surprise Flavored Lip Balm 3 Styles (Lil Diva),17289,https://www.amazon.com/dp/B07GFCMFQV,3
Organic lip balm,Peach Slices Jelly Bounce Lip Balm - Hydrate + Nourish (Peach),21460,https://www.amazon.com/dp/B07ZL6QQWC,3
Organic lip balm,"Oralabs Revo Lip Balm , Watermelon flavor with Vitamin E and Aloe, Push Ups Design",6853,https://www.amazon.com/dp/B01GKJJY06,3
Organic lip balm,Apple Tini SPF 30 Lip and Tattoo Balm by Fiesta Sun,2300,https://www.amazon.com/dp/B000GJ3EUS,2
Organic lip balm,Finders Keep Hers Mother Earth Key Finder with Lip Balm Keychain,60414,https://www.amazon.com/dp/B00DNEAZ7I,3
Organic lip balm,"Daft 'Orginal' Man Comb, Folding Metal Pocket Comb for Men, Bearded Man Comb with Handle, The Ultimate Tool for Your Hair, Beard and Beer, (Brown)",1757,https://www.amazon.com/dp/B00TTS7YBC,1
Organic lip balm,BACON Bandages & BACON Lip Balm Set - Best Gift for Bacon Lovers!,20228,https://www.amazon.com/dp/B01ACDJKHS,3
Organic lip balm,Sleek MakeUP Pout Polish Tinted Lip Balm Electro Peach 10g,13801,https://www.amazon.com/dp/B00AZX13YO,3
Organic lip balm,Lip Smacker Day of The Dead Flip Balm - Passionfruit 0.26 oz,20498,https://www.amazon.com/dp/B07Y5PMC3G,3
Organic lip balm,"Chap-et Lip Balm, Assorted Flavors 48 ea by GLAXO SMITHKLINE CONSUMER",21673,https://www.amazon.com/dp/B00N6F8T1S,3
Organic lip balm,JORDANA Sweet n' Smooth Nourishing Lip Balm - Tasty Watermelon,6417,https://www.amazon.com/dp/B00CLKTXCI,3
Organic lip balm,Jordana Sweet n' Smooth Nourishing Lip Balm 07 Vanilla Cake,8158,https://www.amazon.com/dp/B00CLKTZEY,3
Organic lip balm,Peeps 3 Flavored Lip Balm Gift Tin,4787,https://www.amazon.com/dp/B08CMCSM68,3
Organic lip balm,"VT X BTS GLORIA LIP COLOR BALM 0.12 fl.oz. / 3.5g, tinted lip balm, (02 ATTRACTION)",19763,https://www.amazon.com/dp/B07J2LWVR6,3
