query,title,docid,link,rel
Pink purse crossbody,"Kynlee, Crossbody Handbag and Clutch for Women (Black, Pink, Marble). Multi-Color Design Converts from a Womens Crossbody Bag to a Womens Crossbody Clutch to a Womens Crossbody Tote in a Snap.",199200,https://www.amazon.com/dp/B01NCSRQUM,4
Pink purse crossbody,"Kate Spade New York Newbury Lane Sally Crossbody,Rose Gold",412999,https://www.amazon.com/dp/B014LNC1IA,3
Pink purse crossbody,Coach Signature C & Enameled Heart Keyring Purse Charm Style 92035,78749,https://www.amazon.com/dp/B006Y22S76,1
Pink purse crossbody,"Kate Spade Women's Genuine Leather Handbags/Shoulder Bags, Carter Street",297909,https://www.amazon.com/dp/B07TN3L935,2
Pink purse crossbody,ZOOEYBEAR Cute Boba Milk Tea Shoulder/Crossbody Bag,85611,https://www.amazon.com/dp/B093KV48ST,3
Pink purse crossbody,LeSportsac Tsumori Chisato Blue Ribbon Classic Hobo Crossbody Bag + Cosmetic Bag,46764,https://www.amazon.com/dp/B07F8ZM5LH,4
Pink purse crossbody,"Crystal Rhinestone Wide Purse Strap Replacement Crossbody Shoulder Straps for Handbags Silver, White, 48inch",139966,https://www.amazon.com/dp/B0B2C3PZ91,1
Pink purse crossbody,Mona B USA Stamped Small Crossbody Purse: 6W X 8H,436241,https://www.amazon.com/dp/B00QKWB1MS,2
Pink purse crossbody,"Cure De Bolso 9 inch Women Leather Cross-body Shoulder Bag Satchel ladies Purse Genuine Multi Pocket Saddle Vintage Handmade Travel, Brown",315261,https://www.amazon.com/dp/B09ZSMGT5M,2
Pink purse crossbody,Nick Jr. Dora-the- Explorer Coin Purse - Pink,46880,https://www.amazon.com/dp/B006F3DR6A,2
Pink purse crossbody,"AISPARKY Small Crossbody Purse,PU Leather Small Purse for Womens and Girls With Pendant With Strap/Gold Chain Strap",43359,https://www.amazon.com/dp/B09PZPWQW2,5
Pink purse crossbody,"YUESUO Stadium Approved Clear Crossbody Bag,Clear Crossbody Purse,Transparent Messenger Bag for Concerts and Sports Events, Black",419718,https://www.amazon.com/dp/B09HTDYYVM,2
Pink purse crossbody,Batman Sidekick Cross Body Bag - ST,337467,https://www.amazon.com/dp/B076G76GGG,2
