query,title,docid,link,rel
Platform heels,Breckelle's Women Leatherette Open Toe Woven Espadrille Slipper Sandal CC76 - Grapefruit (Size: 6.0),478421,https://www.amazon.com/dp/B00UYDI0T6,3
Platform heels,Crystal Queen Women Peep Toe Platform Pump Shoes Glitter High Heels Thin Heels Peep Toe Sexy Paillette Heels Pumps Shoes,87034,https://www.amazon.com/dp/B075KSZSJK,2
Platform heels,DbDk Enora-1 White Camel Perforated Peep Toe Booties Faux Leather,301150,https://www.amazon.com/dp/B00JOZV4DO,4
Platform heels,Lipstick heels,485265,https://www.amazon.com/dp/B0099RJSR6,4
Platform heels,Qupid Lace Up Buckle Wedge Heels Black,269428,https://www.amazon.com/dp/B08HVY8VX9,3
Platform heels,"Yoki WYOMING Hot Fashion Round Toe Style Mid Calf Comfort Boots, Black, 10 M US",198686,https://www.amazon.com/dp/B00GYPLNWE,2
Platform heels,"Sandals for Women Platform, Cute Pearls Comfy Flatform Sandal Shoes Summer Beach Travel Roman Shoes",455333,https://www.amazon.com/dp/B0918JS18H,3
Platform heels,Wild Rose Sivon01 Heels Black,29452,https://www.amazon.com/dp/B004IFIYKG,3
Platform heels,Boomboom Unique Style Men Casual High Top Oxfords Sneakers Shoes,142571,https://www.amazon.com/dp/B07HY1B3WF,1
Platform heels,Boomboom Unique Style Men Casual High Top Oxfords Sneakers Shoes,195330,https://www.amazon.com/dp/B07HXY4632,1
Platform heels,Sandals for Women Platform Gibobby Women's 2019 Comfy Platform Sandal Shoes Summer Beach Travel Fashion Slipper Flip Flops,38583,https://www.amazon.com/dp/B07SZ288LH,3
Platform heels,"V-Luxury Womens 26-LUCY22 Almond Toe Mary Jane High Heel Pumps, Green Faux Suede",182053,https://www.amazon.com/dp/B00CMZOIT0,3
Platform heels,Boomboom Fashionable Men Breathable Sport Casual Pedals Shoes,122913,https://www.amazon.com/dp/B07GLFXPBQ,1
Platform heels,"AODONG Sandals for Women,Rhinestone Flat Sandals Comfortable Cute Jeweled Sandal Casual Thong Sandalias Sandles Shoes",271689,https://www.amazon.com/dp/B08VR9N2HP,2
Platform heels,"Sandals for Women Flat,Womens Slip On Flip Flops Bow Tie Strappy Slides Beach Thong Slipper Summer Gladiator Flat Sandals",233638,https://www.amazon.com/dp/B087TZBTXX,4
Platform heels,City Classified Strappy Buckled Womens Heels MVE Shoes,477114,https://www.amazon.com/dp/B06XDFFKDS,3
Platform heels,Womens Khloe,235042,https://www.amazon.com/dp/B00EZSYA7C,4
Platform heels,Womens Khloe,340141,https://www.amazon.com/dp/B00EZSYAN6,4
Platform heels,Boomboom Women Lace-up Ankle High Leather Boots Casual Shoes,305799,https://www.amazon.com/dp/B07GB2GGKP,2
Platform heels,"Sandals for Women,Dizadec Fashion Comfy Platform Sandal Comfortable Bohemia Beaded Sandals Summer Beach Travel Flip Flops",452547,https://www.amazon.com/dp/B085ML4V82,3
Platform heels,"Sandals for Women Casual Summer,Women's 2020 Comfy Platform Sandal Shoes Summer Beach Travel Fashion Slipper Flip Flops",213475,https://www.amazon.com/dp/B08SKHDGFH,3
Platform heels,Boomboom Unique Style Men Casual High Top Oxfords Sneakers Shoes,174976,https://www.amazon.com/dp/B07HY37XVL,1
Platform heels,Chinese Laundry Women's Milla Espadrille Wedge Sandal,55015,https://www.amazon.com/dp/B07KR2CYL1,4
Platform heels,Vedolay Womens Slippers Moccasin Gladiator Sandals for Womens 2021 Summer Beach Shoes Casual Camouflage Flip-Flops Flats Sandals Zipper Shoes,183725,https://www.amazon.com/dp/B08ZJMQZXC,2
Platform heels,Boomboom Lovely Heart Printed Home Floor Soft Women Girls Indoor Slippers,98531,https://www.amazon.com/dp/B07JGRJRK7,2
Platform heels,Disney Girls Descendants Platform Sandals (11/12),88752,https://www.amazon.com/dp/B01C262OZI,4
Platform heels,"Sandals for Women Flat,2020 Slip On Flip Flops Bow Tie Slides Beach Thong Slipper Summer Gladiator Flat Sandals",361334,https://www.amazon.com/dp/B087TZKQ47,4
Platform heels,Gordy Platform Sandal,342026,https://www.amazon.com/dp/B08VGVG38L,3
Platform heels,"Qupid Women's TRENCH26 Almond Toe Double Mary Jane Straps Platform High Heel Stiletto Pump Shoes, Lemon Yellow Green Faux Suede, 6 B (M) US",192486,https://www.amazon.com/dp/B00CMZOCJG,4
Platform heels,Qupid Women's TRENCH26 Almond Toe Double Mary Jane Straps Platform High Heel Stiletto Pump Shoe,296029,https://www.amazon.com/dp/B00CMZOJKS,4
Platform heels,Tribeca Women's Out Law Thong,246390,https://www.amazon.com/dp/B000OZZJY8,2
Platform heels,"Women Shoes,Boomboom Soft Lady Flats Sandal Leather Ankle Casual Slipper Single Shoes",110002,https://www.amazon.com/dp/B07TGSXJFV,2
Platform heels,"Women Shoes,Boomboom Soft Lady Flats Sandal Leather Ankle Casual Slipper Single Shoes",147990,https://www.amazon.com/dp/B07TGV3YN3,2
Platform heels,Nature Breeze Women's Rebecca-01 Open Toe Platform,113080,https://www.amazon.com/dp/B00BW5L6JG,4
Platform heels,Colorful Sandals Gibobby Women's 2020 New Fshion Comfy Platform Sandal Shoes Summer Beach Travel Shoes Fashion Sandal,235850,https://www.amazon.com/dp/B0831LN8LN,3
Platform heels,"Sandals for Women Platform, Cute Pearls Comfy Flatform Sandal Shoes Summer Beach Travel Roman Shoes",407407,https://www.amazon.com/dp/B0918KFRW4,2
Platform heels,"Eduavar Platform Sandals For Women Black Platform Strappy Rhinestone Sandals for Women, Comfortable Flat Sandals, Womens Slip On Flatform Sandals",443298,https://www.amazon.com/dp/B08Z47GC9M,3
Platform heels,"KEEN Unisex-Kid's PHOEBE Sandal, NAVY TIE DYE, 12 M US Little Kid",47910,https://www.amazon.com/dp/B06Y4K1439,2
Platform heels,"KEEN Unisex-Kid's PHOEBE Sandal, NAVY TIE DYE, 10 M US Little Kid",96744,https://www.amazon.com/dp/B06Y4HQF7Q,2
Platform heels,ENVY Women's E-Penny,98471,https://www.amazon.com/dp/B00469ICZQ,4
Platform heels,"KEEN Unisex-Kid's PHOEBE Sandal, SILVER, 12 M US Little Kid",131085,https://www.amazon.com/dp/B06Y4DXVLP,1
Platform heels,"KEEN Unisex-Kid's Phoebe Sandal, SILVER, 4 M US Big Kid",231318,https://www.amazon.com/dp/B06Y46HPLR,1
Platform heels,"KEEN Unisex-Kid's PHOEBE Sandal, SILVER, 8 M US Little Kid",331727,https://www.amazon.com/dp/B06Y4H4H6P,1
Platform heels,"KEEN Unisex-Kid's PHOEBE Sandal, NAVY TIE DYE, 4 M US Big Kid",336285,https://www.amazon.com/dp/B06Y4HSM43,1
Platform heels,"KEEN Unisex-Kid's PHOEBE Sandal, NAVY TIE DYE, 11 M US Little Kid",354059,https://www.amazon.com/dp/B06Y4HDBGF,1
Platform heels,"KEEN Unisex-Kid's Phoebe Sandal, NAVY TIE DYE, 5 M US Big Kid",372060,https://www.amazon.com/dp/B06Y4JJW2M,1
Platform heels,"KEEN Unisex-Kid's Phoebe Sandal, SILVER, 9 M US Little Kid",425303,https://www.amazon.com/dp/B06Y4KPVQ7,1
Platform heels,Ellie Shoes Stiletto Heel Clear Mule with Platform,121518,https://www.amazon.com/dp/B000B2K2GY,4
Platform heels,Jezebel- 8.0 B - Black Patent,310205,https://www.amazon.com/dp/B004GAO3I0,4
Platform heels,Caparros Women's Joelle Platform,369882,https://www.amazon.com/dp/B002QV0JPW,2
