query,title,docid,link,rel
Plumping lip gloss,"OxygenCeuticals 360 Eye Perfection Duo, Advanced Anti-Aging Eye Treatment Set, 2 Products, Eye Cream 35ml/18 oz & Eye Gel Serum 15ml/0.5 oz, Visibly Reduce Under-Eye Bags, Puffiness, Wrinkles, Dark Circles, Fine Lines & Crow's Feet, for Women & Men",92,https://www.amazon.com/dp/B0777QHNLR,1
Plumping lip gloss,Bite Beauty Yaysayer Plumping Lip Gloss Cider Donut - shimmering golden cocoa,263,https://www.amazon.com/dp/B08K5JMSY2,5
Plumping lip gloss,BECCA Cosmetics Hydra-Light Plumping Lip Balm ~ Mist,457,https://www.amazon.com/dp/B096TFKTJZ,5
Plumping lip gloss,"LUMINESS Silk Airbrush Spray Foundation - Full Coverage Foundation - Formula Hydrates & Moisturizes with Hyaluronic Acid, Aloe Vera & Hydrolyzed Silk (Shade - Tan)",600,https://www.amazon.com/dp/B0BGS9F2FM,1
Plumping lip gloss,Chantecaille Contour Fill,722,https://www.amazon.com/dp/B002CT9D3C,1
Plumping lip gloss,"Youngblood Lipstick, Spicy, 4 Gram",879,https://www.amazon.com/dp/B004C7SQL2,3
Plumping lip gloss,Heart Shaped - Lip Plumping Enhancer Tool Device - Random Color,1090,https://www.amazon.com/dp/B01MT0675R,5
Plumping lip gloss,Nouba Plumping Gloss Stick 409,1271,https://www.amazon.com/dp/B003CIYY5E,5
Plumping lip gloss,Kungfu Apothecary - Facial Cupping Set,1685,https://www.amazon.com/dp/B085BW6S6X,1
Plumping lip gloss,Soap & Glory Super-Colour Sexy Mother Pucker Lip Plumping Gloss Baby Doll,2058,https://www.amazon.com/dp/B0079HOHD8,5
Plumping lip gloss,Too Faced Lip Injection Extreme Lip Plumper STRAWBERRY KISS,2107,https://www.amazon.com/dp/B0842XJLVZ,5
Plumping lip gloss,"Advanced Clinicals Hemp Seed Oil for Body Moisturizing, Non-Greasy Hemp Oil for Sensitive, Oily, and Dry Skin Nourishing, Hydrating, Firming Premium Hemp Seed Oil for Brighter, Tighter Skin",3281,https://www.amazon.com/dp/B07RS4Y5CS,1
Plumping lip gloss,Red Rock Organics Rosacea and Sensitive Skin Serum | Organic & Nano Nutrients- Firms and Tightens-Reduces Puffy Eyes & Soothes Skin with Manuka Honey and Hyaluronic Acid (.5 oz),3374,https://www.amazon.com/dp/B00LR1DBPW,1
Plumping lip gloss,T&G Plumping Whip Size 2.82z Tony & Guy Volumizing Plumping Whip 2.82z,3536,https://www.amazon.com/dp/B01BW4ZU16,4
Plumping lip gloss,"Tata Harper Refreshing Cleanser, Gentle Chemical Exfoliator for Sensitive Skin, 100% Natural, Made Fresh in Vermont, 125ml",3557,https://www.amazon.com/dp/B008P06GSC,1
Plumping lip gloss,Pantene Pro-V Sheer Volume Conditioner 32 fl oz with Pump (Product Size May Vary),4872,https://www.amazon.com/dp/B00HZ6SOY6,1
Plumping lip gloss,Juice Organics Lip Amplifier - 0.5 oz.,4949,https://www.amazon.com/dp/B001FT5DMU,4
Plumping lip gloss,"Glycolic Acid Exfoliating Pads, 30% Ultra Pure Glycolic Acid Face Peels, Glycolic Cleansing Pads with VitaminC, B5 and , Exfoliates Reduces Fine Lines and Wrinkles, Treats Dark Spots, Scars, 50 Pads",4976,https://www.amazon.com/dp/B09H2CX68H,1
Plumping lip gloss,Too Faced Melted Limited Edition Gingerbread Man Liquified Matte 0.23 FL OZ,5195,https://www.amazon.com/dp/B075WR58WS,3
Plumping lip gloss,Pantene Pro-V Repair & Protect 2 In 1 Shampoo & Conditioner 25.4 Fl Oz (packaging may vary),5608,https://www.amazon.com/dp/B00AZIZYS0,1
Plumping lip gloss,Too Faced Melted Matte Liquified Long Wear Lipstick (Granny Panties),5705,https://www.amazon.com/dp/B072BBHTX2,3
Plumping lip gloss,Candylipz Red Single Lobe,5837,https://www.amazon.com/dp/B01JJ62KWQ,3
Plumping lip gloss,"180 Cosmetics Professional Breast Firming Shaping & Lifting Cream, Clinically Approved, Can be Used After Breastfeeding or Diet or Surgical Intervention or Other Breast Enlargement, 100 ml / 3.3 Oz",6409,https://www.amazon.com/dp/B0051OSCZ0,1
Plumping lip gloss,"Jade Roller and Gua Sha Set - Biggest Size - 8 inch - Anti Aging Jade Roller for Face - Real Jade Stone Face Massager for Lift, Slim, Depuff, Boost Collagen",6493,https://www.amazon.com/dp/B07D4NYJMP,1
Plumping lip gloss,Lip Plumper - Cherry Soft Silicone Lip Enhancer Plumper Pump Device Natural Fuller Thicker and Quick Lip Enhancement Plumping Tool (2 Shapes Included),6830,https://www.amazon.com/dp/B089B1WKGG,5
Plumping lip gloss,Instant Lip Plumper by Nutrafeel | Natural Lips Booster | Expands Curve & Volume | Stimulates Collagen & Hyaluronic Acid | Delivers Long Lasting Succulence – Your Partner will Love It,7383,https://www.amazon.com/dp/B075KHNFMZ,5
Plumping lip gloss,Thrive Causemetics Defying Gravity Transforming Moisturizer 1.7oz 50/mL Unboxed,8414,https://www.amazon.com/dp/B09GXSMDVR,1
Plumping lip gloss,Hyaluronic Acid Serum with Vitamin C : 100 % pure 1 oz Beauty Anti Aging Skin Care Cream and Moisturizer Treatment for Your Face. Quality Topical Facial Solution with Vitamin C & E for Women and for Men.,9188,https://www.amazon.com/dp/B002OSEMYG,1
