query,title,docid,link,rel
Ripped jeans men,Judy Blue Ladies Destructed Patch Skinny Jean with Fraying (Regular & Plus Sizes) (11/30),175466,https://www.amazon.com/dp/B073K2NQ2J,1
Ripped jeans men,Men Slim Fit Ripped Destroyed Jeans Teen Boys Vintage Stylish Washed Stretch Skinny Biker Denim Pencil Pants,171504,https://www.amazon.com/dp/B07MCKT3NT,4
Ripped jeans men,ANJUNIE mens Running Shorts,215982,https://www.amazon.com/dp/B07MDQN1BL,1
Ripped jeans men,POTILI Women's Boyfriend Jeans Stretchy Ripped High Waisted Casual Loose Fit Distressed Denim Pants for Women,151727,https://www.amazon.com/dp/B0989T52DZ,1
Ripped jeans men,POTILI Women's Boyfriend Jeans Stretchy Ripped High Waisted Casual Loose Fit Distressed Denim Pants for Women,32491,https://www.amazon.com/dp/B0989V8HFQ,1
Ripped jeans men,"Men's Officially Licensed Old Bay Ripped Crab T-Shirt (Large, Heather Sapphire)",435165,https://www.amazon.com/dp/B079ZKZ24Z,1
Ripped jeans men,"Men's Officially Licensed Old Bay Ripped Crab T-Shirt (X-Large, Heather Sapphire)",35539,https://www.amazon.com/dp/B079ZGX456,1
Ripped jeans men,"Men's Officially Licensed Old Bay Ripped Crab T-Shirt (XX-Large, Heather Sapphire)",492641,https://www.amazon.com/dp/B079ZK12GK,1
Ripped jeans men,FlekmanArt Mens Yoga Capri Pants Baggy Elastic Waist Drawstring Linen 3/4 Harem Gym Shorts,472297,https://www.amazon.com/dp/B098BFH7XP,1
Ripped jeans men,Hemlock Women Drawstring Wide Leg Pants American Flag Print Lounge Pants Star Stripes Print Long Pants Soft Pajama Trousers,479448,https://www.amazon.com/dp/B08BJM1NYW,1
Ripped jeans men,POTO Women's Jean Shorts Frayed Hem Ripped Distressed Denim Jeans High Waist Casual Summer Hot Short Pants Trousers,398294,https://www.amazon.com/dp/B08X4TKSL3,1
Ripped jeans men,"MdouLy Jean Bermuda Shorts for Women Juniors High Waisted Stretchy Frayed Raw Hem Tassels Denim Midi Pants (Blue, Medium, m)",294422,https://www.amazon.com/dp/B0948RRKY6,1
Ripped jeans men,"MdouLy Jean Bermuda Shorts for Women Juniors High Waisted Stretchy Frayed Raw Hem Tassels Denim Midi Pants (Blue, Large, l)",142743,https://www.amazon.com/dp/B0948S6Z1W,1
Ripped jeans men,Toddler Baby Girl Floral Long Sleeve Ruffle Tops Ripped Denim Pants Jeans Set 2Pcs Flower Summer Fall Clothes Outfits,125270,https://www.amazon.com/dp/B07XM755M4,1
Ripped jeans men,"Alaby Boyfriend Baggy Jeans for Women Ripped High Waisted Pants Straight Leg Distressed Stretch Loose Slim Black Denim Pants (Black, Medium)",467983,https://www.amazon.com/dp/B09BVXPMP8,1
Ripped jeans men,Versace Jeans Couture Men Slides blu 9 US,72215,https://www.amazon.com/dp/B08Y4WMV9F,1
Ripped jeans men,"SUKIRIYA Women's Rhinestone Tights Fishnet Pantyhose Hight Stockings (4P-set), One Size",157002,https://www.amazon.com/dp/B09872HJDT,1
Ripped jeans men,Fragarn Workout Leggings for Women High Waisted Yoga Pant Anti Cellulite Legging,190420,https://www.amazon.com/dp/B08X4RSBK3,1
Ripped jeans men,ANJUNIE mens Running Shorts,305401,https://www.amazon.com/dp/B07M6DK2DC,2
Ripped jeans men,"FANCYNA Women's Ripped Flare Jeans Elastic High Waist Raw Hem Bell Bottom Denim Pants for Woman (White, Small)",358524,https://www.amazon.com/dp/B08NTBP419,1
Ripped jeans men,Patriotic Shirts for Men American Flag T-Shirt Funny Skull Graphic Summer Casual Short Sleeve Tops 4th of July Gift,35116,https://www.amazon.com/dp/B09712PGKQ,1
Ripped jeans men,"MIVAMIYA Bermuda Shorts Women Cotton Linen Elastic Waist Shorts Lounge Short Pants Plus Size Hot Pants with Pockets White, Large",124553,https://www.amazon.com/dp/B097C84PT4,1
Ripped jeans men,Jieson Overalls Jeans Shorts for Women High Waist Loose Fit Denim Shorts Sunflower Print Jumpsuit,304031,https://www.amazon.com/dp/B0913BK1Q6,1
Ripped jeans men,Jieson Overalls Jeans Shorts for Women High Waist Loose Fit Denim Shorts Sunflower Print Jumpsuit,358900,https://www.amazon.com/dp/B0913F6QXQ,1
Ripped jeans men,Jieson Overalls Jeans Shorts for Women High Waist Loose Fit Denim Shorts Sunflower Print Jumpsuit,205961,https://www.amazon.com/dp/B0913DQWBL,1
Ripped jeans men,Leif Nelson Men's Pullover Knitted Pullover Hoodie Pulli Basic Crew Neck Sweatshirt Longsleeve Sweater Slim Fit LN1755,406805,https://www.amazon.com/dp/B07BYS21BK,1
Ripped jeans men,Leif Nelson Men's Pullover Knitted Pullover Hoodie Pulli Basic Crew Neck Sweatshirt Longsleeve Sweater Slim Fit LN1755,28763,https://www.amazon.com/dp/B07HJCN51Z,1
Ripped jeans men,LEIF NELSON Men's Sweater Knitted Pullover Hoodie Basic Crew Neck Sweatshirt Longsleeve Long Sleeve Sweater LN1435,31753,https://www.amazon.com/dp/B075TB6R5X,1
Ripped jeans men,Weatherproof mens Straight,309915,https://www.amazon.com/dp/B091ZVLXSC,3
Ripped jeans men,Cinch Men's Jeans Bronze Label Slim Fit Midstone 34W x 36L,341358,https://www.amazon.com/dp/B007E8QFUA,3
Ripped jeans men,Nava Sexy Black Nikita Punk Rock Studded Long Ripped Arm Warmer Fingerless Knit Dress Costume Gloves,9572,https://www.amazon.com/dp/B00JDDFAGE,1
Ripped jeans men,sunmoot Plus Size Women Black Embroidered Casual Bandage Punk Lace Up Bell Bottom Wide Leg Jeans,110491,https://www.amazon.com/dp/B07KP9QYL7,1
Ripped jeans men,KIERA NIXON Boy's White Ripped Destroyed Skinny Denim Jeans Stretch Tapered Leg Distressed Slim Fit Pants 12,40436,https://www.amazon.com/dp/B07VQ45RRJ,4
Ripped jeans men,"8 Sets Pant Buttons to Size Down, No Sew Instant Jean Button Replacement Pins, Button to Extend or Reduce Denim Skirt Waist, Reusable Metal Easy Clip Snap Tack in 4 Design",289099,https://www.amazon.com/dp/B075HS5247,1
Ripped jeans men,"Yeyamei Pajama Pants for Women Lightweight,Women's Comfy Casual Striped Print Sweatpants Drawstring Palazzo Lounge Pants",248299,https://www.amazon.com/dp/B086HHF1WM,1
Ripped jeans men,ANJUNIE Men's Casual Slim Sports Pants Calf-Length Linen Trousers Baggy Harem Pants,71892,https://www.amazon.com/dp/B07M88F685,3
Ripped jeans men,"NEARTIME Men's Underwear, Boxer Briefs Casual Underpants for Man Underwear",183265,https://www.amazon.com/dp/B01MY5HAW2,2
Ripped jeans men,GREAT BIKERS GEAR - Men Engineered Protective Jeans Aramid Lining Motorcycle Biker Trousers Reinforced Protection Lining Knee,415136,https://www.amazon.com/dp/B09DTDYKPM,4
Ripped jeans men,VonZipper Unisex Gabba Sunglasses,445942,https://www.amazon.com/dp/B083R8SPPF,1
Ripped jeans men,POTILI Women's Boyfriend Jeans Stretchy Ripped High Waisted Casual Loose Fit Distressed Denim Pants for Women,262086,https://www.amazon.com/dp/B09NM5NCMC,1
Ripped jeans men,Lanxy LAXPICOL Native American Welding Torch Industry Welder Tool Pewter New Belt Buckle For Men Antique Gold Tone,406252,https://www.amazon.com/dp/B07VT821VS,1
Ripped jeans men,Women's Ripped Destroyed Socks Colorful Combed Cotton Fun Personality Fashion Unisex Calf High Socks,143111,https://www.amazon.com/dp/B09DS4SMP3,1
Ripped jeans men,TOPUNDER Women High Waist Stretch Hole Jeans Leggings Skinny Slim Fitness Pants Trousers,136957,https://www.amazon.com/dp/B07XF4L5W5,1
Ripped jeans men,"NEARTIME Men's Underwear, Men New Boxer Shorts Briefs Swim Pants",243850,https://www.amazon.com/dp/B072JF5RXQ,2
Ripped jeans men,"NEARTIME Men's Underwear, Men New Boxer Shorts Briefs Swim Pants",76650,https://www.amazon.com/dp/B071FLW4VT,2
Ripped jeans men,Boot Cut Jeans for Woman Denim Pants Color Blocking Wide Leg Jeans Curvy Shaping Jeans Slim Fit with Pockets for Summer Skinny Jeans for Women Flare Sweatpants Women Women Reds 3X-Large,459935,https://www.amazon.com/dp/B0BVMDQJB8,1
Ripped jeans men,LifeShe Women's Detachable Hoodie Denim Jacket Jean Jackets Coat with Hood,336698,https://www.amazon.com/dp/B08ZSDQCSD,1
Ripped jeans men,Women'S Plaid Shacket Flannel Button Down Casual Short Jacket Shirt,102176,https://www.amazon.com/dp/B0B5KTGT23,1
Ripped jeans men,"Steeltime Men's Red/Black Watch and Genuine Leather Bracelet Set (998-006-Bw), Red,Black",147444,https://www.amazon.com/dp/B00WV9GHBO,1
Ripped jeans men,Bonnie Jean Boy's Tan Mock Top Turkey Pant Set (3T),282913,https://www.amazon.com/dp/B0744QFLW4,1
