query,title,docid,link,rel
Running shoes with cushions,Kanadia TR 3 Summer Men's Shoe,468953,https://www.amazon.com/dp/B004M1JX6K,4
Running shoes with cushions,Skechers Boys GOrun 600 Trainers Runners Touch Tape Strap Navy/Red 10 US,63248,https://www.amazon.com/dp/B079ZLCQDJ,5
Running shoes with cushions,New Balance 461,177008,https://www.amazon.com/dp/B0045PE6DS,4
Running shoes with cushions,New Balance 461,439234,https://www.amazon.com/dp/B0045P71NU,4
Running shoes with cushions,New Balance 461,93577,https://www.amazon.com/dp/B0045P71QM,4
Running shoes with cushions,adidas Men's Nemeziz 19.4 FxG Football Shoe,30222,https://www.amazon.com/dp/B07Q5N48SD,2
Running shoes with cushions,ASICS Women's Gel-Noosa Tri 9 Running Shoe (8 B(M) US, Pink/Safety Yellow/Blue Tint),306053,https://www.amazon.com/dp/B00NHDC8PM,5
Running shoes with cushions,Yeyamei Sneakers for Women Slip on Women's Flat Memory Foam Slip On Sneakers Casual Loafers Round Comfortable Slip-on Shoes,100385,https://www.amazon.com/dp/B08BCRCJM9,3
Running shoes with cushions,AODONG Walking Shoes for Women, Trail Running Lightweight Mesh Tennis Sneaker Fashion Athletic Walking Shoes,266027,https://www.amazon.com/dp/B08W4F64M5,3
Running shoes with cushions,Snug Denture Cushions 2 Each,22583,https://www.amazon.com/dp/B000GGJCNY,1
Running shoes with cushions,MLAGJSS Pumps Shoes Women High Heel, Women's Canvas Low Top Sneaker Lace-up Classic Casual Shoes Black,84204,https://www.amazon.com/dp/B07H66JBJ6,1
Running shoes with cushions,Timberland Groveton 6 Inch Lace Medium Blue Nubuck 6 M US Big Kid,239710,https://www.amazon.com/dp/B011S3ABLU,1
Running shoes with cushions,Nike Kids Free 5.0 (PS) Dstnc Rd/Mtllc Slvr/Blk/Cl Gry Running Shoe 2 Kids US,241416,https://www.amazon.com/dp/B00BR2UYFQ,4
Running shoes with cushions,Clarks Women's Darla Slide,466888,https://www.amazon.com/dp/B000MN4J3O,1
Running shoes with cushions,Women Boots,Boomboom Fall Winter Women's Bootie Lace Patchwork Ankle Boots Shoes,270711,https://www.amazon.com/dp/B07WG8STGX,1
Running shoes with cushions,Nike Free 5.0 (GS) Boys' Running Shoes 725104-403,360577,https://www.amazon.com/dp/B07C8LBHNB,4
Running shoes with cushions,Kasien Baby Shoes, Summer Toddler Baby Boys Girls Cute Cartoon Beach Sandals Slippers Flip Shoes,314297,https://www.amazon.com/dp/B07P3KHTRP,1
Running shoes with cushions,Amlaiworld Thick Soles Fashion Women Summer Slipper Sandals Shoes Platform Shoes Beach Hole Shoes,479926,https://www.amazon.com/dp/B07NWMKNVR,1
Running shoes with cushions,Reebok Zig Sonic Sneaker Black 10.5,463404,https://www.amazon.com/dp/B004PZJZYS,4
Running shoes with cushions,Skinners Minimalist Barefoot Sock Shoes for Kids | Ultra Portable & Lightweight Footwear,98893,https://www.amazon.com/dp/B07X47BDZL,2
Running shoes with cushions,Skinners Minimalist Barefoot Sock Shoes for Kids | Ultra Portable & Lightweight Footwear,462146,https://www.amazon.com/dp/B07W93VXQ2,2
Running shoes with cushions,Skinners Minimalist Barefoot Sock Shoes for Kids | Ultra Portable & Lightweight Footwear,208873,https://www.amazon.com/dp/B07W4QN98Q,2
Running shoes with cushions,Skinners Minimalist Barefoot Sock Shoes for Kids | Ultra Portable & Lightweight Footwear,211036,https://www.amazon.com/dp/B07W6W8NML,2
Running shoes with cushions,Skinners Minimalist Barefoot Sock Shoes for Kids | Ultra Portable & Lightweight Footwear,474419,https://www.amazon.com/dp/B07W5VRBC5,2
Running shoes with cushions,Skinners Minimalist Barefoot Sock Shoes for Kids | Ultra Portable & Lightweight Footwear,484944,https://www.amazon.com/dp/B07W6W7QG5,2
Running shoes with cushions,NIKE Free Flyknit Triple Black (599459-005),268019,https://www.amazon.com/dp/B01AZ5W9S0,4
Running shoes with cushions,Treble Clef - Rhinestone Music - Shoe Charm Decoration,387042,https://www.amazon.com/dp/B00FC72BXU,1
Running shoes with cushions,Padaleks Sandals for Women Flat Bohemia Rhinestone Ankle Strap Sandal Cutout Open Toe Low Heel Wedding Dress Shoes,346462,https://www.amazon.com/dp/B08VS3DXF1,1
Running shoes with cushions,Quealent sandals for women flat,Womens Rhinestone Flat Sandals Crystal Flip Flops Jeweled Beach Sandals Boho Shoes,395556,https://www.amazon.com/dp/B08D3T8DWN,1
