query,title,docid,link,rel
Setting spray,angel3292 Clearance Deals Vintage Faux Pearl Shell Pendant Hook Earrings Women Gift Banquet Ear Jewelry,156,https://www.amazon.com/dp/B07DWMKCFD,1
Setting spray,"SnozzlePro Universal Hair Dryer Nozzle Adapter - Fits Xtava Black Orchid Diffuser, Replacement Concentrators and Blow Dryers with a Diameter 1.5 Inch to 2.25 Inch - Prevents Attachment Pop-Offs",203,https://www.amazon.com/dp/B07X8Z9W22,1
Setting spray,BERON Rainbow Wigs Short Wavy Womens Wig with Bangs Curly Hair Wigs Synthetic Wigs Halloween Party Use,281,https://www.amazon.com/dp/B07QJFVNF7,1
Setting spray,Emani All-In-One Vegan Eyebrow Cream - 0.42oz (Blonde/Gray),297,https://www.amazon.com/dp/B07CRNPF2R,1
Setting spray,O'bella Professional Glider Ceramic Tourmaline Ionic Flat Iron Hair Straightener Straightens Adjustable Temp RM-55,307,https://www.amazon.com/dp/B07FMKWTTB,1
Setting spray,Women's Auburn Wavy Wig with Bangs Middle Length Synthetic Wigs for Daily Use or Costume (Auburn),374,https://www.amazon.com/dp/B07NQ9P3Y2,1
Setting spray,Hair extension Black Braiding Hair Pre Stretched Braiding Hair 3PCS,429,https://www.amazon.com/dp/B09FPTW3JT,1
Setting spray,"ISHAKO Flat Irons and Curling Iron Set, 3-in-1 Ceramic Hair Straightener for All Hair Types,Styling Tools with Glove, Dual Voltage for Worldwide Use (Blue Peacock)",553,https://www.amazon.com/dp/B01MSUESTJ,1
Setting spray,"Bobbi Boss Crochet Braid_Bomba Faux Locs Soul 12"" (2)",619,https://www.amazon.com/dp/B01MTPJF9G,1
Setting spray,Silver Mini 3mm November Birthstone Ear Piercing Earrings Hypoallergenic Studex System 75,670,https://www.amazon.com/dp/B00P1M9TQS,1
Setting spray,Sqweel Wheel,699,https://www.amazon.com/dp/B00757EGG0,1
Setting spray,"Professional Curling Iron 1 Inch with Glove-CONFU Curling Wand 6 Heating Setting & LCD Display Temperature, 2 Ceramic Tourmaline Coating, Anti-Scald Insulated Wand Tip (220 °F to 400 °F)",763,https://www.amazon.com/dp/B01FYFH01W,1
Setting spray,Complex Culture Press & Set Bronzer Brush,775,https://www.amazon.com/dp/B083Q4SQ4P,1
Setting spray,"Groovy's Tropical Lure Beard Oil. Revitalizing, moisturizes and softens your hair. 2 oz./60ml, Argan, Jojoba with Bay rum, coconut, mango & lime oils.",1010,https://www.amazon.com/dp/B08TGPBVD1,1
Setting spray,Makone Crystal Crowns and Tiaras with Comb Headband for Girl or Women Birthday Party Wedding Prom Bridal Christmas Valentine… (03 Pink),1050,https://www.amazon.com/dp/B09X9BG4FC,1
Setting spray,"UV Sterilizer Cabinet.The Room Temperature Ultraviolet Disinfection Cabinet with Timer Setting, Suitable for Sterilization and Disinfection of Various Items",1175,https://www.amazon.com/dp/B086SK1MYS,1
Setting spray,"Mini UV Light for Gel Nails, UV Light for Nails ANYINS Nail Lamp Portable UV Nail Lamp 16W UV Lamp Professional UV Lamp for Gel Nails Innovative Nail Dryer for Nail Art（White）",1185,https://www.amazon.com/dp/B09TSZ3F3V,1
Setting spray,"FOONEE Women Girls Retro Peacock Tassels Alloy Hair Pin Hair Stick,Colorful",1203,https://www.amazon.com/dp/B00JZK6OMY,1
