query,title,docid,link,rel
Shampoo and conditioner set for curly hair,Shu Uemura Urban Moisture Shampoo 10 Ounce and Conditioner 8 Ounce Set,15234,https://www.amazon.com/dp/B07RG84G6S,4
Shampoo and conditioner set for curly hair,Moroccanoil Hydrations Essentials Holiday Gift Collection,23757,https://www.amazon.com/dp/B00OR0KLWQ,4
Shampoo and conditioner set for curly hair,"TRESemme Climate Control, DUO set Shampoo + Conditioner, 32 Ounce, 1 each",12226,https://www.amazon.com/dp/B00TE1ABZA,3
Shampoo and conditioner set for curly hair,"Carol’s Daughter Almond Milk Leave In Conditioner with Almond Milk, Aloe Butter and Shea Oil for Extremely Damaged Hair, 8 fl oz",6839,https://www.amazon.com/dp/B01DD1NOZU,2
Shampoo and conditioner set for curly hair,Argan Gloss Shampoo and Conditioning Treatment Set plus Travel Size Duo,8382,https://www.amazon.com/dp/B06ZYZWYPM,3
Shampoo and conditioner set for curly hair,"TRESemme Vitamin E Luxurious Moisture, DUO set Shampoo + Conditioner, 32 Ounce, 1 each",12194,https://www.amazon.com/dp/B00TE23UB6,3
Shampoo and conditioner set for curly hair,GK HAIR Global Keratin Moisturizing Shampoo and Conditioner Sets (10.1 Fl Oz/300ml) for Color Treated Hair - Daily Use Cleansing Dry to Normal Sulfate Paraben-Free - All Hair Types for Men and Women,2466,https://www.amazon.com/dp/B07R1K1SBD,3
Shampoo and conditioner set for curly hair,Jason Long & Strong Jojoba Pure Natural Shampoo and Conditioner Duo - 16 oz,2874,https://www.amazon.com/dp/B00GVG1P56,3
Shampoo and conditioner set for curly hair,Toni & Guy Damage Repair Shampoo and Conditioner for Damaged Hair - 8.5 Fl Oz / 250 mL x Combo Pack,5661,https://www.amazon.com/dp/B07VN6GWXP,2
Shampoo and conditioner set for curly hair,Number 4 N.4 L'Eau De Mare Hydrating Shampoo & Conditioner DUO Set (w/Sleek Comb) # No. 4 for Normal to Dry Hair (25 oz + 25 oz - LARGE DUO KIT),10857,https://www.amazon.com/dp/B08GFKR7WT,3
Shampoo and conditioner set for curly hair,Fairy Tales SUN & SWIM Lifeguard Clarifying Shampoo & Lemon-Aid Conditioner DUO SET (with Sleek Steel Pin Tail Comb) Remove Sea Salt & Chlorine Green from Pools (DUO KIT : 12 oz + 8 oz),3954,https://www.amazon.com/dp/B07K1ZVKJR,2
Shampoo and conditioner set for curly hair,"Hims Thickening Shampoo and Conditioner Set. 6.4 Fl Oz. Supports Hair Growth & DHT Targeting. Adds Volume + Moisture. Formulated Saw Palmetto + Niacinamide. Vegan, Paraben, Sulfate, Cruelty Free",7871,https://www.amazon.com/dp/B08WKTWCV6,2
Shampoo and conditioner set for curly hair,"Alikay Naturals Cowash Me Cleansing Conditioner For Kinky, Curly and Wavy, Straight Hair, 8 Oz",22184,https://www.amazon.com/dp/B0826B3BKN,4
Shampoo and conditioner set for curly hair,"No Tear Shampoo and Conditioner for Kids. Tame Hair Flyaways with Kids Suave Detangler Spray. Set of 2. (Berry Flurry, 28 Fl Oz)",6299,https://www.amazon.com/dp/B07Z2BFVXT,2
Shampoo and conditioner set for curly hair,Sojourn Colour Preserve Shampoo Conditioner 10 Oz,3395,https://www.amazon.com/dp/B07C9D1FD7,2
Shampoo and conditioner set for curly hair,Iden Bee Nourished Shampoo & Conditioner 32oz Duo Pack,7726,https://www.amazon.com/dp/B0093MXHFG,2
Shampoo and conditioner set for curly hair,Taliah Waajid Bamboo Biotin&Basil Avocado&Peppermint Combo 4 pcs Set,6666,https://www.amazon.com/dp/B07PVT5KNM,4
Shampoo and conditioner set for curly hair,"Lasio - Keratin-Infused HYPERSILK Replenishing Keratin Shampoo & Conditioner Combo Pack - 12.34 Fl. Oz - Repair, Restore & Redefine Hair Care Products - Keratin Shampoo Sulfate Free",17280,https://www.amazon.com/dp/B01HINOHK0,3
