query,title,docid,link,rel
Sundress,"Women Dress Daoroka Ladies Plaid Retro Vintage Sleeveless Cocktail Party Swing Pleated Skirt Casual O-Neck Dress (M, Green)",3167,https://www.amazon.com/dp/B078W35Q61,4
Sundress,"Women Dress Daoroka Ladies Plaid Retro Vintage Sleeveless Cocktail Party Swing Pleated Skirt Casual O-Neck Dress (S, Green)",6600,https://www.amazon.com/dp/B078W3FLK6,4
Sundress,Aqua Pink Ditzy Boho Bandeau,10996,https://www.amazon.com/dp/B07C3B76D2,1
Sundress,"COCIDE Winter Hats for Women 4 PCs Pearl Knit Headbands for Girls Winter Warm Cable Knot Ear Warmer Thick Elastic Turban Head Wrap Hair Scarf Fuzzy Fleece Lined Hair Accessories for Gift (Pack of 4) (White, Grey, Brown, Black)",12478,https://www.amazon.com/dp/B08P87VG7W,1
Sundress,"Women Dress Daoroka Ladies Plaid Retro Vintage Sleeveless Cocktail Party Swing Pleated Skirt Casual O-Neck Dress (2XL, Green)",12638,https://www.amazon.com/dp/B078W2BS17,4
Sundress,"Women Dress Daoroka Ladies Plaid Retro Vintage Sleeveless Cocktail Party Swing Pleated Skirt Casual O-Neck Dress (L, Green)",12969,https://www.amazon.com/dp/B078VZYSNS,4
Sundress,"Women Headbands, Turban Comfort Hair Band Stretchy Bows Breathable Headwraps Solid Cross Soft Elastic Hair Wrap Accessories for Fashion Yoga Sport Gym Running Athletic Travel- 6 Color",14406,https://www.amazon.com/dp/B0836C6L18,1
Sundress,"QTMY Crystal Gemstone Headbands Baroque Hair Accessories Head Band Fashion Headwear Hairbands for Women,Pink",17442,https://www.amazon.com/dp/B086Q2J3F2,1
Sundress,QTMY Wide Headbands Fashion Women Baroque Pearl Gemstone Hair Accessories Head Band Fashion Headwear Wide Plastic Hairbands for Women,18718,https://www.amazon.com/dp/B0819S2GSN,1
Sundress,"Natural Life Boho Bandeau Headband - Versatile, Wide, Hairband That Stays In Place, 8 Ways To Wear, The Perfect Accessory - Heather Grey 13.5” L x 9” W",20067,https://www.amazon.com/dp/B0791JKGK4,1
Sundress,"Women Dress Clearance! Daoroka Plus Size Long Casual Slim Stripe Split Sport Sundress Short Sleeve Fashion Ankle-Length Dress (4XL, Black)",22353,https://www.amazon.com/dp/B07FCJCBYK,5
Sundress,Women's Summer Casual Plus Size Short Sleeve V Neck Bohemian Beach Hippie Soul Letter Print Loose Party Long Maxi Dress,24957,https://www.amazon.com/dp/B07V5VWLR6,3
Sundress,"haoricu Women Bra, 2020 Women Hollow Translucent Underwear Black Lace Strap Lingerie Bra Tops Bustier",26692,https://www.amazon.com/dp/B08N1CMMQJ,1
Sundress,POTO Women's Maxi Dresses Floral Printed Sundresses Empire Waist Summer Casual Long Boho Dress with Pockets,26848,https://www.amazon.com/dp/B091J2LR29,5
Sundress,Rogkidha Toddler Girls Summer Casual Dresses Graphic Dress Green,27024,https://www.amazon.com/dp/B098CRPZ1B,2
Sundress,Colorful Sandals Gibobby Women's 2019 New Women Comfy Platform Sandal Shoes Summer Beach Travel Shoes Fashion Sandal,27409,https://www.amazon.com/dp/B07T14W9NF,1
Sundress,siilsaa Sandals for Women Wedge Platform Rainbow Ankle Buckle Sandals Summer Beach Sandals Open Toe Espadrille Shoes,28896,https://www.amazon.com/dp/B08ZCMYG19,1
Sundress,LILBETTER Women V-Neck Polka Dot Print Spaghetti Strap Boho Long Maxi Dresses,29202,https://www.amazon.com/dp/B07CQ84KLT,3
Sundress,"Women's Summer Ankle Strap Buckle Low Wedge Platform Heel Sandals Fashion Design Pump Shoes (US:9, Brown)",29614,https://www.amazon.com/dp/B07PF7PMP3,1
Sundress,"LANISEN Dress for Beach Vacation,Women's Summer Casual V Neck Boho Floral Spaghetti Strap Flowy Swing Beach Wedding Party Maxi Dress 2939 Wine red XL",30828,https://www.amazon.com/dp/B08ZSDT6TG,4
