query,title,docid,link,rel
Sunscreen spf 50,Rohto SKIN AQUA UV Super Moisture Gel 110g SPF50 / PA,3537,https://www.amazon.com/dp/B084C5TMT3,5
Sunscreen spf 50,"Leader Kids Sunscreen Lotion Broad Spectrum SPF 50, Mineral Based, Reef Friendly, Water Resistant Moisturizing Lotion, 6 Ounce",23625,https://www.amazon.com/dp/B09527LPT3,5
Sunscreen spf 50,"Avalon Products Alba Botanica Sunscreen for Baby 3 oz-6 Pack Bundle-SPF 50+ Frangrance Free Broad Spectrum Kids Sunscreen,Alba Botanica Clear Mineral Sunscreen",10886,https://www.amazon.com/dp/B092CCY1T4,5
Sunscreen spf 50,FRESH Little Dreamers 3 piece Gift Set,14949,https://www.amazon.com/dp/B07ZML2H5G,1
Sunscreen spf 50,"Coppertone Kids Clear Sunscreen Lotion SPF 50, Water Resistant Sunscreen for Kids, #1 Pediatrician Recommended Sunscreen Brand, Broad Spectrum Sunscreen SPF 50, 5 Fl Oz Tube",20966,https://www.amazon.com/dp/B084ZHP45Y,5
Sunscreen spf 50,Water Babies Sunscreen Lotion - SPF 70+ - 8 oz,18737,https://www.amazon.com/dp/B00LSN4DYW,4
Sunscreen spf 50,"Walgreens Chap-Aid Lip Balm SPF 4, Original, .15 oz",22003,https://www.amazon.com/dp/B009GGVS5A,2
Sunscreen spf 50,"Softlips Cube 5 in 1 Lip Protectant Conditioner and Sunscreen SPF 15, 4 Cubes",15338,https://www.amazon.com/dp/B01549H6VM,2
Sunscreen spf 50,HAIR & SCALP ADVANCED 30 SPF 30 SUNSCREEN WALGREENS 2 FL OZ,2875,https://www.amazon.com/dp/B08NFC3G2Q,3
Sunscreen spf 50,Original Sprout Tahitian Face and Body Non-Greasy Sunscreen with SPF 27 90 ml by Original Sprout,20190,https://www.amazon.com/dp/B01N070RBV,3
Sunscreen spf 50,"SolScents Sunscreen Scented Lotion – SPF 50 – Refreshing Sun Protection For Sensitive Skin, Water-Resistant Natural Sunblock, Moisturizes & Protects Skin From UVA & UVB Rays - Flower Blast Scent",19337,https://www.amazon.com/dp/B00E4OMBIW,5
Sunscreen spf 50,50 SENSITIVE SKIN BROAD SPECTRUM SPF 50 OIL FREE- FRAGRANCE FREE-OXBENZONE FREE 8 FL OZ,10323,https://www.amazon.com/dp/B08JCVJSZY,5
