query,title,docid,link,rel
Swim trunks,BreastFull Intensiv Breast Enlargement Cream – Clinically Tested to Increase Bust Size 8.4% in 56 Days – 2 Month Supply,269,https://www.amazon.com/dp/B071Z4DVQ6,1
Swim trunks,MERMAID Vegetable Glycerin Bar Soap,636,https://www.amazon.com/dp/B00355HFQE,1
Swim trunks,"8 Piece Swimming Hair Elastic Set - Girls Swimming Accessories - No Crease Swimmer Hair Elastics Set - Swim Accessories for Girls, Women, Coaches, Teams, Swim Meets - MADE in the USA",859,https://www.amazon.com/dp/B07VBCDDVK,2
Swim trunks,Mersi Cosmetics Breathable Halal Nail Polish Vegan Cruelty-Free (Hillier),2083,https://www.amazon.com/dp/B0872RBCJ5,1
Swim trunks,"Diva Stuff Pre Swim Stick, Extra Strength Chlorine Neutralizing Lotion Bar For Body,Treats Hives, Rashes, Itchiness, Dry Skin and Other Reactions To Chlorine, Use Before Swimming",3581,https://www.amazon.com/dp/B07T1SXR1H,2
Swim trunks,Fairy Tales SUN & SWIM Lifeguard Clarifying Shampoo & Lemon-Aid Conditioner DUO SET (with Sleek Steel Pin Tail Comb) Remove Sea Salt & Chlorine Green from Pools (DUO KIT : 12 oz + 8 oz),3954,https://www.amazon.com/dp/B07K1ZVKJR,1
Swim trunks,"Waxing Kit , 80w Security Painless Wax Warmer For Hair Removal, 220-240v at Home Waxing Kit For Women, Wax Machine With 4 Hard Wax Beans",3960,https://www.amazon.com/dp/B09379JR5L,1
Swim trunks,"Winged Eyeliner Stamp – The Flick Stick by Lovoir, Waterproof Make Up, Smudgeproof, Long Lasting Liquid Eye liner Pen, Vamp Style Wing, 2 Wingliner Pens (10mm Classic, Cocoa Brown)",4628,https://www.amazon.com/dp/B07T18681V,1
Swim trunks,"Herbivore - Natural Sea Mist Texturizing Salt Spray (Coconut, 8 oz)",6684,https://www.amazon.com/dp/B00YQ6X8EO,1
Swim trunks,"Indigo Wild Patchouli Four Ways Zum Bars Goat's Milk Soap, 3 Oz. Each: Patchouli, Patchouli-Orange, Frankincense-Patchouli & Patchouli-Mint",9778,https://www.amazon.com/dp/B007CM4EQU,1
Swim trunks,"Fairy Tales Curly Q Kids Styling Spray Gel for Curly Hair - Daily Kids Spray Gel for all Types of Curls Including Multi Cultural Hair - Paraben Free, Sulfate Free, Gluten and Nut Free - 8 oz",11732,https://www.amazon.com/dp/B01LYEOHLD,1
Swim trunks,BreastFull Intensiv Breast Enlargement Cream – Clinically Tested to Increase Bust Size 8.4% in 56 Days – 1 Month Supply,12666,https://www.amazon.com/dp/B071F1MNPD,1
Swim trunks,"Nose Secret (3 Size a Set) - 100% Authentic From Korea - Nose up Lifting Shaping, Shapes Your Nose Instantly and Non-surgical (S)",12914,https://www.amazon.com/dp/B013CQKPKS,1
Swim trunks,TRIHARD Pre & Post Swim Conditioner + Pre & Post Swim Body Lotion | Swimmers Conditioner | Pre Swimming Hair and Skin Defense,14708,https://www.amazon.com/dp/B096RQYD1N,2
Swim trunks,Classic Gold Watch Branded Men's Quartz Watch with Day Date Nice Business Watch for Men,16005,https://www.amazon.com/dp/B07CHB3MCS,1
Swim trunks,Set of 6 Ottoman Peshtemal Turkish Towel Pestemal Bath Hamam Peshtemal Yoga Unisex Towel Spa Sauna Beach Yacht Shawl Baby Care Shawl,17184,https://www.amazon.com/dp/B00GUGYA9U,1
Swim trunks,"Winged Eyeliner Stamp – The Flick Stick by Lovoir, Waterproof Make Up, Smudgeproof, Long Lasting Liquid Eye liner Pen, Vamp Style Wing, 2 Wingliner Pens (12mm Vintage, Cocoa Brown)",18792,https://www.amazon.com/dp/B07T5KK8KY,1
Swim trunks,"Beach Gladiator Anti Rash & Chafing Roll-On for Chub Rub, Sports Rash & Friction, Kids & Adults, All Year Long Protection",18872,https://www.amazon.com/dp/B00RPOQMEC,1
Swim trunks,Liquid Eyeliner that's Waterproof with Precise No Smudge Intense Jet Black Fine Tip Dip Liner for Sensitive Eyes with Long Lasting Makeup Matte Results that Even Stays on Oily Skin,19045,https://www.amazon.com/dp/B00VV5ZGCK,1
Swim trunks,Thinksport Kids Safe Sunscreen SPF 50+ (6 ounce) (2 pack),20146,https://www.amazon.com/dp/B07QJ74TJN,1
Swim trunks,JCM 21'' 8PCS Princess Party Highlight Light Pink Light Blue Hair Pieces Colored Hair Extensions Clip in/On for America Girls and Kids Wig Pieces for Dolls(Light Pink Sky Blue ),20163,https://www.amazon.com/dp/B087RJ5BMW,1
Swim trunks,JCM Multi-Colors Hair Etensions Party Highlights Straight Clip in/on Colored Hair Streak Synthetic Hairpieces 16PCS (Pink Teal ),20880,https://www.amazon.com/dp/B08SWLX5JJ,1
Swim trunks,"Music Flower Eyeliner Stamp - Liquid Eyeliner, Waterproof Winged Eyeliner Stamp Black Eye Liner, Long Lasting Smudge Proof Quick Dry Cat Eye Makeup Pen Wingliner, 10mm",21020,https://www.amazon.com/dp/B07JQGD781,1
Swim trunks,"MASK BAND LATEX FREE-WHITE EMBO (1/4"" White Embo 10yd)",23731,https://www.amazon.com/dp/B0106KRVOQ,1
Swim trunks,"The Good Tides Swimming Headbands for Men + Women. Goodbye Uncomfortable Swim caps, Hello Fully Adjustable Swim Headband with Velcro Closure and Waterproof. Ultra-Comfortable!",24010,https://www.amazon.com/dp/B07DR95RXS,2
Swim trunks,"My Pool Pal Boys' Flotation Swimsuit, Jet Pilot, Extra Small",24705,https://www.amazon.com/dp/B07C7FHHH2,3
Swim trunks,Becca by Rebecca Virtue Women's Sliding Halter Bikini Top (D+ Cup) Black DD,25127,https://www.amazon.com/dp/B01KN4PZPW,3
Swim trunks,i play. Baby Infant Toddler Unisex UPF 50 Solid Brim Sun Hat/Beach Hat,25340,https://www.amazon.com/dp/B07CQYQ47S,2
Swim trunks,FQZWONG Y2k Tops Womens Tops Dressy Casual Plus Size Trendy Party Club Night Workout Athletic Going Out Cute Tunic Tops,25446,https://www.amazon.com/dp/B09W481QYR,1
Swim trunks,"Dr.B Racer Swim Goggle, 3 Nose Pieces for Adults (32295)",25932,https://www.amazon.com/dp/B07JC4K41L,2
Swim trunks,365 Sleepers 316L Surgical Steel 16G Twist Hinged Segment Ring Helix Tragus Septum Nose Body Piercing Jewelry,26108,https://www.amazon.com/dp/B07TTC1RGC,1
Swim trunks,"haoricu Women Bra, 2020 Women Hollow Translucent Underwear Black Lace Strap Lingerie Bra Tops Bustier",26692,https://www.amazon.com/dp/B08N1CMMQJ,1
Swim trunks,"Hurley Phantom Training Adult Goggles, 2- Pack Swim Goggles",27011,https://www.amazon.com/dp/B0977Q4YQP,2
Swim trunks,Shirt Trekker Shirt Case - Protection for Travel Business Biking - Water Resistant,27368,https://www.amazon.com/dp/B01NBQR9QT,2
Swim trunks,FlameReflection Women Halo Round CZ Cubic Zirconia Stainless Steel Engagement Ring Band Optional Stud Earrings Size 5 to 11,27877,https://www.amazon.com/dp/B00TBY0KBA,1
Swim trunks,"stintless charming Jewelry Jack and Sally Inspired Bracelet,Jack Skellington Moon Bangle, Wedding Gifts, Art Gifts for for Men, for women-JV67",28267,https://www.amazon.com/dp/B088LQYN79,1
Swim trunks,"Babiators Children’s Heart Shaped UV Sunglasses - Bendable, Flexible, Durable, Baby Safe | Multiple Sizes and Colors",29730,https://www.amazon.com/dp/B0BRQ1TDZZ,1
Swim trunks,Men's Women's Quick-Drying Breathable Upper Thick Non-Slip Sole Lightweight Garden Clog Shoes Comfortable Beach Shoes Clogs Mules Shoes,30171,https://www.amazon.com/dp/B08RXPHJKW,1
Swim trunks,365 Sleepers 316L Surgical Steel 20G 18G 16G 14G 12G 10G 8G 6G Septum Hinged Segment Nose Lip Helix Rook Cartilage Ring Hoop Earrings Body Jewelry,30874,https://www.amazon.com/dp/B077D2JF2F,1
Swim trunks,FlameReflection Stainless Steel Rings for Women Infinity Wedding Set Round CZ Cubic Zirconia Halo Engagement Bridal Jewelry (Choice of Stud Earrings),31092,https://www.amazon.com/dp/B07L5DWHQS,1
Swim trunks,Bivei Adjustable Hematite Magnetic Therapy Inspirational Bracelet Gemstone Beaded Healing Bracelet Pain Relief Pack of 2,32146,https://www.amazon.com/dp/B07K555BCQ,1
Swim trunks,18K Rose Gold Silver Brandy Diamondorables Stunning Chocolate Brown Cushion Halo Ring 7.10 Ctw.,32267,https://www.amazon.com/dp/B079KV6FHR,1
Swim trunks,"Cardinali Jewelry Swimming Necklace Adjustable Hypoallergenic, Safe-Nickel Free, No Poisonous Lead Or Cadmium",32530,https://www.amazon.com/dp/B01BFTV4BS,1
Swim trunks,"Ekouaer Bathing Suit Cover Ups for Women Dress Short Sleeve Sexy V Neck Lace Crochet Swim Coverup Plus Size, Clear light Blue",32545,https://www.amazon.com/dp/B09KTSJVX8,2
Swim trunks,Disney Boys' Toy Story Two Piece Swim Set Buzz Lightyear,33017,https://www.amazon.com/dp/B085TKL8XS,2
Swim trunks,365 Sleepers 316L Surgical Steel 16G Moon Hinged Segment Ring Helix Tragus Septum Nose Body Piercing Jewelry,33350,https://www.amazon.com/dp/B07TXCT7TN,1
Swim trunks,"iLH Clearance Necklace,Womens Owl Pendant Jewelry Cute Elephant Vintage Bohemian Charm Sweater Chain Romantic Gift",33461,https://www.amazon.com/dp/B0795MZBN4,1
Swim trunks,Chanyuhui Women Tunic Tops Dress Lady Rose s Short Sleeve Evening Party Dress,33981,https://www.amazon.com/dp/B07G9RTZNX,1
Swim trunks,COPPEN Women Loafers Out Shoes Toe Platform Flat Heel Buckle Strap Walking Shoes,35042,https://www.amazon.com/dp/B07QYB92C3,1
Swim trunks,Patriotic Shirts for Men American Flag T-Shirt Funny Skull Graphic Summer Casual Short Sleeve Tops 4th of July Gift,35116,https://www.amazon.com/dp/B09712PGKQ,1
