query,title,docid,link,rel
T-shirt dress women,IFOTIME Butterfly Mushroom Print Sweatshirt for Women Pullover Aesthetic Graphic Crewneck Casual Oversize Long Sleeved Shirts,459603,https://www.amazon.com/dp/B09H6MV6QK,1
T-shirt dress women,Hmlai Clearance Women 3/4 Sleeve Floral Printed V-Neck Casual Swing T-Shirt Tunic Dress with Pockets,238789,https://www.amazon.com/dp/B07BNFHJDG,4
T-shirt dress women,Haola Women's Summer Loose Fit V Neck Short Sleeve T-Shirt Dress Juniors Casual Shirts Top Blue M,149693,https://www.amazon.com/dp/B083QZZKG4,4
T-shirt dress women,Haola Women's Summer Loose Fit V Neck Short Sleeve T-Shirt Dress Juniors Casual Shirts Top Blue L,326228,https://www.amazon.com/dp/B083R1YTPS,4
T-shirt dress women,Padaleks Women Casual Floral Printed Vintage Jeans Denim Trousers Floor Length Pants Plus Size Relaxed Fit Straight Leg Pant,292445,https://www.amazon.com/dp/B08P3KHLD5,1
T-shirt dress women,Cotton V Neck T Shirt Short Sleeve Button Up Slim Fit Sold Summer Fashion T-Shirt Tops Tee Shirt,228127,https://www.amazon.com/dp/B07RWKRFZS,1
T-shirt dress women,Letdown_Men tops Men Tshirts Graphic Funny Short Sleeve O-Neck African Print Casual Slim Fit Summer Fashion Top Blouse Dark Blue,460141,https://www.amazon.com/dp/B07RJBY17D,1
T-shirt dress women,Mikilon Cosplay Anime Dinosaur Women Sweatshirt Hoodie Costume Long Sleeve Coat T Shirt Top Oversized Yellow,79284,https://www.amazon.com/dp/B07X1LCPF8,1
T-shirt dress women,"vermers Women Clothes, Casual Patriotic American Flag Cold Shoulder Shirt Tops",27716,https://www.amazon.com/dp/B07DKHRLHG,1
T-shirt dress women,Amlaiworld Women Plus Size Tops Summer Short Sleeves V Neck T Shirt Casual Basic Tops Cotton Linen Tunic Shirt,131130,https://www.amazon.com/dp/B07RN8JLRJ,1
T-shirt dress women,POTO Women Maxi Dresses Summer Boho Sleeveless Tank Dress Vintage Print Kaftan Casual Swing Long Dresses with Pockets,464205,https://www.amazon.com/dp/B08Z89G9HZ,3
T-shirt dress women,Striped Crop Tops for Women Collar Half Button Long Sleeve Pullover Sweatshirt Tee Cute Rainbow Tops Shirt for Teen Girl,91424,https://www.amazon.com/dp/B0BBMWTSQN,1
T-shirt dress women,Amlaiworld Women Plus Size Tee Shirt Tank Shirt Open Back Workout Top Shirts Yoga Activewear Exercise Tops T Shirts Tank Tops,475286,https://www.amazon.com/dp/B07QF25FL2,1
T-shirt dress women,Tootu Womens Festival Stripe Plus Size Blessed O-Neck Baseball T-Shirt,110989,https://www.amazon.com/dp/B077R66SXX,2
T-shirt dress women,Women's I Wish Obama Could Stay Longer T-Shirt Large Royal Blue,322752,https://www.amazon.com/dp/B01FEN9IT6,1
T-shirt dress women,jsarle Christmas Dresses for Women 2022 Plus Size Vintage Red Plaid Ugly Xmas Cocktail Party Holiday Dress Formal Christmas-Cloth,264056,https://www.amazon.com/dp/B09LHVNTH8,3
T-shirt dress women,kakina T-Shirts for Women Graphic Tees Vintage Funny Sisters Printed Short Sleeve Tee Tops Summer Casual Loose Shirt,457193,https://www.amazon.com/dp/B08XZK93P8,1
T-shirt dress women,Gahrchian Women Dress V Neck Button Dress Sleeveless Party Dress Ruffle Beach Dress Office Work Skirts Dress,220385,https://www.amazon.com/dp/B07R98YHQ5,4
T-shirt dress women,Cardigoo Long Casual Dress for Women Plus Size Cold Shoulder Floral Lace Maxi Long Dress Elegant Party Evening Camis Dresses Purple 3X-Large,227369,https://www.amazon.com/dp/B09T349Y21,3
T-shirt dress women,Apiesdoreng Ghost Fashion Crew Neck Band Short Sleeve T-Shirt Men/Women 3XL,155629,https://www.amazon.com/dp/B09W1MGHXC,1
T-shirt dress women,Apiesdoreng Ghost Fashion Crew Neck Band Short Sleeve T-Shirt Men/Women XXL,183691,https://www.amazon.com/dp/B09W1LYSHM,1
T-shirt dress women,658 Funny Blouse for Womens Cute Potato Graphic Sweatshirt Fashion Casual Long Sleeve Shirts Stripes Top White,466218,https://www.amazon.com/dp/B08QHJTMV5,1
T-shirt dress women,Womens Christmas Snowflakes Print O Neck Tops Three Quarter Sleeve Round Neck Tee Shirt Printed Daily,479895,https://www.amazon.com/dp/B0BJQN4GWR,1
