query,title,docid,link,rel
White waterline eyeliner,Jonteblu FELT TIP LIQUID EYELINER ULTRA-FINE FAST-DRYING WATERPROOF SMUDGE PROOF DIP EYE LINER -HIGHLY PIGMENTED QUICK DRYING FORMULA WITH PRECISE APPLICATOR BOLD LINES - INTENSE BLACK COLOR,23642,https://www.amazon.com/dp/B071Z143B9,2
White waterline eyeliner,"Etude House Super Slim Proof Gel Pencil Liner #02 Choco Brown | 1.5mm Super Slim, Creamy, All-Day-Lasting, Ultra-Waterproof, Eyeliner that Softly Melts on Skin and Fixes Perfectly | Kbeauty",15222,https://www.amazon.com/dp/B073R9STVC,2
White waterline eyeliner,Almay Wake Up Eyeliner & Highlighter,3256,https://www.amazon.com/dp/B00AWQUHQE,2
White waterline eyeliner,L.A. Colors Auto Eye Liner Pencil 665 White,1677,https://www.amazon.com/dp/B004C6ZOC2,4
White waterline eyeliner,MARC JACOBS highliner liquid-gel eyeliner STEEL THE SHOW (METALLIC DARK GRAY),15924,https://www.amazon.com/dp/B07ZQT7KYQ,2
White waterline eyeliner,ULTA Precision Liquid Eyeliner - Black - Full Size 0.037 Fl Oz,11230,https://www.amazon.com/dp/B01IQ8PNRM,1
White waterline eyeliner,Physicians Formula Flat Liner Autormatic Eyeliner Pencil Dark Brown 2435,23031,https://www.amazon.com/dp/B001G9E06Y,1
White waterline eyeliner,Tarte Maneater Self-Sharpening Eyeliner,2977,https://www.amazon.com/dp/B01MTD1F2Q,2
White waterline eyeliner,Beth Bender Beauty - Eye Candy Eyeliner Stencil Starter Pack with Gel Eyeliner & Brush,5074,https://www.amazon.com/dp/B079NKDTTJ,2
White waterline eyeliner,essence | 2 in 1 Eyeliner Pen | Black,7308,https://www.amazon.com/dp/B00VP4UW8U,4
White waterline eyeliner,Jordana Longwear Eyeliner Pencil 12 Aubergine,12747,https://www.amazon.com/dp/B00UQPSSZS,1
White waterline eyeliner,MAKE UP FOR EVER Aqua XL Travel Size Eye Pencil Waterproof Smudgeproof Eyeliner M-10 - Matte Black 0.01 oz,17387,https://www.amazon.com/dp/B01FPWCUX2,2
White waterline eyeliner,"Dramatic Winged Eyeliner Stamp, Authentic, Easy to Use",6917,https://www.amazon.com/dp/B073JVPHLT,1
White waterline eyeliner,Cezanne Eyeliner N Waterproof Black Made in Japan,12841,https://www.amazon.com/dp/B002G10OLQ,1
White waterline eyeliner,"Ciaté London Stamp And Drag Liner Duo! Stamp And Eyeliner Double-Ended Pen! Wing Stamp Eyeliner With Precisely Pointed Tip! Perfect For Your Winged Eyeliner Look! Vegan, Gluten Free & Cruelty Free!",2647,https://www.amazon.com/dp/B085SZHSDQ,4
White waterline eyeliner,"Medicube Collagen Lifting Mask 10EA+ Ochloo Hyaluronic acid 10ml: Including 3 kinds Collagen, Hyaluronic acid",23529,https://www.amazon.com/dp/B08P288BH5,1
White waterline eyeliner,One Fine Line Micro Precision Eyeliner - Straight Spice by bareMinerals for Women - 0.002 oz Eyeliner,4461,https://www.amazon.com/dp/B07FSRRP9C,2
White waterline eyeliner,Technic Eyeliner Pencil with Smudger & Sharpener - Black,5088,https://www.amazon.com/dp/B01872UVL0,2
White waterline eyeliner,ModelCo All About Eyes Kit (Smokey Eye),17248,https://www.amazon.com/dp/B00DF48HIU,1
White waterline eyeliner,2 The Point Double-Ended Eyeliner,17658,https://www.amazon.com/dp/B079364WGY,2
White waterline eyeliner,"Pack of 2 Revlon Photoready Kajal Intense Eyeliner + Brightener, 001 Carbon Cleopatra",18839,https://www.amazon.com/dp/B07R73HKWR,2
White waterline eyeliner,"Non Magnetic Eyeliner and Eyelashes Kit, Magic Self Adhesive False Eyelashes and Eyeliner, 5 Pairs 5D Reusable False Lashes with No Glue, Waterproof Lash Boxes with Mirror & Tweezers",919,https://www.amazon.com/dp/B08XXQFF1Y,2
White waterline eyeliner,"""N/A"" Embagol 2 in 1 Magic Lash Liner Glue Pen Self-adhesive Eyeliner Pen Long-Lasting Waterproof Liquid Eyeliner No Glue Needed False Rosegold with Clean liquid",11545,https://www.amazon.com/dp/B09B3NJTZ9,2
White waterline eyeliner,ModelCo All About Eyes Kit (Bronze Goddess),17147,https://www.amazon.com/dp/B00DF48H44,2
White waterline eyeliner,"GR Cosmetics Creamy Eyeliner Pencil, Long Lasting Dream Eye Liner Pencil, Safe for Waterline, Smudge Proof, Matte Finish (403 Gunsmoke)",15796,https://www.amazon.com/dp/B09NZJ1YHV,4
White waterline eyeliner,"MARC JACOBS highliner liquid-gel eyeliner BLACQUER (BLACKEST, SHINIEST BLACK)",3924,https://www.amazon.com/dp/B07ZQT14WM,4
White waterline eyeliner,Wet n Wild Perfect Pair Eye Wand 113 Bronze-Toast,12599,https://www.amazon.com/dp/B001T8SAF4,1
White waterline eyeliner,Rejawece Eyeliner Liquid Waterproof Eyeliner Pencil - Liquid Eye Liner Gel Quick - Dry Eyeliner Pen - Black,20590,https://www.amazon.com/dp/B074PVG7TX,2
White waterline eyeliner,"2 Winged Eyeliner Stamp, Long Lasting, Waterproof and Smudgeproof Liquid Eyeliner Eye Makeup, Eyeliner Vamp Stamp - (10mm Classic Wing Eye Liner Stamp Pen Wingliner, Midnight Black)",19786,https://www.amazon.com/dp/B08KH8VKYZ,4
White waterline eyeliner,"Music Flower Eyeliner Stamp - Liquid Eyeliner, Waterproof Winged Eyeliner Stamp Black Eye Liner, Long Lasting Smudge Proof Quick Dry Cat Eye Makeup Pen Wingliner, 10mm",21020,https://www.amazon.com/dp/B07JQGD781,2
White waterline eyeliner,"Double-Headed Seal Eyeliner, Seal Liquid Eyeliner Waterproof Triangle Eyeliner",14262,https://www.amazon.com/dp/B08961HYD2,2
White waterline eyeliner,j-lash Magnetic Eyeliner and Eyelashes Kit MK14 2 Pairs of Eyelashes and Magnetic Liner,23379,https://www.amazon.com/dp/B098GXPZ6M,2
