query,title,docid,link,rel
Womens sweaters warm,"Reusable Shower Cap for Women – Leakproof, Nonslip Hair Cap for Shower w/ Comfy Flexiband – Soft, Breathable Shower Caps for Women Reusable Waterproof – Durable, Heavy Duty Shower Cap by SMPL OBJECTS (Marble)",169,https://www.amazon.com/dp/B09GNXK3N1,1
Womens sweaters warm,Wowlife Silver Tone Floral Fingertip Nail Sharp Claw Jewelry Finger Claw Cosplay Accessories,609,https://www.amazon.com/dp/B0104DLRR2,1
Womens sweaters warm,"Wedding Crown Headband for Brides, Wedding Jewelry Tiara Headpieces with Pendant Hair Accessories,Silver",680,https://www.amazon.com/dp/B014LVLT7G,1
Womens sweaters warm,"Goody Womens Classic 3"" Mock Tort Staytight Barrettes - 4 Pc - 2 Packs",726,https://www.amazon.com/dp/B00BUS8TTK,1
Womens sweaters warm,Fheaven Fashion Womens Lady Rose Gold Opal Butterfly Pendant Necklace Sweater Chain Hot,795,https://www.amazon.com/dp/B01N7IOQES,2
Womens sweaters warm,"50th Birthday Gifts for Women, 40th Birthday Gifts Women, 60th Birthday Gifts for Women, Gift Basket for Women, Spa Gifts for Women, 30th Birthday Gifts for Her, 70th Birthday Gifts for Women – 7 PC",909,https://www.amazon.com/dp/B0BQQ5L942,1
Womens sweaters warm,"Goody WoMens Ouchless Braided Elastics, 30 Count (Festival Primary)",1115,https://www.amazon.com/dp/B089JJBKDY,1
Womens sweaters warm,"Camila Paris CP2906 French Hair Clips for Women, Girls Hair Claw Clips Jaw Fashion Durable and Styling Hair Accessories for Women, Strong Hold No Slip Grip, Made in France. 2 inch Amber",1481,https://www.amazon.com/dp/B07XDCCFF9,1
Womens sweaters warm,Mandala Crafts Sparkle Black Sequin Headbands for Women Girls - 12 Glitter Stretch Elastic Sequin Headband Set for Fashion Dance Disco Party Favor,2391,https://www.amazon.com/dp/B07CGSQJ83,1
Womens sweaters warm,"Mildiso Long Wavy Curly Wigs for Women Ombre Black Blonde Two Tone Synthetic Heat Resistant Hair Wig, 26’’ Goth Wig for Cosplay Party Halloween Daily Use with Comfortable Wig Cap M051GD",3085,https://www.amazon.com/dp/B08C7TV6H9,1
Womens sweaters warm,LA RIVE 'SWEET WOMAN' WOMAN Parf黰 EDP Eau de Parfum NEU & OVP 90 ml,4090,https://www.amazon.com/dp/B0718Z1K15,1
