query,title,docid,link,rel
Wool scarf,UZZO™Newest Autumn Winter Warm Super Long Thick Knit Wool Scarf Unisex Women Men Boys Grils Extra Long & Wide Couples Style Neck Long Knit Scarf Cowl Hood Shawl(Red)+1*Free Key Ring,43949,https://www.amazon.com/dp/B00PRX70F8,5
Wool scarf,UZZO™Newest Autumn Winter Warm Super Long Thick Knit Wool Scarf Unisex Women Men Boys Grils Extra Long & Wide Couples Style Neck Long Knit Scarf Cowl Hood Shawl(Dark Red)+1*Free Key Ring,396987,https://www.amazon.com/dp/B00PRX6XPQ,5
Wool scarf,UZZO trade;Newest Autumn Winter Warm Super Long Thick Knit Wool Scarf Unisex Women Men Boys Grils Extra Long & Wide Couples Style Neck Long Knit Scarf Cowl Hood Shawl(Black)+1Free Key Ring,278314,https://www.amazon.com/dp/B00PRX6XMY,5
Wool scarf,Gamboa 100% Alpaca Scarf Blue Elegant Alpaca Scarf for Men - Mar,75952,https://www.amazon.com/dp/B07XYGQJKQ,4
Wool scarf,BUFF Unisex Merino Wool Infinity Scarf,348353,https://www.amazon.com/dp/B06Y1HDSYD,5
Wool scarf,Mokingtop Children Hat 100% Wool Hat+Scarf Two Piece Set Panda Children Animal Cap,178234,https://www.amazon.com/dp/B00G8SGNAO,4
Wool scarf,BUFF Unisex Merino Wool Infinity Scarf,390773,https://www.amazon.com/dp/B06Y1KWVNR,5
Wool scarf,"Biddy Murphy Irish 100% Merino Wool Scarf for Women, Long, Soft Brushed Woolen Fiber, Imported",282024,https://www.amazon.com/dp/B0BKR127R7,5
Wool scarf,Alexander Mcqueen Women's Oversize Skull Jacquard Wool Scarf Black Light Pink,155878,https://www.amazon.com/dp/B08P96M7F2,5
Wool scarf,100% Merino Wool Baby Scarf Neck Warmer Snood Organic,174236,https://www.amazon.com/dp/B010ST323O,5
Wool scarf,Mens Stylish Winter Scarf,456755,https://www.amazon.com/dp/B00I63CR0O,3
Wool scarf,Pandori Waraich Soft Scarfs For AdultsBlue/Green/Peach (Size:- 70 X 180 cm),197867,https://www.amazon.com/dp/B0B5HJZB2N,3
Wool scarf,REALITY&FANTASY Cashmere and 100% soft Lambs Wool Plaid Tartan Winter Scarf for Men and Women,51153,https://www.amazon.com/dp/B09LHY74WN,5
Wool scarf,I LUV LTD Bell of the Borders Modern Tartan 100% Lambswool Scarf Made in Scotland,467258,https://www.amazon.com/dp/B00O8KSRTE,5
Wool scarf,Womens Silk Head Scarf Casual Floral Print Square Turban Lightweight Satin Scarfs Skinny Headscarfs,215205,https://www.amazon.com/dp/B0BJ71BQGT,2
Wool scarf,Pure Lambswool Clan Tartan Scarf Edinburgh,206051,https://www.amazon.com/dp/B07172L3G5,5
Wool scarf,Pure Lambswool Clan Tartan Scarf Malcolm,264157,https://www.amazon.com/dp/B01BFKYBDU,5
Wool scarf,Pure Lambswool Clan Tartan Scarf MacPherson Hunting Modern,192384,https://www.amazon.com/dp/B01BFKY04A,5
Wool scarf,Pure Lambswool Clan Tartan Scarf MacNeil of Barra,121768,https://www.amazon.com/dp/B01BFKXW8K,5
Wool scarf,Scarf woven scarf checked fashionable green brown 100% wool (merino) R-620,428803,https://www.amazon.com/dp/B071RSN8YD,5
Wool scarf,"Cowboy Western Scarf Slide - Square Praying Cowboy Concho with Scarf (Black, White, or Red)",59531,https://www.amazon.com/dp/B00T0R9PGE,2
Wool scarf,Patrick Francis Celtic Scarf Viscose & Lambswool 70 Inches x 23 Inches Fringed White Made in Ireland,466145,https://www.amazon.com/dp/B00ZAKLCEI,4
Wool scarf,Style Republic Men's Chunky Knit 100% Cashmere Scarf,422744,https://www.amazon.com/dp/B098TQGHFM,4
Wool scarf,"Cowboy Western Scarf Slide - Eagle Dollar (Reproduction) with Scarf (Black, White, or Red)",358755,https://www.amazon.com/dp/B00T0SPW5Q,2
Wool scarf,Aviator Scarf White,330699,https://www.amazon.com/dp/B0040Z6HIU,2
Wool scarf,Cashmere Wrap Shawl Stole for Women Fashion Warm Winter Large Print Wool Pashmina Blanket Scarf with Gift Box (Beige),179871,https://www.amazon.com/dp/B07J3VTPK5,4
Wool scarf,I LUV LTD Morrison Green Modern Tartan 100% Lambswool Scarf Made in Scotland,77003,https://www.amazon.com/dp/B00O8KTR16,5
Wool scarf,I LUV LTD Buchanan Antique Tartan 100% Lambswool Scarf Made in Scotland,117713,https://www.amazon.com/dp/B00O8KT1EE,5
Wool scarf,Rulala Fancy Women's Faux Fur Infinity Scarf Chic Soft Loop Circle Neck Warmer for Winter,214974,https://www.amazon.com/dp/B08H1B4JX7,2
Wool scarf,Daguanjing Fashion Lightweight Scarfs For Women USA Flag & Stars Print Many Style,191394,https://www.amazon.com/dp/B07XJSVH95,2
Wool scarf,I LUV LTD Russell Modern Tartan 100% Lambswool Scarf Made in Scotland,376200,https://www.amazon.com/dp/B00O8KU2SS,5
Wool scarf,"Cowboy Western Scarf Slide - Bronco Rider Concho with Scarf (Black, White, or Red)",455557,https://www.amazon.com/dp/B00T0QZE0Q,2
Wool scarf,Soft Lightweight pre-Tied Headscarf Tichel ShariRose: Weightless Collection! (Mauve Silver Splash Short),374187,https://www.amazon.com/dp/B0746K4JX7,2
Wool scarf,Soft Lightweight pre-Tied Headscarf Tichel ShariRose: Weightless Collection! (Mauve Silver Feather Short),318138,https://www.amazon.com/dp/B07DKCZF6R,2
Wool scarf,Cowboy Western Scarf Tie,146059,https://www.amazon.com/dp/B00S8RP912,2
Wool scarf,Liny Xin Women 100% Merino Wool Super Soft Thick Warm Scarf,402004,https://www.amazon.com/dp/B0B6SQ88NZ,5
Wool scarf,Beautiful and Comfortable Zebra Print Scarf - White/Black,370007,https://www.amazon.com/dp/B00G130AKK,2
Wool scarf,"RTZAT Ankle Running Socks, 50% Merino Wool 3 Pairs Anti Blister Comfort Seamless Toe Athletic No Show Running Socks for Men and Women,3 Pairs,Dark Grey, Small",361541,https://www.amazon.com/dp/B097T5HKDB,1
Wool scarf,"Irish Wool Adult Knit Gloves (Medium, Navy)",50795,https://www.amazon.com/dp/B01M12VGNG,1
Wool scarf,"Swiftwick- PURSUIT HIKE SIX LT Hiking Socks, Lightweight Merino Wool (Mountain, Medium)",387392,https://www.amazon.com/dp/B08F68CH5S,1
Wool scarf,"Swiftwick PURSUIT ZERO Tab Ultralight Running and Golf Socks, Merino Wool (Heather, Medium)",158715,https://www.amazon.com/dp/B08DYBFHJS,1
Wool scarf,Scarf Aviator White - Accessory Costume,299879,https://www.amazon.com/dp/B003MHKO86,2
Wool scarf,"PJ Paul Jones Men's Classic, Coffee-Update, Medium",131574,https://www.amazon.com/dp/B0B6HMTJVN,1
Wool scarf,"PJ Paul Jones Men's Classic, Brown-Update, XX-Large",401997,https://www.amazon.com/dp/B0B6HNCGKZ,1
Wool scarf,"EGI ® Exclusive Collections Merino Wool Blend Sleeveless Top with Tulle Trim. Proudly Made in Italy. (L/XL, Black/Cami)",167238,https://www.amazon.com/dp/B07ZHPGSHF,1
