query,title,docid,link,rel
Casual blazer for men in slim fit style,hhaappyy Cloak Coat for Men Winter Warm Gothic Wool Faux Fur Collar Long Cape Cloak Vintage Game of Thrones Fleece Jacket,105693,https://www.amazon.com/dp/B0B8SSQZ59,1
Kids’ winter coat waterproof,"Signature Design by Ashley Dresser, One Size",45054,https://www.amazon.com/dp/B01JAD0700,2
Matte foundation,Origins Silk Screen Refining Powder Foundation 24 Vanilla,20375,https://www.amazon.com/dp/B07NYGNND5,3
Eyebrow gel,"Electric Eyebrow Trimmer, Painless Eyebrow Razor with Light for Women, Cordless Hair Remover for Face, Upper Lips, Underarms, Chin Neck Portable Bikini Trimmer",11300,https://www.amazon.com/dp/B098DYV79Y,1
Setting spray,Mosichi 2Pcs Men Women Unisex 83 Teeth Metal Hair Head Hoop Accessories Sports Headband,1913,https://www.amazon.com/dp/B07P74SQT4,1
Clear lip gloss,NARS Orgasm Lipstick Mini (Peachy Pink),7209,https://www.amazon.com/dp/B072N1YJYP,3
Casual blazer for men in slim fit style,PHANTACI Solar Powered Womens Watch-Ultrathin Wrist Watches Simple and Casual or Classic Leather Watches Slim Watch for Men (Red Needle Black Leather Watch),361104,https://www.amazon.com/dp/B082G76YS1,1
Gentle facial cleanser with natural ingredients,The Cottage Greenhouse Orange Blossom & Honey Face Mask | 2 oz / 56 g,15596,https://www.amazon.com/dp/B01N6X94ZK,1
T-shirt dress women,"Elogoog Lace Dress, Women's Sleeveless Spaghetti Strap V Neck Party Evening Backless Lace Gown Cocktail Dress",484689,https://www.amazon.com/dp/B07CYXZJ5P,3
V-neck t-shirt,"LLONG Summer Dresses for Women,V Neck Loose Sleeveless Casual Summer Maxi Dress",341415,https://www.amazon.com/dp/B08ZSWWJK1,2
Leather jacket men,Sun Mountain Mens Rainflex 1/2 Zip Pullover Grey/Silver L,203805,https://www.amazon.com/dp/B01F6U1C82,2
Platform heels,"KEEN Unisex-Kid's PHOEBE Sandal, NAVY TIE DYE, 11 M US Little Kid",354059,https://www.amazon.com/dp/B06Y4HDBGF,1
Kids t-shirts,"AJOY 3 Pieces 3 Sizes(Small Medium Large, 2-4 inch) Bun Maker for Hair, Sock Bun Donut for Kids, Ballet Bun Net Girls, Toddler Bun Form Hair, Blonde",403,https://www.amazon.com/dp/B01FZJ19KA,2
